rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1174.9,175.419,157.201,190.536,150.642,322.553,116.689,377.139,581.112,480.166,311.493,189.01,698.657,94.8193,79.2132,111.526,124.134,210.402,248.671,356.153,313.539,307.623,103.621,106.796,135.4,68.7796,960.836,169.052,76.2428,67.1359,511.829,273.568,80.5253,112.611,750.352,366.855,174.462,79.1622,335.464,33.8318,27.593,83.3339,278.393,317.776,764.117,51.336,155.322,158.454,165.824,411.967,94.0617,287.009,81.8334,293.155,70.3647,320.518,59.0564,235.534,158.291,635.131,86.4874,136.594,94.3281,193.075,273.599,59.189,977.149,176.281
1118.47,93.2737,141.12,144.811,153.902,230.226,46.3482,283.908,521.725,421.658,367.578,194.547,756.95,81.126,102.705,127.603,92.8878,209.718,179.387,291.706,274.702,272.881,90.0408,81.2031,115.845,83.2061,875.172,173.643,66.6419,67.7924,507.151,330.217,85.1641,121.062,674.362,413.515,209.879,87.8574,356.161,30.1541,35.1585,65.7196,212.314,230.065,664.904,31.9433,144.893,206.046,185.93,530.31,113.947,353.416,104.387,321.592,77.8524,316.683,79.4975,239.626,176.874,690.403,103.93,149.072,94.3887,150.507,234.152,67.1655,720.25,224.675
1205.63,166.792,173.989,217.192,91.8763,266.795,95.6591,273.803,484.191,402.473,389.807,131.157,622.345,26.2602,59.9263,63.923,120.633,184.807,265.134,333.242,270.532,302.01,87.9908,97.4112,106.681,77.003,1075.13,179.24,99.3635,88.2369,571.537,322.839,111.976,121.299,900.244,500.154,188.655,93.6751,461.409,33.4917,32.3423,66.2947,314.563,242.22,712.037,53.9667,148.434,138.973,159.105,335.954,112.145,340.808,100.881,387.732,88.2501,456.404,98.3104,316.81,267.576,823.359,93.4518,171.754,121.569,203.763,209.725,40.6581,638.59,267.712
962.218,206.775,105.169,197.27,129.106,273.455,141.889,505.16,533.379,554.33,432.773,397.235,639.712,53.2634,111.991,142.147,139.867,263.543,283.751,381.001,300.374,347.839,97.1794,77.4514,138.721,65.4522,894.653,121.083,64.9246,64.0582,443.979,263.508,51.0669,107.629,750.801,318.009,148.737,56.8717,285.507,19.87,22.3249,78.0686,228.38,359.394,894.619,82.2947,142.376,122.674,139.561,404.685,77.1319,266.501,55.4309,255.965,78.7374,319.185,59.0148,216.006,130.589,533.317,116.036,192.15,84.6936,213.341,242.961,84.9258,1276.32,286.133
1019.56,113,160.809,132.525,109.05,226.022,112.818,237.327,407.215,338.381,162.124,434.421,633.253,59.1764,114.602,108.375,166.596,258.258,236.656,349.446,279.2,317.802,94.1252,87.1539,95.7753,59.533,845.971,144.406,52.9685,52.5802,442.531,243.016,53.008,98.1107,672.266,366.803,184.138,64.93,320.869,24.3886,28.6097,76.3849,327.281,346.472,782.51,59.0226,183.29,219.295,227.206,572.903,105.179,340.059,85.3694,271.535,58.0917,287.845,41.1679,237.098,118.395,678.462,104.509,156.189,71.1577,220.55,241.863,57.9745,1014.9,127.755
901.786,237.924,207.022,129.475,100.768,226.277,77.0088,139.338,465.878,466.433,219.667,107.103,702.151,65.8178,60.527,140.51,156.709,236.565,289.775,406.276,289.367,246.26,110.788,113.341,121.353,52.8465,843.116,143.474,74.9413,64.7422,438.199,255.601,81.9985,106.412,845.502,346.436,174.228,73.9593,366.201,34.0244,23.9798,64.325,234.252,260.228,773.455,49.1331,119.98,157.527,254.159,395.73,111.471,315.422,115.529,341.934,74.6312,314.277,61.5121,200.376,146.631,710.503,111.064,158.56,111.423,239.124,445.588,85.9788,1388.99,232.792
928.295,237.67,147.283,139.103,209.446,187.531,66.4671,240.654,412.282,410.497,197.179,77.652,898.625,41.7544,182.786,140.076,184.836,249.406,253.455,346.768,319.66,272.085,113.015,95.2289,168.024,79.1941,1090.26,140.389,78.5338,66.2707,458.681,232.214,96.7027,104.704,633.169,263.585,125.595,59.2226,276.969,22.8366,20.4747,50.6064,257.078,225.074,762.961,54.2864,133.738,148.79,128.706,242.933,98.6529,217.921,63.9003,193.846,55.0751,226.579,57.686,216.514,159.283,720.509,105.791,143.564,105.228,214.975,278.682,99.559,870.232,220.467
863.198,104.4,121.924,220.628,160.107,229.4,132.589,308.328,515.976,381.208,377.944,154.173,594.373,199.352,109.723,184.941,226.089,306.041,343.574,478.991,447.425,466.587,137.564,134.492,152.654,68.443,1019.37,147.885,80.7737,60.0744,428.206,285.887,87.1528,100.448,1001.19,384.84,202.105,72.615,358.158,43.116,27.4071,113.882,340.607,383.31,841.665,74.1429,194.133,204.868,201.202,322.231,136.149,257.311,83.3711,342.885,51.553,356.654,62.5459,300.565,165.145,694.951,89.6073,180.835,110.317,213.499,264.133,55.737,1168.53,350.821
878.924,262.544,103.349,320.765,164.136,196.738,171.036,239.684,359.64,484.674,205.629,78.6619,835.309,180.419,32.1963,108.551,104.441,180.72,186.712,288.438,261.801,287.816,78.0302,90.047,141.527,88.1081,1049.63,132.009,95.2197,47.257,369.831,188.632,54.8651,82.3859,535.361,273.872,113.98,49.857,198.707,22.7416,18.0283,51.0928,189.752,238.361,670.254,46.8679,153.719,174.589,119.255,423.682,95.2511,302.367,88.5689,291.776,63.7181,292.99,50.1708,207.779,119.589,518.881,85.5289,125.537,73.6043,217.962,382.745,91.6366,1279.8,54.1553
805.537,190.743,156.306,144.076,124.281,365.569,95.005,276.7,531.204,384.445,314.441,123.044,737.735,254.466,95.7296,98.7457,118.664,206.162,243.141,385.4,277.649,254.54,95.4559,101.544,127.943,52.1175,1016.97,151.408,87.4004,80.4157,478.015,246.817,69.0254,120.981,674.664,236.525,100.313,44.8905,212.644,22.8952,17.4907,72.9554,209.864,329.314,998.393,47.9033,196.117,192.847,187.185,458.834,77.7319,249.42,58.672,278.607,67.8921,301.594,59.8758,181.79,132.19,549.628,65.6012,97.5644,77.5534,154.287,251.506,32.6362,1097.65,376.126
1221.79,133.676,142.176,226.843,144.735,440.844,101.64,469.662,693.502,558.19,466.858,425.874,437.524,236.207,91.3359,101.71,87.8127,167.629,174.689,218.746,206.143,296.076,86.3133,118.319,159.856,65.3651,835.417,173.8,85.8856,53.6966,453.502,180.179,68.742,99.2722,629.809,307.712,190.513,94.9695,309.897,35.7817,28.2305,76.4313,198.352,323.202,691.671,49.3348,190.835,190.773,138.207,568.166,128.203,320.983,91.6692,341.192,110.955,406.194,102.915,232.237,162.588,563.112,105.919,89.038,86.6056,174.78,355.321,77.348,933.882,176.435
1330.99,276.488,192.176,306.986,138.736,313.799,99.0835,302.442,504.966,472.683,195.989,234.12,571.557,359.309,38.7024,89.501,183.544,188.89,274.963,386.851,340.568,335.667,104.949,165.072,135.339,96.7359,959.065,151.399,72.9029,59.5944,539.529,168.634,72.711,81.2867,657.882,345.201,144.541,52.0753,267.194,32.6563,28.9152,58.8234,248.074,304.552,895.38,53.2568,126.297,165.102,115.224,455.823,87.9867,277.539,84.6631,270.568,68.5514,376.782,71.7355,203.563,154.934,606.921,91.8222,117.786,78.4897,186.149,256.475,88.2291,1403.03,99.6049
1427.19,301.169,99.2029,134.777,192.665,493.254,96.041,608.754,661.545,676.086,506.336,133.575,736.62,428.302,71.2442,112.938,129.669,236.323,225.213,275.186,248.424,234.279,85.2964,92.2667,101.239,57.3243,821.684,150.727,86.4437,78.6255,575.436,388.727,106.213,152.916,862.423,441.833,218.71,92.4782,341.787,48.4911,41.2471,108.029,404.817,370.858,898.144,48.7733,133.452,129.381,90.3534,251.009,64.4611,218.166,81.4721,441.626,94.5144,483.954,91.7337,279.698,212.991,675.801,93.448,127.858,77.2306,175.507,265.736,94.398,808.791,175.094
