sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
9.74997,6.6699,22.0243,55.091,65.044,14.7026,4.93982,4.38409,9.64145,15.1051,28.0179,39.0383,31.9253,9.81421,2.03154,4.03038,3.9468,4.04076,5.02349,7.20371,11.8199,20.2277,27.6639,34.9841,36.2491,30.4684,23.8659,17.9815,24.6261,50.5825,54.7601,44.1187,39.3041,39.7046,36.88,29.2184,26.8618,35.5504,34.337,22.9658,15.0876,15.6525,9.22361,6.272,7.44257,10.8225,15.3288,15.3541,8.42039,4.96642,4.37593,4.88259,5.98674,4.59354,4.87754,4.3923,5.65891,5.55099,6.69787,7.19007,7.5338,10.6824,14.9059,10.5426,6.82223,4.79508,5.45017,4.95854,8.6382,14.4185,10.9013
9.42752,5.48761,21.0776,54.1767,66.1339,13.8462,4.81697,4.50261,8.21682,12.7063,26.2757,40.5722,36.6214,11.3955,2.31754,4.13363,3.44046,3.56572,4.30156,6.03676,10.628,17.7878,24.3342,32.8882,35.6797,29.8451,24.1999,17.0508,22.5726,45.6959,49.3871,39.7307,36.1552,39.2562,39.9332,33.6746,30.1261,37.6068,36.6003,24.5275,15.4199,15.1231,8.39759,5.48686,6.03507,8.40872,12.7752,14.3006,8.32988,5.60118,5.54516,6.31903,7.5433,5.42126,5.39924,4.62581,5.72615,5.53738,6.76137,7.66087,8.18507,11.8283,16.3172,11.1674,6.71109,4.11485,4.14194,3.86297,6.90709,13.1432,12.0024
11.25,7.04664,21.3764,54.2841,63.7073,14.0675,4.50728,2.45635,5.23635,10.0242,22.3108,34.8972,31.9903,11.4441,2.43756,4.03062,2.89131,2.60905,3.17582,5.40788,10.0349,19.1432,26.7105,34.1731,37.0272,31.4364,24.7054,18.2218,26.0841,56.7762,62.6557,51.3347,46.1778,44.9567,41.0606,31.9602,28.6257,37.63,36.0892,23.1628,15.7921,17.2367,10.1769,6.55318,7.49699,10.7566,14.164,14.7693,8.22914,4.85163,4.27483,4.49792,5.35457,4.56503,5.29006,5.07455,6.72073,6.78312,8.4237,8.9994,9.38828,13.1542,16.5206,10.4676,6.34389,4.27206,4.4213,3.6602,6.02921,11.8462,11.4845
8.08079,4.92727,18.5966,50.9604,67.3664,13.4167,5.97771,4.8355,10.0618,17.6872,33.2996,40.5707,31.9799,11.2517,2.32592,3.6176,3.35937,4.2856,5.76387,8.3185,13.6722,22.7788,29.8816,36.7368,37.7574,31.7423,23.349,17.8863,24.4935,50.8066,55.1249,44.7209,39.2507,37.3276,32.9532,24.0428,22.0974,30.2425,28.6555,19.085,12.4241,13.6898,7.93971,5.74515,7.12036,10.8639,17.4015,18.4799,10.4362,5.3984,4.05597,4.41385,5.59528,4.31289,4.57886,4.00958,5.4209,5.71923,7.20973,7.76811,7.89847,10.5391,14.8878,11.9487,8.76865,6.0767,6.3279,5.20869,10.0609,15.8736,11.0393
7.95482,5.19174,20.0116,52.9867,65.7729,14.9987,4.68577,2.83748,6.50363,12.3989,24.2045,35.1497,28.8003,9.8893,3.83882,5.26135,3.97943,3.73716,4.30504,6.8044,11.3733,18.7384,25.8653,32.9444,34.3247,27.8614,20.6479,14.013,19.9631,44.3475,48.9033,39.5219,35.7574,36.1469,34.1311,26.8545,24.5717,32.9827,32.4589,21.8104,13.4799,13.5311,7.53643,5.0998,6.81756,11.2655,16.0184,15.7913,8.95728,5.73865,5.33958,6.22744,7.24046,5.07333,4.97285,4.0613,4.83586,4.6539,5.60571,6.1341,6.57749,9.55404,13.9068,9.694,6.07453,4.26754,5.39862,5.45736,11.5628,25.2009,23.2033
9.31961,6.23076,20.4477,48.3967,63.1195,16.6499,4.93523,3.20772,6.46576,10.6682,20.0231,35.8255,36.0879,12.7882,2.67425,5.2607,3.96808,3.48536,4.51125,6.64122,11.1161,20.1205,27.1633,32.3462,32.3056,27.3432,22.6261,17.0659,21.9722,45.2466,48.7469,40.3026,35.9732,36.3961,35.0068,28.3579,27.2014,37.372,34.7648,22.3144,14.3362,15.0104,8.48652,5.53636,6.34751,9.34532,14.4882,16.3077,9.12284,5.1847,4.86857,5.34986,5.5578,4.03052,4.23174,4.07567,5.30878,5.16447,6.31373,6.82272,7.13298,11.1292,16.9391,12.2795,7.76708,5.20976,6.17509,5.67629,10.0328,15.1396,9.94545
11.4261,8.3606,21.6641,50.6303,64.613,12.6828,4.378,4.15602,5.87008,10.2992,22.0543,34.4155,30.4571,8.47578,3.13748,6.94228,5.83813,6.37436,6.90872,9.12193,13.2751,20.9674,27.32,33.9022,34.0959,28.3143,23.6074,19.9704,29.6121,60.65,65.2654,52.2171,44.3848,39.3368,33.4381,25.3405,22.3206,28.8435,27.3398,18.0988,12.3946,14.3449,9.07867,6.43884,7.5756,10.924,15.06,15.9604,8.82532,4.80112,3.9351,3.55561,4.10722,3.54113,4.13299,3.76471,4.90977,5.00339,6.28006,7.44932,8.34398,12.651,18.5724,13.2431,8.23516,5.66861,6.37882,6.37002,10.8066,20.9239,19.5387
10.3734,6.2669,17.9091,49.9213,64.4704,13.3379,5.62112,4.94115,9.22928,15.8821,28.862,39.9061,32.9694,10.8128,1.39892,3.67582,5.36254,5.91207,7.72047,10.6457,15.105,23.6833,30.5331,38.5947,39.3615,31.7435,24.3604,18.168,23.8905,48.6239,51.0435,40.277,34.2399,33.2117,30.6893,24.2216,25.1426,37.8215,35.9588,23.6814,15.3614,15.6547,9.01647,6.28702,8.12518,12.0776,16.3639,15.2949,8.30674,4.89453,4.24508,3.97807,4.23039,3.33413,3.54123,3.71001,5.1359,5.13146,6.5495,7.4402,8.1451,11.0254,14.5122,9.70097,6.25317,4.36483,5.10379,4.91318,11.2577,25.3253,24.4616
7.829,4.877,18.0508,47.3235,63.3561,12.7234,6.36924,4.67886,8.82927,16.3084,26.9492,36.358,31.0914,6.98212,1.77647,4.35352,4.75652,3.98215,4.98202,7.16742,11.8852,19.9727,27.6091,35.916,38.3102,32.7769,25.6839,20.2127,27.8119,53.5862,54.3367,42.3361,34.604,31.6024,28.0905,22.7623,21.4504,29.8431,30.3996,20.3207,12.4999,11.9059,6.64279,4.49045,5.30101,7.94864,12.46,13.5548,7.6474,5.07059,4.65447,5.16644,6.90477,5.57377,6.14012,5.44327,6.79432,6.32133,7.30002,7.63286,7.61308,10.0438,14.076,10.6068,7.15977,5.27833,6.95375,7.06106,11.6891,17.218,10.769
10.1455,5.04389,16.0087,44.0219,57.8627,14.5685,4.70352,4.5173,10.9344,15.4676,25.8298,36.2763,27.4726,5.73033,1.34733,3.5632,5.05131,4.60769,4.87017,6.67205,10.9272,18.9495,26.3717,32.9523,34.0506,29.4304,23.6889,18.1629,25.7192,55.5683,60.6612,48.7636,42.6298,38.9672,32.633,23.8057,21.9917,29.3921,27.7576,18.3852,11.7779,12.7989,7.95978,6.03265,7.55988,11.2329,18.5741,20.6145,11.4351,6.48393,5.15772,5.32775,6.22199,4.42945,4.40335,4.01396,5.50589,5.51078,6.72874,6.96438,6.7463,9.36781,13.0288,9.06667,5.75516,4.19465,5.22421,5.42508,11.3115,25.227,24.4553
