TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,14.437,9.30591,22.0814,8.83256,6.62442,4.41628,9.74997,0.644587,1.05359,2.10718,0.954455,0,0,nan,0,nan,0.450296,0.48013,0,0
0,8.3106,6.49076,17.5988,7.03954,5.27965,3.51977,9.42752,0.781022,0.922044,1.84409,0.688491,0,0,nan,0,nan,0.213534,0.716772,0,0
0,8.62907,7.8055,20.4617,8.18469,6.13852,4.09235,11.25,0.904559,0.95367,1.90734,0.693822,0,0,nan,0,nan,0.180703,0.586967,0,0
0,11.6166,9.07657,23.8159,9.52638,7.14478,4.76319,8.08079,0.781343,0.952783,1.90557,1.12323,0,0,nan,0,nan,0.306884,0.625531,0,0
0,18.3786,13.7907,16.5494,6.61976,4.96482,3.30988,7.95482,0.750366,2.08326,4.16651,1.73362,0,0,nan,0,nan,0.105166,0.786077,0,0
0,10.6282,8.57069,22.0987,8.83946,6.6296,4.41973,9.31961,0.806411,0.969594,1.93919,0.91964,0,0,nan,0,nan,0.340531,0.605155,0,0
0,15.6636,14.5748,19.9992,7.99967,5.99975,3.99983,11.4261,0.930491,1.82193,3.64386,1.27557,0,0,nan,0,nan,0.101312,0.709851,0,0
0,25.1908,17.9499,28.9238,11.5695,8.67715,5.78477,10.3734,0.71256,1.55148,3.10296,1.73038,0,0,nan,0,nan,0.419952,0.496235,0,0
0,12.8059,8.33208,23.5308,9.41232,7.05924,4.70616,7.829,0.650646,0.885232,1.77046,1.06426,0,0,nan,0,nan,0.218963,0.704161,0,0
0,16.7557,11.3533,30.6328,12.2531,9.18984,6.12656,10.1455,0.677579,0.926566,1.85313,1.11905,0,0,nan,0,nan,0.164551,0.791895,0,0
0,8.12671,6.36854,21.2868,8.51472,6.38604,4.25736,12.7905,0.783655,0.747944,1.49589,0.497912,0,0,nan,0,nan,0.130078,0.779908,0,0
0,12.8861,9.98153,19.1423,7.65693,5.7427,3.82846,14.4174,0.774595,1.30359,2.60719,0.692327,0,0,nan,0,nan,0.11157,0.779,0,0
0,11.9866,10.7197,17.466,6.98641,5.23981,3.4932,13.0373,0.894309,1.53437,3.06873,0.822232,0,0,nan,0,nan,0.250635,0.597927,0,0
0,9.86433,8.68573,19.7944,7.91778,5.93833,3.95889,8.11488,0.880519,1.09699,2.19398,1.07035,0,0,nan,0,nan,0.330967,0.473278,0,0
0,8.15029,6.52949,27.5329,11.0131,8.25986,5.50657,11.3438,0.801137,0.592882,1.18576,0.575599,0,0,nan,0,nan,0.400559,0.423085,0,0
0,12.5985,10.0417,27.7088,11.0835,8.31264,5.54176,12.7511,0.797056,0.906005,1.81201,0.787516,0,0,nan,0,nan,0.305705,0.574305,0,0
0,7.21015,5.55996,24.4905,9.7962,7.34715,4.8981,9.64744,0.77113,0.567563,1.13513,0.576315,0,0,nan,0,nan,0.344011,0.589625,0,0
0,11.237,9.91686,28.0587,11.2235,8.4176,5.61173,10.1911,0.882521,0.883583,1.76717,0.973092,0,0,nan,0,nan,0.0742673,0.778209,0,0
0,10.7275,8.05846,25.7912,10.3165,7.73736,5.15824,11.7817,0.751197,0.781126,1.56225,0.683981,0,0,nan,0,nan,0.231525,0.653418,0,0
0,10.7563,7.6438,24.4765,9.79059,7.34295,4.8953,10.9989,0.710633,0.780729,1.56146,0.694961,0,0,nan,0,nan,0.233557,0.625153,0,0
0,15.5322,9.05588,26.8996,10.7598,8.06988,5.37992,9.46016,0.583039,0.841637,1.68327,0.957265,0,0,nan,0,nan,0.217622,0.77157,0,0
0,7.93978,5.84209,24.1674,9.66697,7.25023,4.83348,11.5528,0.7358,0.604335,1.20867,0.505687,0,0,nan,0,nan,0.0429555,0.872054,0,0
0,9.06718,7.1084,23.4065,9.36259,7.02194,4.68129,11.3439,0.783971,0.759235,1.51847,0.626626,0,0,nan,0,nan,0.140963,0.746109,0,0
0,13.165,9.76141,21.7759,8.71037,6.53278,4.35518,10.8066,0.741464,1.12066,2.24133,0.903278,0,0,nan,0,nan,0.158849,0.767324,0,0
0,7.4543,5.68277,20.8075,8.323,6.24225,4.1615,10.1114,0.762349,0.682779,1.36556,0.562014,0,0,nan,0,nan,0.18695,0.616646,0,0
0,7.05849,4.95775,16.7039,6.68157,5.01118,3.34079,10.5801,0.702381,0.742004,1.48401,0.468592,0,0,nan,0,nan,0.256057,0.678199,0,0
0,20.6578,18.9786,21.7462,8.69847,6.52385,4.34923,10.9237,0.918715,2.18184,4.36367,1.73739,0,0,nan,0,nan,0.0850944,0.805019,0,0
0,11.97,8.41924,19.2568,7.70272,5.77704,3.85136,10.4779,0.703361,1.09302,2.18604,0.803524,0,0,nan,0,nan,0.279283,0.580424,0,0
0,7.96621,4.91221,25.9894,10.3958,7.79682,5.19788,10.2775,0.616631,0.472521,0.945041,0.477958,0,0,nan,0,nan,0.290952,0.669839,0,0
0,9.60909,7.40055,25.4745,10.1898,7.64235,5.0949,8.80957,0.770162,0.726271,1.45254,0.840058,0,0,nan,0,nan,0.0902823,0.767859,0,0
0,7.374,4.87925,23.734,9.4936,7.1202,4.7468,7.26604,0.661682,0.513951,1.0279,0.671514,0,0,nan,0,nan,0.212361,0.684556,0,0
0,13.5211,11.368,26.5379,10.6152,7.96138,5.30758,9.05809,0.840762,1.07092,2.14184,1.25501,0,0,nan,0,nan,0.218048,0.733723,0,0
0,9.50272,8.15965,22.6249,9.04995,6.78746,4.52497,8.58932,0.858664,0.901623,1.80325,0.949976,0,0,nan,0,nan,0.0834375,0.763689,0,0
0,12.3904,11.6226,22.246,8.8984,6.6738,4.4492,10.3308,0.938031,1.30614,2.61228,1.12504,0,0,nan,0,nan,0.318578,0.552638,0,0
0,10.6702,9.18381,22.1419,8.85675,6.64256,4.42837,8.96116,0.860699,1.03693,2.07386,1.02485,0,0,nan,0,nan,0.216867,0.556944,0,0
0,15.029,9.85707,24.954,9.9816,7.4862,4.9908,7.82047,0.655868,0.987524,1.97505,1.26042,0,0,nan,0,nan,0.370305,0.574213,0,0
0,9.88796,8.27514,24.2196,9.68786,7.26589,4.84393,16.0081,0.83689,0.854176,1.70835,0.516936,0,0,nan,0,nan,0.152735,0.706206,0,0
0,9.21762,6.87293,23.6004,9.44016,7.08012,4.72008,8.92752,0.74563,0.728052,1.4561,0.769859,0,0,nan,0,nan,0.284484,0.602622,0,0
0,6.08922,5.02282,23.4401,9.37604,7.03203,4.68802,9.0286,0.824872,0.535708,1.07142,0.556324,0,0,nan,0,nan,0.253854,0.665354,0,0
0,6.14866,4.76705,19.6196,7.84783,5.88587,3.92391,9.84749,0.775298,0.607435,1.21487,0.484088,0,0,nan,0,nan,0.11465,0.703174,0,0
0,10.8826,8.11631,25.5811,10.2324,7.67433,5.11622,12.3875,0.745807,0.793194,1.58639,0.655204,0,0,nan,0,nan,0.276313,0.639159,0,0
0,13.6484,9.59956,24.1415,9.6566,7.24245,4.8283,9.77617,0.70335,0.994093,1.98819,0.981936,0,0,nan,0,nan,0.156133,0.761352,0,0
