N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
365.671,582.397,611.711,124.084,55.0153,9.64757,7.61294,6.02261,8.41616
355.927,450.873,417.884,169.782,47.7364,14.621,5.59335,0.723721,4.26801
326.33,500.845,563.217,168.313,41.0371,2.93749,4.31025,4.94223,7.72206
386.629,624.626,596.687,187.077,25.7884,10.7569,10.7445,19.7824,7.5433
407.291,775.553,587.418,80.8555,13.341,26.5958,7.4061,34.88,5.49157
307.501,509.586,500.838,102.047,29.8385,0.985151,23.0662,22.8902,8.15243
405.394,663.557,773.604,61.4838,19.3863,6.12843,15.3411,10.8541,1.74636
249.383,531.281,621.977,106.702,63.7903,3.43804,8.72439,1.36559,4.40764
353.499,500.671,709.128,149.152,49.2117,6.24152,7.24789,0.503711,23.6874
368.561,739.07,726.028,92.401,21.4776,22.7665,1.15549,1.60959,18.4815
286.985,512.145,486.557,98.5846,106.93,11.1503,2.07415,3.98413,3.87412
412.472,453.553,806.399,151.134,41.5516,6.16727,9.03783,0.583724,9.42345
348.207,620.949,536.26,101.296,52.3073,3.57559,3.46749,0.341476,10.2176
288.242,498.465,591.04,101.831,40.6511,1.64653,19.9659,9.77108,2.50976
408.734,672.414,406.056,168.279,77.7624,0.340782,5.28428,9.26228,11.3542
569.227,684.357,653.188,118.372,63.2952,2.25892,4.49801,1.87737,12.0631
315.012,601.739,436.148,76.0661,88.2352,20.2573,8.31982,7.89339,6.42112
201.556,559.311,492.665,82.6192,77.1313,1.67762,14.9042,14.4993,2.33256
251.224,457.02,457.167,107.766,61.2178,6.77457,14.9854,5.41356,13.9383
411.432,525.928,531.942,165.298,64.7828,18.7906,11.3749,1.02453,7.99479
273.464,490.496,508.02,121.219,37.9486,8.01984,0.423963,0.918688,9.89847
386.497,483.59,510.803,111.163,92.6131,2.49677,10.5276,0.798236,12.0502
454.391,981.072,738.339,108.441,53.5443,20.041,13.1151,3.22393,4.0677
639.627,770.394,711.276,224.753,52.7188,18.8326,9.16197,5.73946,3.42461
222.047,599.309,469.25,188.315,134.831,1.00487,13.2761,9.90576,1.1399
309.635,574.145,684.888,60.1502,44.8849,0.427096,13.3042,2.28161,9.41293
280.804,707.421,428.06,192.611,86.6489,1.85018,1.93902,0.062468,5.33526
230.91,461.235,444.253,219.341,94.3659,5.68045,0.64906,2.05279,54.8773
443.815,515.164,545.945,194.622,95.0126,0.553864,2.26137,10.1848,39.8737
406.047,369.573,653.295,112.571,72.0826,2.86914,1.66464,19.0986,11.3714
440.958,497.674,609.154,74.7626,36.9622,3.73158,43.4708,5.62797,0.902763
358.17,534.89,713.554,41.8439,80.3745,0.562454,1.44078,6.23774,8.95736
552.139,451.102,525.946,128.78,52.169,4.34786,4.45615,0.59771,0.47153
329.204,530.922,634.468,115.746,75.4785,0.312721,11.4959,23.4403,0.982802
625.872,699.805,657.434,181.953,108.156,1.14596,45.9848,6.77886,0.291624
508.049,785.484,629.359,192.948,124.051,0.130605,7.97962,2.44262,13.0805
590.469,761.498,740.272,95.9991,67.948,2.63099,5.10446,8.94124,1.92577
507.919,712.605,648.17,148.879,57.6516,3.68954,11.8016,48.6981,0.0598605
320.927,480.269,761.39,154.014,70.8123,7.88599,8.93764,16.5867,2.47091
482.92,436.061,980.463,78.9966,76.1322,10.248,3.86513,1.00689,2.22588
316.578,523.171,780.14,106.696,65.1696,0.896044,20.2012,0.402709,9.20713
313.499,447.383,600.524,141.193,100.904,0.785902,0.633075,0.595243,18.8854
255.684,365.283,540.844,102.994,26.4802,2.12517,0.281995,0.120504,10.2573
293.129,673.395,449.357,81.5442,115.342,1.20828,33.9027,0.0757163,1.94084
556.854,609.324,435.099,37.0413,106.443,1.93401,34.1633,8.43996,1.2329
595.296,685.87,546.719,51.1358,60.188,1.85373,4.51134,7.61139,5.3198
460.55,416.824,542.571,72.2524,71.8242,3.62303,5.01217,3.32943,0.571143
405.721,507.923,748.683,65.1746,33.4181,12.3181,9.25697,8.21032,6.50354
420.551,369.667,722.764,65.7847,44.775,1.49912,9.36083,17.7341,2.06527
462.728,613.015,480.304,103.962,111.88,5.06571,7.05191,25.5419,5.0885
434.386,585.212,478.735,97.2897,52.0715,5.1688,4.12726,2.38971,10.6085
407.16,583.5,781.508,95.2986,43.1725,0.611303,3.20805,1.87292,28.5546
219.228,587.82,563.392,72.47,26.0315,8.62061,3.72245,0.285732,17.3873
550.662,911.239,414.348,183.589,105.678,11.5491,1.60186,4.80793,5.96576
508.726,386.165,498.112,176.131,54.8937,17.6912,11.5159,10.3212,2.69242
284.505,550.482,509.237,143.153,99.9498,17.8922,0.566032,14.3666,4.60099
434.243,701.552,466.878,185.438,97.1753,3.32453,25.2814,4.44342,58.2469
321.379,551.244,588.817,125.263,91.9517,11.4588,3.38569,10.7981,5.73021
346.254,501.819,365.247,156.706,82.3397,4.95397,2.15967,2.26844,18.339
276.76,454.347,782.321,98.8504,53.9163,14.3278,4.22299,6.93543,1.07993
248.351,400.772,547.977,136.043,42.2197,3.36203,6.08154,7.13384,9.64423
303.675,636.271,328.904,118.333,74.7128,24.4864,4.56769,0.298815,26.2989
429.107,366.842,441.266,93.8072,54.8677,5.93511,1.13101,33.4651,18.9039
465.396,382.712,618.996,55.367,106.244,2.8399,0.504189,6.19982,14.9811
445.199,467.478,674.691,72.9113,36.9594,15.8366,0.492779,1.48384,7.49753
376.779,462.649,740.095,169.674,27.6679,1.61213,0.040993,15.2038,5.30538
323.842,504.82,461.055,220.983,33.993,0.0687471,22.5929,0.46667,12.3852
644.445,791.062,670.58,78.8012,45.8256,0.971273,23.7546,0.747294,10.102
373.421,619.838,566.149,145.112,83.5432,5.17651,14.0453,1.54321,5.27955
360.735,919.213,646.479,62.6599,73.4834,9.59209,10.7007,0.0803886,6.4729
458.905,601.967,600.191,122.959,32.8803,5.91465,17.1948,6.06281,14.5043
457.901,633.243,674.616,38.6138,35.2961,1.25855,2.25577,10.1381,8.13991
513.383,368.782,824.835,103.429,33.3929,5.08335,8.47657,8.36107,1.74415
266.754,610.121,597.897,71.2678,58.5124,4.68017,3.2563,14.1192,1.03585
293.27,694.227,453.565,250.276,17.517,2.3275,6.62495,1.87904,9.96204
410.403,440.667,777.241,110.076,85.6678,13.3475,1.31558,0.55114,46.1535
303.525,594.821,707.245,119.607,92.607,17.5688,1.14244,2.41012,2.39102
411.992,365.09,548.383,136.886,104.111,7.60605,0.434108,10.6697,3.79417
290.427,522.044,637.55,98.6326,39.1688,17.2827,6.93338,1.33815,2.0334
325.793,781.089,528.238,125.391,74.2768,3.49081,7.90446,1.63404,11.258
332.514,666.043,471.061,146.847,53.5665,2.68221,42.4252,11.8195,6.42692
472.873,526.444,486.548,177.799,54.1714,11.1602,4.34907,1.82767,16.2556
401.407,407.425,673.025,49.435,92.0803,39.5139,3.10567,0.462834,9.16916
435.344,623.212,557.65,94.5811,67.4452,1.63428,5.02321,50.7991,1.11253
391.892,829.729,554.196,186.628,66.0941,0.979468,48.9415,2.64704,4.2242
356.052,555.807,896.986,100.471,49.9331,9.89049,13.7738,8.68376,5.58112
218.09,585.478,759.495,151.92,31.2172,10.0028,8.56362,4.3345,12.5464
687.973,429.896,841.273,127.048,35.182,0.824363,23.5869,9.14869,5.734
502.76,429.676,730.819,141.55,40.779,2.0611,3.81118,7.27439,5.90824
362.186,427.883,520.917,87.6364,165.768,10.0567,3.9466,4.17756,35.4228
320.62,728.914,732.286,51.8539,87.5133,1.51245,19.7481,14.6202,9.4098
345.809,662.675,630.703,61.3782,92.3992,14.2547,6.76229,4.11923,15.9789
421.094,551.98,711.581,136.613,42.2809,2.26836,1.84574,1.7721,9.56803
343.208,447.861,576.67,142.416,19.036,5.24342,9.05291,0.157305,19.9549
430.057,508.152,503.768,148.608,72.609,0.099242,6.65542,0.0521503,26.0092
389.464,427.063,728.977,133.01,89.5894,0.830208,57.248,0.0874066,1.48939
240.742,572.605,508.522,196.977,37.1709,6.95069,8.12281,2.77331,9.83532
665.705,707.994,690.746,169.132,75.4155,13.7588,8.60959,4.42475,2.47448
602.141,790.792,579.031,205.925,114.944,1.24519,6.6797,29.8798,2.77985
823.423,883.328,709.745,146.78,32.8948,3.46058,0.290076,51.2715,2.71678
362.418,706.774,613.483,273.926,111.214,38.5189,1.06504,2.12482,9.16122
722.539,682.66,791.28,157.003,111.551,26.4774,16.134,0.666141,5.7443
686.397,509.119,796.411,109.825,87.8093,3.15204,0.759531,21.1264,0.53855
451.074,297.854,472.437,181.107,95.4133,29.9735,2.25347,1.92036,1.68517
449.477,625.597,451.761,169.256,80.8325,21.2973,23.1736,24.2399,5.56629
627.557,1024.35,548.382,193.157,25.3878,9.64835,0.877192,30.5613,6.1446
387.253,575.997,576.147,178.065,52.0132,22.0644,5.45358,2.81884,43.5382
499.296,386.741,654.989,192.713,28.0601,3.60094,10.7273,0.561009,1.29227
431.128,374.138,792.164,86.1526,15.1346,6.41729,0.377221,3.63073,41.1504
340.525,398.051,573.779,104.694,62.7196,2.91065,0.700915,3.89103,23.9162
276.631,692.214,595.252,93.7571,39.5383,11.2446,1.01163,0.606494,4.13223
389.017,509.019,778.786,55.1643,52.9088,0.964689,8.26787,1.93219,11.9141
437.128,614.919,598.34,61.5399,66.6779,25.6569,2.0096,21.7509,0.213063
473.777,587.857,509.127,62.556,36.4259,45.3788,3.09683,6.26435,24.4822
316.181,533.448,572.022,99.8154,60.7733,11.9954,2.10177,15.817,4.18159
393.743,769.921,544.959,177.371,54.2001,1.60771,9.88402,0.262784,2.6412
247.53,503.061,586.81,99.9096,35.2405,4.50206,1.78295,0.400431,38.8329
278.697,587.54,339.441,220.013,74.9704,12.1963,27.3485,2.59914,20.8146
511.922,533.333,542.143,86.9617,42.2002,10.8064,2.76085,27.4885,11.8833
361.956,524.6,731.599,86.673,26.7814,8.8731,1.34215,0.74556,14.6179
346.77,538.254,643.031,134.1,40.8623,6.22951,0.0819313,1.11053,41.7297
304.229,503.495,552.883,97.5127,66.0382,15.0785,24.364,8.37393,4.35268
325.271,529.097,490.773,252.244,57.5454,2.57298,5.93739,3.34917,0.432776
257.732,433.053,624.476,135.627,31.4653,7.78492,10.8003,19.4028,0.0830598
420.488,612.82,641.767,131.733,36.571,19.0909,2.09494,3.51363,1.33224
434.415,482.921,556.424,131.468,61.395,27.4644,4.72667,3.36109,6.53836
322.29,472.536,712.751,107.655,32.1916,6.08327,7.62423,1.2194,16.8075
