N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
365.671,264.71,504.206,127.271,277.953,152.329,248.44,515.437,162.186,1092.63,618.032,305.71,1005.54,239.987,116.279,78.863,148.156,100.092,188.339,201.707,78.479,203.172,202.296,136.497,66.2141,94.1669,50.4306,48.4948,262.606,124.27,130.83,193.878,513.434,189.081,154.073,405.295,317.831,211.857,105.983,432.198,365.428,152.114,68.5006,116.659,388.865,178.666,270.74,86.342,192.119,298.648,191.097,547.78,92.2467,169.954,147.135,388.849,151.844,148.524,239.493,295.397,160.834,238.742,86.2206,449.167,207.054,106.653,337.644,676.723,75.3445,141.884,198.618
355.927,221.02,532.095,199.82,331.262,189.729,248.884,542.589,202.794,1206.46,541.435,376.585,1326.49,219.521,121.287,73.459,110.756,110.114,146.701,195.16,72.5618,178.2,166.057,150.916,52.4295,86.3064,51.9547,49.7852,253.541,146.385,145.552,181.971,546.546,155.613,157.831,364.108,292.098,224.417,95.5516,402.904,387.222,211.41,74.922,116.406,465.828,194.869,312.756,85.2176,213.936,276.488,236.071,587.169,94.8125,143.691,144.023,330.433,145.597,132.751,192.607,236.702,131.649,206.594,70.767,467.336,179.091,132.642,391.251,916.59,78.5512,131.915,199.126
326.33,212.591,502.597,135.981,234.883,112.643,274.334,475.782,130.816,1003.95,827.092,351.293,708.798,463.683,158.165,115.996,180.876,173.808,327.249,256.146,99.3198,214.978,258.273,168.517,62.0136,105.993,54.8542,58.4708,273.556,159.929,185.559,266.051,631.581,235.173,162.107,490.386,335.165,187.118,117.559,432.587,362.563,166.828,57.8598,99.13,419.913,180.177,340.012,86.3266,191.846,237.444,169.633,538.925,72.5318,136.582,159.67,428.8,183.63,182.714,258.775,312.457,148.3,314.831,90.4152,508.181,235.613,96.3037,408.085,772.139,94.3594,241.624,217.305
386.629,223.048,580.692,126.194,305.455,118.521,202.991,443.588,147.829,1043.57,412.643,395.304,626.515,294.448,158.33,115.873,99.6791,84.4491,174.813,128.464,63.2758,187.999,165.324,128.819,67.2409,108.555,66.1907,58.288,272.778,129.368,129.536,168.66,459.49,196.986,132.672,378.624,308.38,201.178,89.4913,453.326,395.725,186.729,63.0796,131.527,476.377,195.657,304.478,116.639,243.067,295.985,208.276,540.823,96.5656,161.395,115.057,324.481,127.366,101.606,186.076,224.269,151.833,229.188,90.179,494.297,270.781,135.745,341.196,610.582,71.9532,86.9748,192.477
407.291,180.305,416.82,141.005,214.685,136.158,290.075,524.577,128.222,864.567,806.765,267.193,867.807,372.899,173.152,38.6627,101.612,66.2419,175.685,163.171,69.7535,151.747,178.989,119.436,61.1511,112.949,63.4298,54.252,339.458,152.035,171.072,215.48,640.271,254.673,185.279,499.256,366.029,280.492,126.175,538.966,430.62,217.961,66.1375,112.706,408.753,179.502,234.233,102.386,214.586,338.037,227.671,611.553,95.7837,192.461,174.871,380.121,210.422,154.038,216.546,286.363,134.82,182.392,77.0636,360.908,171.655,110.369,317.051,532.545,166.749,175.64,204.622
307.501,245.47,475.062,100.238,158.529,151.392,219.451,399.618,177.042,1236.76,560.624,247.785,831.438,197.474,142.358,105.687,95.5144,87.402,114.701,162.19,81.3673,145.56,186.009,104.474,63.4718,78.7648,48.4834,49.4708,251.187,122.073,123.189,210.646,530.198,205.753,149.848,369.71,278.481,234.661,91.0578,417.736,343.902,141.268,67.3585,104.044,413.037,210.315,332.234,96.3141,228.134,299.22,165.118,665.835,80.1747,152.774,155.09,313.668,158.293,131.738,234.811,311.237,152.495,230.503,88.0335,422.641,186.996,175.467,396.044,888.57,118.772,54.3156,188.825
405.394,284.821,481.555,75.8205,238.561,161.224,319.533,410.436,187.927,1227.51,824.617,245.357,1332.67,267.677,119.254,172.422,156.555,88.8516,228.636,231.379,98.0604,260.528,282.21,196.596,76.8374,121.913,71.6371,60.4467,386.923,169.52,149.187,226.951,644.661,223.522,157.915,449.447,343.073,232.03,105.228,545.729,399.428,171.944,66.3186,119.438,398.6,145.823,350.584,89.2823,203.84,298.105,256.013,639.506,96.1482,200.63,159.188,346.719,144.631,134.117,227.832,221.29,136.475,115.844,59.5311,344.346,169.723,79.4227,363.979,515.675,18.6438,376.545,208.412
249.383,219.734,445.985,97.7071,277.008,161.943,230.548,347.714,170.786,936.778,470.907,269.232,705.601,197.763,155.406,69.4481,174.488,70.1577,181.912,214.673,89.9915,226.732,227.273,126.832,79.489,83.9758,52.349,36.6034,259.13,114.546,121.18,169.041,410.842,191.835,128.691,368.644,311.666,165.672,71.598,393.472,311.986,129.616,64.6025,96.2715,310.638,170.28,261.352,66.8098,146.117,287.493,181.762,560.058,79.6556,207.067,150.838,450.403,162.727,185.058,311.247,325.57,176.483,281.636,77.3529,477.597,183,124.661,294.713,390.931,50.148,176.782,184.694
353.499,271.708,461.129,132.228,330.733,150.682,407.467,504.731,163.759,1310.91,742.203,450.631,1291.18,312.37,149.224,50.983,214.622,116.904,173.834,199.317,82.5715,182.085,176.67,154.087,52.6551,87.6021,48.4547,53.5757,237.759,137.908,145.986,213.663,451.542,203.861,134.374,444.624,286.725,185.124,74.1338,337.795,297.344,120.804,47.2952,113.099,363.055,178.377,307.207,78.2446,195.623,257.952,156.365,454.104,88.5599,141.692,143.952,413.294,165.379,172.428,267.586,406.013,185.154,304.676,90.7936,578.752,171.945,82.9455,256.443,459.686,86.4512,108.231,198.157
368.561,348.652,395.751,155.527,409.4,162.081,242.518,692.579,149.268,1379.45,869.301,482.297,1603.47,280.547,92.2219,61.0117,108.52,93.1099,110.901,128.519,57.231,136.259,181.291,115.715,58.2547,75.2659,51.8418,44.7531,227.111,118.503,118.741,169.532,457.288,206.496,141.537,383.393,380.24,206.577,120.131,580.941,449.235,248.642,77.3792,138.189,442.01,204.485,245.413,67.2696,160.482,217.119,152.859,391.596,69.9991,148.66,161.561,442.64,194.861,207.26,406.566,414.934,203.988,299.681,82.4705,339.703,184.216,100.361,292.792,686.668,62.4781,211.625,199.024
286.985,249.596,497.325,74.3632,266.495,119.815,176.695,449.759,98.5133,1284.52,654.15,375.063,1809.74,350.429,161.85,57.9962,151.228,135.625,170.743,136.488,50.9726,135.797,140.513,97.3138,46.3173,92.8112,45.2925,36.3564,207.935,87.4913,102.006,172.177,407.919,168.392,105.917,300.383,303.649,166.072,88.3061,513.682,363.124,207.172,55.8962,123.277,418.841,177.604,365.249,109.953,197.925,309.652,171.819,513.879,88.837,165.316,124.826,367.726,167.705,143.567,236.019,257.993,122.009,213.195,72.699,359.524,124.645,85.742,361.491,529.322,40.9404,32.7145,174.894
412.472,193.914,522.577,90.2877,204.472,119.445,331,410.657,155.037,826.656,646.05,263.953,1209.44,285.427,364.753,175.162,223.005,138.406,291.376,234.266,73.4764,167.573,202.809,135.538,58.606,97.4791,52.3664,48.2582,321.278,129.779,148.258,227.731,634.567,207.678,158.976,497.453,351.79,270.679,134.073,511.907,407.357,183.097,83.6214,155.777,502.165,199.273,340.365,98.9087,199.999,306.515,214.194,479.826,95.7919,172.409,132.576,389.889,161.256,182.686,239.587,283.631,144.21,232.7,89.3268,370.058,140.881,95.4671,259.041,367.721,68.2782,184.573,210.896
348.207,178.145,526.716,88.3068,254.976,181.599,196.881,432.385,142.967,1030.09,658.47,304.484,1107.06,342.136,226.9,162.84,213.033,153.116,284.342,251.829,87.5226,174.356,213.264,129.876,67.8972,82.2473,53.0821,54.2988,201.675,117.726,116.893,156.595,423.345,136.205,108.24,340.06,323.749,154.05,122.95,415.215,417.822,201.91,78.473,159.219,436.679,200.124,256.856,82.2474,138.155,253.593,162.41,424.276,83.587,128.449,133.001,336.05,144.33,173.43,231.376,358.908,156.649,214.864,87.9254,436.434,219.952,124.332,332.899,614.887,57.8361,154.015,197.297
288.242,216.531,519.858,97.1647,244.673,123.033,205.784,318.423,122.355,815.718,548.997,237.437,967.793,138.404,97.6551,66.0095,222.341,95.1865,239.511,244.919,75.7269,233.848,190.18,110.706,67.6763,87.9338,44.8508,41.4293,178.813,84.6957,94.8824,165.42,368.313,139.963,138.617,314.251,311.993,256.219,109.233,451.751,378.743,176.118,63.1214,120.401,420.45,182.488,234.07,87.5282,207.947,324.998,183.95,482.901,94.283,162.297,119.011,373.836,136.794,139.103,200.969,273.887,148.263,193.153,58.9498,338.989,198.578,84.9241,255.573,643.489,45.2082,98.9952,176.284
408.734,450.321,401.56,104.503,206.074,175.655,259.733,513.345,134.046,820.873,437.32,313.514,1247.51,371.667,199.79,141.019,202.477,137.879,247.166,202.109,61.829,151.041,138.057,95.2042,45.9795,71.3891,33.239,34.3113,192.214,73.5635,85.6571,145.235,400.064,127.599,125.329,329.853,307.733,188.306,92.3599,351.774,382.166,140,79.2249,105.371,397.668,176.162,196.308,77.81,201.033,265.629,199.278,534.106,118.373,198.766,170.829,452.917,160.163,166.383,292.26,272.126,130.525,187.828,60.8159,360.496,148.241,113.48,295.188,667.07,136.489,42.9722,183.811
569.227,328.362,580.118,125.937,178.106,170.953,279.943,579.009,128.852,915.752,860.328,258.757,979.256,324.565,129.402,64.9991,148.589,125.824,170.116,206.321,83.2152,215.123,190.159,144.775,71.9693,126.642,55.6368,64.7608,403.995,127.049,181.26,211.643,630.608,224.041,168.022,425.917,368.579,217.031,100.605,456.712,389.355,151.023,65.6985,119.514,384.081,174.528,232.557,69.7047,179.448,304.565,173.719,608.336,115.421,176.857,132.45,500.01,191.587,180.328,305.968,333.505,172.191,245.328,88.755,411.726,199.651,126.63,254.006,624.098,46.9044,119.813,207.495
