m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.42565,0.325284,0.250756,0.198085,0.162475,0.139859,0.127378,0.123433,0.127634,0.140669,0.164253,0.200995,0.253736,0.323709,0.406942,0.492017,0.562566,0.602764,0.60436,0.570651,0.51461,0.451671,0.392417,0.342232,0.302918,0.274325,0.255485,0.245258,0.242717,0.247178,0.258066,0.274657,0.295719,0.319096,0.342097,0.362106,0.376982,0.385483,0.38757,0.384477,0.378132,0.370348,0.362679,0.356402,0.352562,0.352037,0.355544,0.363471,0.375837,0.392226,0.411621,0.432185,0.451184,0.466017,0.474965,0.477501,0.474432,0.467836,0.460788,0.456069,0.455229,0.458701,0.465844,0.474848,0.48256,0.48529,0.480635,0.467959,0.448425,0.424691
0.27198,0.263553,0.253011,0.237571,0.217323,0.19462,0.172979,0.156065,0.147281,0.148953,0.163286,0.193707,0.245075,0.321685,0.420832,0.526713,0.6131,0.653811,0.637642,0.575326,0.492304,0.412694,0.348175,0.30146,0.271143,0.254544,0.248754,0.250805,0.258436,0.269978,0.284038,0.299378,0.314913,0.329773,0.343237,0.354691,0.363688,0.369994,0.373623,0.374843,0.374144,0.372175,0.369715,0.367652,0.36698,0.368821,0.374308,0.384126,0.398418,0.41669,0.437605,0.458703,0.476357,0.487256,0.489481,0.482904,0.469228,0.451668,0.434387,0.420942,0.413412,0.412773,0.419158,0.431893,0.449293,0.468966,0.488847,0.507436,0.523973,0.538627
0.347746,0.257976,0.19348,0.149586,0.121138,0.104043,0.095625,0.0945621,0.100795,0.115492,0.141151,0.18166,0.241831,0.325445,0.43061,0.545405,0.648807,0.716981,0.733886,0.699378,0.628765,0.543305,0.459346,0.386221,0.327704,0.284265,0.254977,0.238701,0.234393,0.241389,0.259362,0.287761,0.324642,0.365039,0.401748,0.427698,0.438109,0.432304,0.414062,0.390381,0.368169,0.35155,0.342459,0.341402,0.347829,0.360056,0.375341,0.391105,0.405241,0.416299,0.423711,0.427943,0.430413,0.432568,0.435464,0.439755,0.445692,0.453107,0.4614,0.469922,0.478351,0.486741,0.495555,0.505701,0.518589,0.535855,0.558766,0.588125,0.624173,0.666362
0.546484,0.394794,0.287154,0.213095,0.16342,0.131117,0.111374,0.101303,0.0996983,0.106684,0.12373,0.153785,0.200917,0.268453,0.354143,0.445746,0.522939,0.565032,0.561957,0.52004,0.457834,0.39463,0.341087,0.300827,0.273735,0.258163,0.251882,0.252377,0.257674,0.266329,0.277192,0.289319,0.301971,0.314639,0.326915,0.338383,0.348632,0.357277,0.363976,0.36845,0.370611,0.37072,0.369393,0.367578,0.366525,0.367789,0.373025,0.383269,0.398816,0.419095,0.442373,0.465328,0.483001,0.491062,0.4875,0.473131,0.451382,0.427484,0.407489,0.395989,0.395144,0.405488,0.426098,0.453966,0.48275,0.503633,0.50962,0.49779,0.470247,0.433291
0.524784,0.341895,0.227408,0.159914,0.121911,0.102314,0.0950532,0.0973401,0.108406,0.12904,0.161202,0.207337,0.269113,0.345187,0.428167,0.504039,0.556612,0.574127,0.554814,0.507545,0.447375,0.388348,0.338176,0.299597,0.272633,0.256166,0.248708,0.248722,0.255091,0.267051,0.283944,0.304992,0.32908,0.354568,0.379461,0.401703,0.419409,0.431133,0.436106,0.434379,0.426774,0.414698,0.399951,0.384547,0.370571,0.360142,0.35523,0.357071,0.36628,0.382934,0.406397,0.434899,0.465113,0.49314,0.51535,0.528939,0.53248,0.526248,0.512165,0.492995,0.471554,0.450479,0.432139,0.418678,0.41219,0.414577,0.427128,0.450653,0.485373,0.530406
0.327584,0.244201,0.18399,0.142804,0.115994,0.0998336,0.0918818,0.0909532,0.0970645,0.111394,0.136357,0.175593,0.233295,0.311864,0.406854,0.503245,0.578868,0.613409,0.599134,0.545073,0.471422,0.397935,0.335356,0.28719,0.253109,0.231344,0.219882,0.216922,0.221259,0.232129,0.248879,0.270597,0.295688,0.321472,0.344729,0.362584,0.373132,0.375949,0.372269,0.364785,0.356574,0.349904,0.346233,0.346354,0.350504,0.358393,0.369291,0.382439,0.397088,0.412478,0.427826,0.442341,0.455253,0.465866,0.473614,0.478099,0.479126,0.476719,0.471134,0.463111,0.454042,0.44588,0.441086,0.442707,0.454696,0.481786,0.528808,0.601097,0.704358,0.843241
0.512856,0.332456,0.221039,0.157155,0.12293,0.107403,0.104997,0.113535,0.132594,0.16291,0.205707,0.261558,0.329103,0.403889,0.477936,0.540946,0.583187,0.598728,0.587521,0.555267,0.511302,0.465034,0.422602,0.387117,0.359624,0.339937,0.327153,0.319989,0.317376,0.318534,0.322877,0.329941,0.339345,0.350745,0.363701,0.377553,0.391371,0.403914,0.413628,0.418709,0.417701,0.410342,0.397636,0.381658,0.365225,0.351598,0.343943,0.344214,0.353393,0.371711,0.39842,0.431097,0.464911,0.494204,0.514049,0.521347,0.515681,0.499477,0.477375,0.454046,0.432713,0.415301,0.402743,0.395254,0.392491,0.393806,0.398596,0.406284,0.416261,0.427842
0.308627,0.232964,0.177426,0.138567,0.112514,0.0960691,0.0870303,0.0841949,0.0873213,0.0970568,0.114983,0.143661,0.186346,0.245764,0.321173,0.405558,0.485879,0.546225,0.574021,0.565823,0.528748,0.475749,0.418386,0.364566,0.318659,0.282491,0.256453,0.240335,0.233594,0.235662,0.24601,0.263889,0.28772,0.314299,0.339421,0.359086,0.370372,0.372261,0.366008,0.354881,0.342679,0.332153,0.325029,0.322234,0.324095,0.330416,0.340583,0.353932,0.36974,0.387158,0.405153,0.422474,0.437712,0.449763,0.45814,0.463081,0.465586,0.467388,0.470865,0.477864,0.488661,0.501805,0.513849,0.519138,0.510138,0.480644,0.430728,0.366754,0.298486,0.23522
0.38665,0.295217,0.228162,0.182289,0.152997,0.136413,0.130012,0.132626,0.144297,0.166232,0.200667,0.250412,0.317688,0.401696,0.494806,0.581393,0.642592,0.663694,0.641074,0.583846,0.509188,0.433872,0.367753,0.31474,0.275245,0.248149,0.231988,0.225525,0.227919,0.238648,0.257237,0.282724,0.312875,0.343315,0.368564,0.383951,0.387006,0.378328,0.361452,0.341856,0.324696,0.312986,0.308129,0.310464,0.31948,0.333641,0.350389,0.36723,0.382054,0.393369,0.400547,0.404,0.405113,0.40549,0.406606,0.409799,0.41631,0.427361,0.444202,0.467457,0.496259,0.527657,0.555883,0.571948,0.564525,0.525322,0.456631,0.370638,0.28333,0.207576
0.511853,0.378817,0.284689,0.222944,0.185352,0.16548,0.159323,0.164929,0.181782,0.210557,0.252662,0.309242,0.379611,0.458998,0.536258,0.595433,0.622258,0.610443,0.564669,0.498229,0.427203,0.36401,0.313886,0.277482,0.253422,0.239693,0.234122,0.234452,0.238958,0.24642,0.255945,0.266912,0.278982,0.292128,0.306419,0.321823,0.338172,0.355138,0.372186,0.388552,0.403313,0.415553,0.424431,0.429247,0.429507,0.424968,0.415785,0.40284,0.387668,0.372271,0.358943,0.350228,0.348874,0.356915,0.375532,0.40508,0.444527,0.490214,0.534352,0.567094,0.580899,0.57315,0.547187,0.511157,0.475584,0.449497,0.437383,0.44086,0.459796,0.492073
0.425164,0.276137,0.182933,0.127894,0.0968291,0.0807899,0.0749742,0.0774603,0.0884648,0.11024,0.147261,0.206197,0.294538,0.415764,0.559315,0.694,0.778334,0.78327,0.711313,0.593887,0.470487,0.367563,0.29224,0.241846,0.211141,0.195325,0.19059,0.19376,0.202641,0.215663,0.231489,0.248846,0.266527,0.283486,0.298854,0.311972,0.322492,0.330461,0.336356,0.341081,0.34569,0.350988,0.357479,0.365358,0.374475,0.3843,0.394005,0.40289,0.410499,0.416669,0.421555,0.425651,0.429735,0.434445,0.440084,0.446608,0.453603,0.460247,0.465313,0.467632,0.466557,0.462028,0.454566,0.445227,0.435502,0.42691,0.420394,0.416344,0.414651,0.414734
0.480885,0.334323,0.234268,0.168058,0.12534,0.0986695,0.0832207,0.0763175,0.0771551,0.0865659,0.107364,0.145067,0.208224,0.306319,0.441049,0.594347,0.727197,0.795583,0.778133,0.690582,0.573017,0.462044,0.373969,0.311216,0.270501,0.24736,0.237731,0.238142,0.246276,0.260602,0.279845,0.30266,0.327406,0.35206,0.374464,0.392695,0.405392,0.412025,0.413035,0.409801,0.404138,0.397629,0.391544,0.38684,0.384205,0.3841,0.386785,0.392307,0.400487,0.410887,0.422743,0.434902,0.445839,0.454272,0.459524,0.461611,0.461282,0.459988,0.45979,0.462445,0.468646,0.477998,0.488912,0.498428,0.502121,0.495428,0.476237,0.445448,0.406555,0.364555
0.372196,0.284481,0.218839,0.171583,0.13882,0.117297,0.104727,0.0999365,0.10301,0.115248,0.139456,0.180338,0.24418,0.336334,0.454163,0.580048,0.683878,0.735296,0.720907,0.652306,0.558019,0.465545,0.388734,0.331143,0.291318,0.266103,0.252019,0.245674,0.244627,0.247259,0.252458,0.259487,0.267935,0.277721,0.288858,0.301259,0.314716,0.328858,0.343125,0.356737,0.368835,0.378732,0.386006,0.390551,0.392607,0.392757,0.391821,0.390559,0.389616,0.389516,0.390675,0.393412,0.397945,0.40435,0.412525,0.422171,0.432756,0.443478,0.453247,0.46098,0.465921,0.467719,0.466461,0.462678,0.457304,0.451409,0.445768,0.440831,0.436749,0.433387
0.381788,0.274282,0.199104,0.148817,0.11637,0.0964537,0.0856075,0.0819573,0.0849917,0.0954035,0.115146,0.147548,0.19703,0.267525,0.358311,0.45968,0.553164,0.616884,0.635473,0.608092,0.548396,0.475585,0.404045,0.341667,0.291404,0.253339,0.226286,0.208766,0.199493,0.197527,0.202242,0.213165,0.229703,0.250754,0.274796,0.30007,0.324634,0.346549,0.36418,0.376494,0.383195,0.384662,0.381899,0.376423,0.370122,0.365153,0.363643,0.366943,0.375611,0.389428,0.407231,0.426577,0.443623,0.454896,0.458554,0.454802,0.445923,0.435943,0.430133,0.432555,0.444368,0.463826,0.48549,0.499085,0.489755,0.445629,0.369711,0.27878,0.193065,0.125786
0.355972,0.29521,0.243639,0.199176,0.161744,0.131829,0.109781,0.0958025,0.0904034,0.0944569,0.110204,0.142598,0.200156,0.293575,0.427063,0.584545,0.72552,0.800079,0.780922,0.683294,0.551886,0.427969,0.329691,0.259135,0.211859,0.182317,0.165885,0.159232,0.16044,0.168575,0.183202,0.203944,0.229955,0.259326,0.289234,0.316535,0.338369,0.35289,0.35984,0.360732,0.358016,0.353864,0.349948,0.347432,0.347012,0.34897,0.353284,0.359924,0.368906,0.380282,0.394145,0.410625,0.429846,0.451593,0.47507,0.498735,0.52015,0.535917,0.541889,0.534947,0.514712,0.483606,0.446138,0.407785,0.373982,0.348729,0.333497,0.32821,0.33182,0.342234
0.525116,0.400073,0.306461,0.238598,0.190868,0.158596,0.13838,0.128179,0.127364,0.13648,0.157339,0.19318,0.248146,0.325073,0.420211,0.519067,0.599424,0.639912,0.631169,0.581051,0.509757,0.437856,0.376723,0.330259,0.298372,0.279372,0.271073,0.271184,0.277976,0.290172,0.306617,0.326035,0.346849,0.367097,0.384736,0.398044,0.405882,0.4079,0.404621,0.397377,0.38787,0.37762,0.367897,0.35973,0.353945,0.351233,0.352158,0.357058,0.366045,0.378978,0.395392,0.414362,0.434418,0.453967,0.471562,0.486028,0.496598,0.503015,0.50558,0.504887,0.501546,0.496144,0.489218,0.481239,0.472609,0.463649,0.454602,0.445638,0.436854,0.428287
0.303437,0.251465,0.20964,0.177803,0.154995,0.140158,0.132559,0.132075,0.139446,0.156258,0.185014,0.229073,0.29176,0.373791,0.468345,0.558725,0.623657,0.646354,0.623264,0.565839,0.494204,0.426588,0.371978,0.33276,0.308126,0.296052,0.293959,0.298792,0.308025,0.319745,0.332489,0.345268,0.35767,0.369938,0.382404,0.395003,0.40719,0.417877,0.425387,0.427517,0.422418,0.40985,0.39124,0.369318,0.347592,0.329903,0.31979,0.319303,0.329473,0.350638,0.38211,0.421115,0.461575,0.49615,0.518608,0.525637,0.518023,0.500564,0.480793,0.46528,0.457536,0.458706,0.467993,0.482487,0.496575,0.503182,0.49742,0.477883,0.446875,0.409548
0.241817,0.205224,0.174529,0.149545,0.130064,0.115898,0.107012,0.103749,0.107157,0.118978,0.142008,0.180541,0.240062,0.324822,0.431346,0.542575,0.631132,0.670821,0.65154,0.585292,0.498155,0.414375,0.345754,0.295043,0.260755,0.240097,0.230152,0.228189,0.232342,0.241468,0.254853,0.272061,0.292876,0.317284,0.345097,0.375537,0.406982,0.436715,0.460802,0.474281,0.472967,0.456044,0.426399,0.389642,0.352461,0.321259,0.300991,0.293868,0.300743,0.321973,0.357075,0.403038,0.451995,0.493476,0.518011,0.520485,0.502327,0.471026,0.437367,0.409992,0.393123,0.388169,0.3948,0.411093,0.432796,0.453798,0.468844,0.474622,0.47055,0.458988
0.274484,0.20865,0.159915,0.125454,0.102065,0.0870693,0.0785917,0.0755887,0.0778381,0.0858863,0.101115,0.125849,0.163242,0.216462,0.286428,0.369216,0.455173,0.529994,0.579041,0.593216,0.57289,0.526717,0.466318,0.402532,0.343409,0.293808,0.256074,0.230991,0.218074,0.216536,0.225837,0.245535,0.27446,0.309314,0.345008,0.376023,0.397684,0.407682,0.407024,0.399941,0.391653,0.385816,0.384497,0.388426,0.397111,0.408699,0.420204,0.429003,0.433324,0.432467,0.426922,0.418306,0.409043,0.401258,0.396411,0.395423,0.398784,0.406606,0.418617,0.434159,0.452143,0.470905,0.488066,0.500495,0.504445,0.496668,0.476223,0.444758,0.405985,0.364666
0.413359,0.320685,0.251055,0.201539,0.168048,0.14696,0.135669,0.132657,0.137409,0.150295,0.172441,0.205464,0.250824,0.308451,0.374466,0.44024,0.494495,0.52673,0.531297,0.509794,0.470276,0.423158,0.376432,0.334961,0.301136,0.275788,0.258975,0.250501,0.250035,0.257179,0.271366,0.291504,0.315371,0.338992,0.357709,0.367819,0.367557,0.357648,0.34113,0.32256,0.306248,0.294818,0.28964,0.291304,0.299871,0.314845,0.335139,0.359543,0.386679,0.414904,0.442297,0.466734,0.486084,0.498706,0.503821,0.501669,0.493492,0.481372,0.467961,0.455724,0.446442,0.44133,0.441185,0.446494,0.457494,0.474253,0.496794,0.525034,0.558686,0.59712
0.350711,0.268258,0.208358,0.168587,0.144669,0.133025,0.131415,0.138785,0.154803,0.179803,0.214551,0.259666,0.314913,0.378356,0.445556,0.509684,0.562895,0.598231,0.611592,0.602974,0.576399,0.538209,0.494517,0.450265,0.408996,0.372992,0.343579,0.321415,0.306454,0.298172,0.295739,0.298004,0.303344,0.309503,0.314286,0.316209,0.314655,0.309946,0.3033,0.296678,0.292116,0.291015,0.294241,0.302253,0.315121,0.332423,0.353194,0.376229,0.400086,0.423055,0.443202,0.45848,0.466997,0.467785,0.461201,0.448881,0.43348,0.418325,0.407115,0.402775,0.406816,0.419658,0.440605,0.467391,0.495388,0.518271,0.530901,0.530679,0.518262,0.497421
0.300785,0.274779,0.249625,0.223979,0.198432,0.174662,0.154703,0.140562,0.134278,0.137517,0.152265,0.181813,0.230952,0.304499,0.402228,0.513474,0.617455,0.689329,0.712004,0.68562,0.627103,0.558731,0.495299,0.443716,0.405761,0.380448,0.36534,0.357229,0.353568,0.352625,0.353271,0.354905,0.357424,0.361202,0.366642,0.373856,0.382639,0.392422,0.40222,0.410581,0.415994,0.417571,0.41519,0.409518,0.401943,0.394454,0.389243,0.387829,0.391026,0.399044,0.411471,0.427136,0.44401,0.459993,0.47339,0.48308,0.488676,0.490618,0.490136,0.488555,0.486668,0.484711,0.48237,0.478797,0.472647,0.46256,0.447979,0.429215,0.407326,0.383919
