ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
306.528,0.716401,0.42565,198.618,247.714,0.279169,1.26013, 29.8967, 55.1801,0.55163,1.00069,25.2232,4.93634,1.09828,3.26519,0.397975,5.66511,0.532556,2.055,0.05,2.055,0.05,-885.487
353.307,0.728103,0.27198,199.126,79.8147,0.255258,1.03544, 29.0025, 62.507,0.526766,0.998533,24.8205,5.41408,1.19712,3.17702,0.372796,5.68729,0.53841,2.055,0.05,2.055,0.05,-788.535
377.958,0.658889,0.347746,217.305,129.128,0.310048,0.92245, 22.5657, 61.77,0.507619,0.997249,17.3305,5.84259,1.2214,3.40509,0.437643,5.72048,0.534779,2.055,0.05,2.055,0.05,-778.123
287.824,0.637251,0.546484,192.477,511.538,0.354009,1.27043, 25.7761, 54.139,0.567068,0.992307,22.7543,4.7768,1.105,3.20016,0.366716,5.74312,0.530081,2.055,0.05,2.055,0.05,-769.551
313.196,0.858848,0.524784,204.622,432.924,0.367975,1.17842, 30.5191, 55.2401,0.554893,1.00172,22.324,4.75279,1.08102,3.15832,0.359814,5.66418,0.520342,2.055,0.05,2.055,0.05,-759.148
251.823,0.737112,0.327584,188.825,136.701,0.313926,1.32883, 13.2904, 46.0533,0.575795,1.00238,13.9564,5.08248,1.11393,3.27962,0.404499,5.63691,0.519379,2.055,0.05,2.055,0.05,-768.398
446.111,0.611826,0.512856,208.412,286.118,0.270153,1.10981, 54.3296, 75.8019,0.494201,0.999801,25.4407,4.73141,1.00294,3.26525,0.40316,5.6111,0.518801,2.055,0.05,2.055,0.05,-759.42
334.3,0.784595,0.308627,184.694,95.8746,0.310945,1.21384, 50.2914, 68.3594,0.56444,1.00348,28.9815,4.30162,0.933548,3.17537,0.353648,5.61635,0.516737,2.055,0.05,2.055,0.05,-797.09
267.373,0.767468,0.38665,198.157,163.212,0.242969,1.35769, 39.0323, 49.3543,0.536188,0.994877,30.5369,5.16638,1.13478,3.16237,0.366217,5.65908,0.536243,2.055,0.05,2.055,0.05,-774.876
326.703,0.657952,0.511853,199.024,276.592,0.32421,1.25185, 32.5787, 55.427,0.579948,0.983352,23.4403,5.07462,1.12389,3.21142,0.388319,5.62351,0.528241,2.055,0.05,2.055,0.05,-786.538
246.004,0.745446,0.425164,174.894,186.293,0.261573,0.946909, 28.678, 46.9977,0.596862,0.999834,22.4965,4.86294,1.05048,3.2279,0.417193,5.59405,0.524811,2.055,0.05,2.055,0.05,-763.862
439.51,0.556019,0.480885,210.896,233.837,0.262937,1.18238, 47.2571, 74.9171,0.495938,1.01222,19.398,5.51893,1.26336,3.30398,0.435721,5.79963,0.560904,2.055,0.05,2.055,0.05,-779.262
418.22,0.582246,0.372196,197.297,105.981,0.289402,1.3822, 44.2274, 77.3431,0.542338,0.994246,25.1415,5.10035,1.15672,3.15745,0.377159,5.59352,0.523343,2.055,0.05,2.055,0.05,-776.04
369.56,0.564016,0.381788,176.284,152.565,0.306942,1.31944, 84.2089, 78.0116,0.614601,0.999867,45.5655,4.75145,1.07293,3.25919,0.423237,5.53088,0.52248,2.055,0.05,2.055,0.05,-777.283
307.417,0.596432,0.355972,183.811,128.713,0.399489,1.49452, 52.3927, 61.1762,0.559987,1.00163,36.9445,4.90326,1.16257,3.21515,0.376545,5.61014,0.536172,2.055,0.05,2.055,0.05,-752.334
366.629,0.738902,0.525116,207.495,291.42,0.261071,1.22304, 38.1066, 61.6331,0.496007,0.982442,23.0794,4.96301,1.0801,3.15673,0.349999,5.7162,0.5537,2.055,0.05,2.055,0.05,-782.393
321.939,0.799378,0.303437,209.634,147.31,0.248654,1.16372, 30.7042, 54.1512,0.479337,0.998507,17.8278,4.80323,1.10945,3.15878,0.34913,5.73561,0.555481,2.055,0.05,2.055,0.05,-765.774
283.105,0.675993,0.241817,196.138,81.3858,0.281923,1.10171, 27.1762, 53.5433,0.52726,1.00291,33.5477,5.34589,1.29605,3.17518,0.355729,5.56716,0.522705,2.055,0.05,2.055,0.05,-771.461
305.621,0.819562,0.274484,187.392,121.93,0.25939,0.968518, 32.859, 60.4541,0.550419,0.999177,27.2388,6.00605,1.3603,3.31401,0.439911,5.78378,0.555004,2.055,0.05,2.055,0.05,-779.278
276.145,0.810557,0.413359,196.335,218.237,0.23973,1.30634, 20.6699, 50.954,0.564663,0.999179,26.0496,5.59925,1.23504,3.27118,0.380006,5.72464,0.537599,2.055,0.05,2.055,0.05,-787.663
377.995,0.738872,0.350711,208.106,86.5204,0.317908,0.951227, 29.4941, 66.076,0.53696,1.00461,23.9768,5.33875,1.1791,3.21805,0.386695,5.60951,0.527495,2.055,0.05,2.055,0.05,-781.673
314.421,0.66425,0.300785,234.502,97.6317,0.295384,0.993449, 35.4801, 49.3118,0.47959,1.01257,27.2949,4.58551,1.02216,3.21568,0.37571,5.75021,0.555563,2.055,0.05,2.055,0.05,-764.222
265.892,0.7887,0.733448,203.242,1104.6,0.318766,1.15762, 27.0925, 45.1702,0.531196,1.01022,25.8551,5.68383,1.22916,3.54426,0.50232,5.73959,0.533499,2.055,0.05,2.055,0.05,-782.452
379.127,0.706067,0.670011,219.722,867.642,0.284327,1.02534, 21.9006, 59.3313,0.473331,1.02073,16.0762,5.03506,1.05656,3.4575,0.476754,5.72404,0.544253,2.055,0.05,2.055,0.05,-760.651
387.825,0.780741,0.401418,205.103,169.103,0.241883,1.18602, 77.055, 71.7227,0.476015,0.995516,53.0338,4.83395,1.0572,3.3155,0.404087,5.67118,0.534983,2.055,0.05,2.055,0.05,-768.748
340.37,0.669937,0.424887,209.961,144.9,0.308794,1.17881, 43.1995, 58.5126,0.487417,1.00327,31.25,4.61881,1.04549,3.10709,0.348206,5.63973,0.542275,2.055,0.05,2.055,0.05,-771.453
304.267,0.727534,0.510144,192.74,147.587,0.244401,1.22297, 18.4399, 56.1092,0.541022,1.00411,16.2018,5.20039,1.1862,3.24181,0.412894,5.59872,0.508381,2.055,0.05,2.055,0.05,-766.946
321.142,0.779179,0.477154,200.378,256.125,0.343104,0.969855, 30.4498, 57.2698,0.559899,0.9865,20.3054,5.28636,1.15584,3.24456,0.378989,5.70508,0.541729,2.055,0.05,2.055,0.05,-766.26
290.463,0.676416,0.561841,188.883,401.73,0.302476,1.04548, 24.8161, 54.8339,0.607976,1.00702,23.3189,5.39659,1.17861,3.22784,0.365099,5.73485,0.530224,2.055,0.05,2.055,0.05,-758.185
283.309,0.636768,0.416729,206.166,196.71,0.38359,1.15746, 35.078, 51.0502,0.505569,1.00287,32.6384,6.17691,1.37933,3.34481,0.427742,5.62216,0.517546,2.055,0.05,2.055,0.05,-769.559
328.304,0.741474,0.423149,213.989,177.477,0.220182,0.908328, 42.3694, 54.1322,0.528749,0.989048,36.3766,6.04724,1.30239,3.3489,0.42486,5.70492,0.533479,2.055,0.05,2.055,0.05,-772.476
433.149,0.674434,0.379537,234.236,105.742,0.336107,1.14694, 29.2808, 65.6406,0.479758,0.989724,21.6789,6.32914,1.38046,3.27621,0.377287,5.73621,0.535595,2.055,0.05,2.055,0.05,-783.141
359.512,0.723153,0.312719,249.449,60.3824,0.351815,1.18444, 29.6345, 51.6735,0.422732,0.984754,20.4173,5.96654,1.24205,3.39306,0.435208,5.5674,0.507771,2.055,0.05,2.055,0.05,-763.236
509.488,0.65818,0.354466,256.324,112.856,0.302667,1.17959, 50.5096, 73.8538,0.400643,0.998378,25.1502,5.20171,1.10062,3.4066,0.432545,5.60351,0.508279,2.055,0.05,2.055,0.05,-772.813
645.801,0.552636,0.689342,244.463,641.563,0.190324,0.906722, 54.5921, 93.3827,0.449604,0.990965,18.9708,5.18752,1.09628,3.28608,0.390047,5.72621,0.532634,2.055,0.05,2.055,0.05,-760.597
505.102,0.68835,0.622023,210.709,421.647,0.285998,0.905153, 44.4089, 83.3963,0.483111,0.992365,23.9616,4.53162,0.994993,3.27302,0.385907,5.55354,0.501489,2.055,0.05,2.055,0.05,-744.073
313.869,0.680023,0.520764,222.039,287.514,0.277206,1.21396, 51.4955, 51.343,0.472246,0.997071,40.5669,5.07937,1.00087,3.31873,0.423618,5.61402,0.517735,2.055,0.05,2.055,0.05,-756.974
244.622,0.863002,0.587676,195.042,369.068,0.287413,1.3806, 30.6871, 42.9801,0.540783,0.991651,28.0425,4.88728,1.06348,3.28605,0.410998,5.6571,0.538955,2.055,0.05,2.055,0.05,-750.405
311.793,0.753807,0.413547,183.666,240.236,0.279874,1.07869, 48.6041, 61.6087,0.565393,1.01728,34.6724,4.90421,1.2249,3.36937,0.450565,5.80199,0.570638,2.055,0.05,2.055,0.05,-751.34
320.544,0.77603,0.507706,211.984,230.627,0.289803,1.04191, 26.9028, 51.5272,0.503987,1.00219,19.4782,5.39185,1.23207,3.40249,0.494136,5.68909,0.530685,2.055,0.05,2.055,0.05,-757.297
370.798,0.724074,0.504728,194.483,222.237,0.244049,1.20048, 55.3273, 67.6743,0.558287,1.00781,29.3403,4.47356,0.94517,3.29216,0.403714,5.61729,0.51375,2.055,0.05,2.055,0.05,-765.791
339.43,0.772716,0.38837,189.969,97.2622,0.331581,1.05149, 24.0837, 60.8368,0.560737,1.00899,19.4426,5.01895,1.0579,3.31199,0.430758,5.59436,0.525447,2.055,0.05,2.055,0.05,-773.799
293.764,0.588399,0.304454,193.353,39.5012,0.274937,1.02223, 25.1749, 52.0457,0.542354,0.99992,21.9438,4.54754,0.921712,3.3293,0.422649,5.52278,0.495942,2.055,0.05,2.055,0.05,-755.614
300.713,0.744335,0.335377,182.463,73.6522,0.312869,0.940283, 30.1621, 59.5311,0.560131,0.98732,30.9148,4.85273,1.05281,3.17221,0.372001,5.59299,0.533964,2.055,0.05,2.055,0.05,-769.271
315.974,0.778408,0.369958,215.594,138.605,0.296457,1.11919, 31.4387, 52.9807,0.467049,1.00859,27.3661,4.59174,0.98651,3.06455,0.340316,5.65925,0.539712,2.055,0.05,2.055,0.05,-764.413
421.248,0.561791,0.466184,201.985,202.637,0.284639,1.3057, 38.3641, 72.7355,0.536176,1.00179,29.3292,5.1136,1.2735,3.32001,0.422323,5.70573,0.536901,2.055,0.05,2.055,0.05,-756.281
419.386,0.62478,0.326684,188.618,78.4571,0.251514,1.17436, 36.3153, 79.8526,0.595952,0.988055,19.8616,4.55936,1.04718,3.37529,0.463511,5.63767,0.528869,2.055,0.05,2.055,0.05,-751.217
549.598,0.563844,0.32956,203.705,144.895,0.280312,1.1164, 69.4204, 96.485,0.541221,1.01834,29.7617,5.18695,1.15594,3.3582,0.445936,5.62972,0.514891,2.055,0.05,2.055,0.05,-758.765
397.516,0.554639,0.271242,223.511,79.7681,0.3831,1.20952, 52.3169, 67.3084,0.436062,0.992439,35.9368,5.3791,1.09533,3.17055,0.355869,5.55867,0.513345,2.055,0.05,2.055,0.05,-743.511
277.57,0.746389,0.385867,187.618,219.879,0.328787,1.34341, 21.2829, 52.9195,0.566772,0.992958,20.9776,5.44012,1.29278,3.17951,0.356741,5.6826,0.544535,2.055,0.05,2.055,0.05,-750.153
326.425,0.771176,0.390977,188.652,154.177,0.239337,0.979062, 24.5453, 63.0993,0.55047,1.00258,24.6861,5.8975,1.35983,3.18759,0.365197,5.68353,0.547456,2.055,0.05,2.055,0.05,-775.006
354.985,0.524651,0.483627,213.362,200.99,0.252887,1.12182, 34.7557, 57.4331,0.507999,1.00898,25.5923,5.2495,1.16435,3.2636,0.403515,5.65774,0.525735,2.055,0.05,2.055,0.05,-777.747
384.579,0.708086,0.298475,201.21,76.7787,0.251622,1.03416, 38.6799, 68.6151,0.537852,1.01137,27.1568,5.90666,1.35813,3.30336,0.44317,5.65655,0.524934,2.055,0.05,2.055,0.05,-769.007
310.705,0.811122,0.571148,193.902,442.251,0.201448,1.12489, 29.5428, 56.2523,0.564667,1.00865,24.7023,5.08704,1.19279,3.17355,0.362801,5.729,0.543192,2.055,0.05,2.055,0.05,-759.627
277.77,0.832154,0.342141,169.165,169.135,0.241647,1.05185, 21.7145, 58.4275,0.632733,1.00496,22.4346,5.13138,1.25011,3.32458,0.426772,5.7322,0.546845,2.055,0.05,2.055,0.05,-751.086
343.39,0.591594,0.307082,176.907,120.881,0.211305,1.1319, 44.5983, 72.6117,0.58524,1.00577,33.1602,4.81844,1.09952,3.25005,0.401004,5.71866,0.530605,2.055,0.05,2.055,0.05,-783.334
272.515,0.573699,0.491529,166.8,471.28,0.322601,1.34679, 33.0943, 60.2309,0.618885,1.02477,33.6881,4.79815,1.12734,3.10979,0.350855,5.64487,0.527949,2.055,0.05,2.055,0.05,-756
450.383,0.640273,0.446137,182.912,272.626,0.252222,1.069, 27.1546, 86.6208,0.654456,1.0023,19.5774,5.13856,1.16666,3.42859,0.465766,5.71253,0.523181,2.055,0.05,2.055,0.05,-775.89
