rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.931603,-0.445062,0.33607,-0.265338,0.223818,0.953632,-0.202638,1.70496,1.13516,0.431256,1.6219,0.189202,-0.535391,-0.92367,-0.293119,-0.685292,-0.053139,0.0154363,-0.928551,0.0226694,0.0183486,-0.375077,-1.09849,-0.746314,-1.37078,-1.40993,0.279271,-0.468926,-0.417481,-0.0241545,0.94974,-0.0492048,-0.253954,0.713234,0.470137,0.0645308,-0.628103,0.777502,0.609688,-0.266753,-1.06454,-0.532126,0.67185,-0.105867,0.309778,-0.833066,-0.0332674,0.407884,-0.0385999,1.01449,-0.766916,-0.155853,-0.300031,0.671809,-0.268529,-0.290636,0.187143,0.396938,-0.211007,0.184003,-0.834473,0.816013,0.0415998,-0.621805,0.530611,1.22588,-0.969311,-0.336371
0.982885,0.00348117,0.508973,-0.0483395,0.223048,1.00242,0.0182532,1.80151,1.00028,0.637205,1.89636,0.097509,-0.495777,-0.99721,-0.586606,-0.592421,-0.305539,-0.0201193,-1.0095,-0.111033,-0.181607,-0.277212,-1.33447,-0.836034,-1.34356,-1.38622,0.241589,-0.3077,-0.313403,-0.0900924,1.00968,-0.246564,-0.232412,0.603513,0.383152,0.119567,-0.734271,0.70476,0.665062,0.0598621,-0.97749,-0.536853,0.84988,-0.0216102,0.451486,-0.848729,0.0717378,0.328232,0.170194,1.08137,-0.742036,-0.326272,-0.323962,0.506465,-0.313095,-0.405461,-0.033287,0.172863,-0.4138,0.0368172,-1.03455,0.85311,-0.106043,-0.406284,0.675412,1.52672,-0.930187,-0.41178
0.83849,-0.468788,0.0777867,-0.65708,0.233048,0.783659,-0.507508,1.5304,1.33662,0.48032,1.18227,0.757902,-0.317658,-0.627745,-0.183486,-0.22335,0.409421,0.164447,-0.782954,-0.0107653,0.172717,-0.25426,-1.25395,-0.717927,-1.37662,-1.31277,0.230206,-0.306568,-0.157925,0.202388,1.06693,0.0790198,-0.293042,0.813893,0.433324,-0.149558,-0.614356,0.688483,0.5119,-0.264335,-1.32328,-0.784868,0.658748,-0.187358,0.447682,-0.923162,-0.124606,0.0886327,-0.247665,0.908277,-1.09727,-0.464376,-0.308192,0.67969,-0.168379,-0.173378,0.174659,0.363167,-0.382064,0.370736,-0.876887,0.849539,0.0808912,-0.813793,0.630175,1.26787,-0.834189,0.106084
1.10424,-0.422159,0.461828,-0.484886,0.0531867,0.83492,-0.263923,1.69043,0.762606,0.719678,1.1802,0.425128,-0.195294,-0.507483,-0.65802,-0.823828,-0.0962569,-0.404329,-1.11247,-0.0235404,-0.152066,-0.40157,-1.05169,-0.57272,-1.06744,-1.19458,0.348682,-0.397313,-0.396017,-0.132093,0.87014,0.0231553,-0.372095,0.676567,0.471356,0.0442154,-0.765835,0.856635,0.720742,-0.0303195,-1.11558,-0.380767,0.906233,0.016389,0.458623,-0.500892,0.233362,0.430332,0.0788884,1.03312,-0.689754,-0.176122,-0.514547,0.52225,-0.412912,-0.63887,-0.0338189,0.152868,-0.237197,0.174568,-0.758179,0.943161,0.341335,-0.349201,0.57248,1.15444,-0.98396,-0.794358
0.711489,-0.372374,0.0480063,-0.407353,0.348974,0.941426,-0.467405,1.44106,1.37187,0.266804,1.4448,0.60014,-0.166998,-1.66629,-0.700006,-1.12785,-0.152473,-0.226365,-1.0762,-0.298954,-0.13384,-0.538382,-1.20782,-0.594232,-1.17123,-1.32753,0.506184,-0.297057,-0.179079,0.051704,1.14072,0.218815,-0.0993032,0.891953,0.581547,0.31538,-0.483499,0.968486,0.74406,0.0631518,-1.12943,-0.596387,0.691944,-0.13098,0.135152,-0.69242,0.0475424,0.50199,0.106736,1.09484,-0.759074,-0.0612744,-0.157115,0.619323,0.0279485,-0.283966,0.0566378,0.336093,-0.417226,-0.11501,-0.976535,0.567458,-0.175682,-0.61734,0.437895,0.956501,-0.204678,-0.152731
0.922623,-0.633274,-0.174881,-0.220946,0.150306,0.749687,-0.0644326,1.87943,1.08823,0.271741,1.48234,0.0447837,-0.282473,-0.580337,-0.681544,-0.770303,-0.498496,-0.152055,-0.841847,-0.260236,-0.0150262,-0.591887,-1.09023,-0.874355,-1.3596,-1.33944,0.285375,-0.436203,-0.427099,0.10936,1.03243,0.0858575,-0.231201,0.671898,0.388527,0.217322,-0.729327,0.794029,0.599536,-0.290165,-1.03079,-0.596005,0.782717,0.107785,0.565019,-0.673206,0.189113,0.460357,-0.134163,1.26022,-0.856614,-0.211864,-0.196815,0.507514,-0.176371,-0.360009,0.217961,0.499734,-0.21369,0.199444,-0.763103,0.805701,-0.00973358,-0.073368,0.740705,1.54879,-0.463612,-1.24601
0.837501,-1.01115,0.135107,-0.256723,0.427342,0.677702,-0.103465,1.77322,1.3754,0.163197,1.85542,0.250262,-0.558262,-0.189576,-0.286109,-0.852552,0.0926109,0.104536,-0.753935,0.22319,0.303134,-0.0583686,-0.997827,-0.536213,-1.06791,-1.23776,0.618707,-0.206549,-0.334317,0.0852139,1.12921,0.0699912,-0.277463,0.768498,0.498426,0.107347,-0.683385,0.962603,0.650514,-0.19235,-1.14505,-0.556718,0.648438,-0.357128,0.520081,-0.847716,-0.0221856,0.357926,0.20571,1.12118,-0.773628,-0.0380556,-0.269435,0.508996,-0.365332,-0.440806,0.0890892,0.0599533,-0.42338,-0.587271,-1.25302,0.502129,-0.205351,-0.964735,0.557577,0.905957,-2.41401,0.591519
0.881585,-0.636726,0.405346,-0.131454,0.221759,0.632681,-0.0782864,1.62375,0.935959,0.376874,1.34035,0.0683664,-0.172657,-0.978121,-0.0568448,-0.967955,-0.0151787,0.150417,-0.718986,0.205067,0.207452,-0.37584,-0.843082,-0.788172,-1.26077,-1.61856,0.338629,-0.477725,-0.421427,-0.0885614,0.799508,0.0379371,-0.361287,0.69113,0.523231,-0.108693,-0.947633,0.756309,0.524258,-0.354124,-1.05045,-0.651528,0.519926,-0.0812586,0.347166,-1.01685,-0.234294,0.442499,-0.0160033,1.10934,-0.840988,0.11434,-0.202495,0.891443,-0.126628,0.00197066,0.521886,0.566877,-0.0454772,0.421913,-0.870323,0.950067,-0.00921303,-0.393104,0.4673,0.74983,-1.30372,-0.043785
0.84462,-0.404526,0.512254,-0.273885,0.720903,0.934968,-0.19066,1.88942,1.32057,0.821592,1.87426,0.455132,-0.283606,-1.35756,0.0798234,-0.527708,-0.130955,0.00584063,-0.875392,-0.0845843,-0.114774,-0.251538,-1.32529,-0.816252,-1.40843,-1.30796,0.182198,-0.362474,-0.305547,0.0753422,0.823612,0.0283835,-0.388428,0.808171,0.369465,-0.0680305,-0.983186,0.533383,0.405833,-0.49489,-1.43265,-0.560794,0.605497,-0.105157,0.438465,-0.929218,-0.0128675,0.263718,-0.236864,0.829269,-0.805378,-0.335403,-0.319579,0.735102,-0.18082,-0.139076,0.300383,0.717327,-0.067868,0.430192,-0.780468,1.07182,-0.141883,-0.870873,0.257849,0.841487,-0.829477,-0.604786
0.687361,-0.246604,0.721268,-0.205328,0.197653,1.247,-0.28768,1.93601,1.47427,0.885136,2.0865,0.343317,-0.769227,-1.18236,-0.60649,-0.759643,-0.584785,-0.437345,-1.24633,-0.378865,-0.0933227,-0.542297,-1.2286,-0.972397,-1.34523,-1.49226,0.132016,-0.518483,-0.516478,-0.160385,0.83189,0.0368583,-0.340865,0.655637,0.647378,0.0372509,-0.50484,1.07122,0.814123,0.222592,-0.944705,-0.364803,0.797909,0.0270723,0.20952,-1.08472,-0.215242,0.0870234,-0.26391,0.676806,-1.04494,-0.291763,-0.20854,0.799333,-0.0211395,0.040549,0.714323,0.734696,0.0246365,0.409296,-0.880984,0.534648,-0.0773141,-0.68465,0.386039,1.23843,-1.15861,0.0613929
