sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
47.0036,21.9409,30.4028,25.4887,21.7998,24.4402,12.3559,24.4158,46.0685,50.6934,66.4884,84.7219,65.0706,60.9817,39.6216,23.7876,10.8387,8.99332,9.34624,11.1459,11.1385,10.7495,13.5495,18.3562,18.0348,21.0194,15.5684,10.2057,11.2904,17.5006,20.1875,22.7671,30.1662,38.7,36.0873,37.9903,37.7864,32.5708,26.7633,26.6179,30.8093,32.7987,27.2594,20.1353,21.3515,26.6561,24.0663,22.8314,23.9136,20.4955,22.3329,21.9517,26.4155,20.2725,15.0725,14.5432,16.0966,16.126,15.6429,17.3269,18.5064,17.1528,17.279,16.3916,19.6083,17.4104,15.9382,19.7058,28.516,25.2232,24.6087
43.1411,23.966,32.0665,29.3652,24.5097,26.8765,13.6063,24.9828,45.4858,51.1382,69.3041,88.198,72.0277,76.1256,55.6046,35.9159,16.1997,10.8473,9.71218,10.1648,10.1981,10.105,12.9732,17.91,18.421,22.0576,15.5954,10.1158,11.2131,16.7422,19.6572,22.063,28.7558,37.5583,34.3454,35.8511,35.5963,30.9631,26.7152,26.3072,30.1843,33.3924,29.2944,21.8108,23.0688,29.6198,26.7786,24.9923,25.3536,21.2895,22.0869,21.7462,26.1701,19.567,14.0874,13.0924,14.2022,14.4492,14.1947,15.6208,16.5824,15.7392,16.3928,16.4176,20.8183,18.6265,17.6496,22.0398,31.6712,24.8205,21.3302
44.0041,20.615,29.7925,26.0295,23.5584,25.3455,11.5452,25.0581,46.5061,49.8208,67.5875,96.5691,76.9284,63.9053,48.1028,31.2573,14.4704,10.8666,11.002,13.0429,11.6492,10.5975,12.7005,18.5793,18.4731,21.7498,16.203,11.3608,13.0296,20.2313,24.2145,28.5949,37.5378,46.0556,41.0684,40.6827,39.3678,31.9175,24.6544,24.7901,29.7108,32.5044,28.2956,21.0645,22.0474,27.7753,25.0832,24.4019,24.6877,20.202,20.1229,19.6413,24.9939,19.6739,15.088,15.6042,18.4808,19.4088,19.0687,20.0607,20.1493,18.1044,18.7767,17.5678,20.6196,17.6086,15.0192,17.9527,23.0614,17.3305,15.0859
47.5652,20.7667,27.164,24.3684,22.2207,26.2178,14.2951,24.6692,43.2974,47.1922,64.4714,82.2423,64.4167,52.3138,31.1903,20.96,10.0941,8.13272,8.70619,10.542,9.84559,9.83603,13.1085,17.6126,17.8468,21.4198,16.5313,11.5153,13.2105,19.1621,21.3851,22.9095,28.7096,36.0932,34.0429,35.8058,36.9772,32.23,26.9563,27.0175,32.2721,35.1938,29.6719,21.6665,23.2413,29.8564,26.713,25.3818,26.7219,22.7489,23.3925,22.0846,25.5236,18.9926,13.5555,12.4166,13.7971,14.0366,13.6759,15.3112,16.8482,16.7359,17.8974,17.713,21.7874,19.9891,18.2589,20.2108,26.6887,22.7543,21.277
48.0311,21.3528,27.0625,23.1103,19.8549,21.3326,10.4019,24.5895,49.8589,54.3858,63.7446,83.5212,59.9576,52.6802,34.8054,22.5276,8.749,6.59903,7.27656,9.92708,10.3932,10.2913,12.7576,17.5779,17.5893,20.8097,16.4152,12.3329,14.3459,22.3764,25.5217,28.0962,35.0979,44.8252,41.6634,43.3451,42.1977,35.9899,29.7553,28.9792,33.5465,35.5727,29.6218,20.9608,21.6585,26.795,24.0756,22.095,23.8667,21.727,24.7257,25.4931,30.3442,22.7277,16.3903,14.9048,15.4295,15.3848,14.2944,15.0206,15.8814,14.4831,14.3773,14.1975,17.9015,16.897,16.6746,19.7503,25.7364,22.324,20.294
42.4683,20.1789,30.3442,27.5961,23.1578,22.28,10.6878,22.0961,39.4319,45.7171,70.375,87.9036,66.7436,58.97,38.7294,23.9906,10.6157,7.83029,7.72301,8.32457,8.66911,9.20048,11.719,17.0107,17.308,20.6056,15.6441,10.7129,11.9545,18.1991,20.8318,23.3564,31.2722,40.112,37.8036,38.6834,36.7927,31.7266,26.6903,26.752,31.157,33.2495,28.3783,21.2799,22.1453,28.0922,26.0784,25.2911,26.4939,22.6073,23.3844,22.8443,29.1725,22.2743,16.3596,14.74,15.0958,14.837,14.0287,15.9296,17.6411,16.6445,17.3519,16.8837,20.32,18.069,17.4079,19.6833,23.7693,13.9564,8.85667
46.7996,22.9562,32.806,26.4833,21.6055,23.7707,13.9398,29.1369,45.4467,48.9705,67.8252,86.3355,62.8525,59.3094,39.1662,23.7905,12.7461,10.6826,10.7178,13.4207,14.0345,14.1065,17.5337,24.0862,22.8633,25.2824,18.2892,12.5556,14.2092,22.2125,24.5047,25.8768,32.9007,43.0128,40.2054,41.6033,40.6911,35.2136,28.2821,27.9597,33.2286,34.0949,27.7717,19.9166,21.097,25.879,24.1963,25.2996,27.31,24.1417,26.2707,26.7903,31.6884,24.0579,17.2989,15.334,15.0669,14.208,13.2351,14.7048,15.2759,13.9642,13.0299,12.8137,16.9888,16.4402,16.3443,21.4909,28.1399,25.4407,28.914
45.551,19.8793,29.493,24.5231,20.2745,24.6256,13.6877,25.2951,40.9133,45.2064,61.0453,77.6752,60.4376,56.0468,36.4188,23.5264,12.2177,11.0794,10.597,11.9418,11.8805,11.53,14.381,19.1539,18.3179,21.0763,15.51,9.71112,10.3884,16.6207,19.4341,21.8823,28.1659,34.0655,32.0447,33.1391,33.3665,29.3065,23.3649,23.0749,28.1249,30.5268,25.882,19.4822,20.1865,24.4111,22.5288,21.6183,22.0518,18.1006,20.0986,20.371,25.8427,20.7541,16.544,16.6506,18.8071,18.963,18.7299,20.76,21.0321,18.6742,18.0447,16.2073,18.8431,16.5399,16.0842,19.808,27.8058,28.9815,34.6912
51.7161,21.4865,30.7998,25.6314,21.1491,25.7125,13.6095,31.0059,52.0552,58.1471,75.8747,95.1479,72.7931,69.696,44.5086,25.864,11.2302,9.45152,9.52118,10.6718,10.5142,10.1918,12.8416,17.4049,17.9423,21.1793,15.5857,10.4946,11.708,17.4741,20.7015,23.9159,30.9065,36.1735,32.6702,33.9019,34.9401,29.981,23.9509,23.4819,27.5387,30.0205,25.4973,19.0023,20.8082,26.3337,24.5256,23.6054,24.62,20.534,21.3286,20.1536,24.0197,19.2596,15.0305,16.0029,19.1268,20.0955,19.9133,21.4602,22.8781,19.7524,18.4015,16.3912,19.053,15.5135,13.456,17.2179,27.6717,30.5369,35.7351
50.6203,23.7413,31.6929,22.1941,20.3222,26.0993,15.708,28.3574,54.5097,57.2938,76.8815,94.6075,75.7365,70.9173,43.1415,22.0085,8.10156,5.99655,6.89227,7.97749,8.16008,7.98878,10.7912,16.2785,17.0312,20.1075,14.6223,9.24469,10.075,15.2192,17.8197,20.3304,27.3251,35.9671,35.4189,38.7575,40.3938,37.7028,31.5459,32.0546,38.3087,39.8135,33.2036,23.1558,22.667,26.5284,22.4105,19.9594,19.9013,16.3997,18.064,18.6092,23.5957,19.385,15.9782,17.5283,20.4389,20.5497,19.6273,21.3528,20.6858,17.3826,16.4255,14.3237,15.9476,14.6526,14.0176,18.4392,27.6707,23.4403,22.6176
