TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,34.2464,30.9899,55.1801,22.072,16.554,11.036,47.0036,0.904908,1.40403,2.80806,0.659308,0,0,nan,0,nan,0.407915,0.55036,0,0
0,23.3704,22.0114,62.507,25.0028,18.7521,12.5014,43.1411,0.941849,0.880359,1.76072,0.510219,0,0,nan,0,nan,0.188037,0.768033,0,0
0,16.0638,18.0111,61.77,24.708,18.531,12.354,44.0041,1.12123,0.72896,1.45792,0.409307,0,0,nan,0,nan,0.152364,0.672146,0,0
0,26.0864,24.8762,54.139,21.6556,16.2417,10.8278,47.5652,0.953605,1.14872,2.29743,0.522991,0,0,nan,0,nan,0.308042,0.646244,0,0
0,23.747,26.7528,55.2401,22.096,16.572,11.048,48.0311,1.12657,1.21075,2.4215,0.556989,0,0,nan,0,nan,0.177337,0.691774,0,0
0,14.757,13.9083,46.0533,18.4213,13.816,9.21067,42.4683,0.942489,0.755011,1.51002,0.327499,0,0,nan,0,nan,0.334705,0.61599,0,0
0,27.0685,38.2193,75.8019,30.3208,22.7406,15.1604,46.7996,1.41195,1.2605,2.521,0.816659,0,0,nan,0,nan,0.128058,0.672863,0,0
0,44.9175,46.4065,68.3594,27.3438,20.5078,13.6719,45.551,1.03315,1.69715,3.3943,1.01878,0,0,nan,0,nan,0.428275,0.519314,0,0
0,34.4108,32.7189,49.3543,19.7417,14.8063,9.87086,51.7161,0.950833,1.65735,3.3147,0.632664,0,0,nan,0,nan,0.226091,0.73446,0,0
0,22.5877,20.5838,55.427,22.1708,16.6281,11.0854,50.6203,0.911285,0.92842,1.85684,0.406632,0,0,nan,0,nan,0.196189,0.759849,0,0
0,21.3741,20.0646,46.9977,18.7991,14.0993,9.39955,40.6696,0.938736,1.06732,2.13464,0.493357,0,0,nan,0,nan,0.105459,0.854465,0,0
0,19.8933,23.2101,74.9171,29.9669,22.4751,14.9834,49.7389,1.16673,0.774527,1.54905,0.46664,0,0,nan,0,nan,0.182727,0.712659,0,0
0,29.9002,34.3179,77.3431,30.9372,23.2029,15.4686,44.9205,1.14775,1.10927,2.21855,0.763969,0,0,nan,0,nan,0.262072,0.635159,0,0
0,55.2396,61.1065,78.0116,31.2046,23.4035,15.6023,42.3181,1.10621,1.95825,3.9165,1.44398,0,0,nan,0,nan,0.185291,0.756423,0,0
0,44.2736,45.2046,61.1762,24.4705,18.3529,12.2352,50.9095,1.02103,1.84731,3.69462,0.887941,0,0,nan,0,nan,0.219955,0.733772,0,0
0,26.558,26.4178,61.6331,24.6532,18.4899,12.3266,48.8791,0.994721,1.07158,2.14315,0.540472,0,0,nan,0,nan,0.26149,0.659593,0,0
0,19.6287,17.9696,54.1512,21.6605,16.2454,10.8302,40.6139,0.915475,0.829603,1.65921,0.44245,0,0,nan,0,nan,0.312416,0.658742,0,0
0,28.9772,27.0426,53.5433,21.4173,16.063,10.7087,46.3099,0.933237,1.26265,2.52531,0.58395,0,0,nan,0,nan,0.0592357,0.879122,0,0
0,29.2316,28.5444,60.4541,24.1816,18.1362,12.0908,41.5921,0.976491,1.18042,2.36083,0.686294,0,0,nan,0,nan,0.230487,0.713394,0,0
0,23.9799,21.3136,50.954,20.3816,15.2862,10.1908,47.2764,0.888812,1.04573,2.09145,0.450829,0,0,nan,0,nan,0.181681,0.743125,0,0
0,24.0782,18.8709,66.076,26.4304,19.8228,13.2152,40.906,0.783733,0.713983,1.42797,0.461322,0,0,nan,0,nan,0.296193,0.690452,0,0
0,22.7219,20.7229,49.3118,19.7247,14.7935,9.86235,44.4255,0.912023,1.05061,2.10121,0.466464,0,0,nan,0,nan,0.0421681,0.917019,0,0
0,23.7277,22.1798,45.1702,18.0681,13.5511,9.03404,50.5161,0.934765,1.22757,2.45514,0.439064,0,0,nan,0,nan,0.131467,0.814123,0,0
0,15.2442,15.5773,59.3313,23.7325,17.7994,11.8663,50.5111,1.02185,0.656368,1.31274,0.308393,0,0,nan,0,nan,0.217571,0.682927,0,0
0,58.0151,60.7672,71.7227,28.6891,21.5168,14.3445,49.1159,1.04744,2.11813,4.23626,1.23722,0,0,nan,0,nan,0.139835,0.802506,0,0
0,34.0704,32.4657,58.5126,23.405,17.5538,11.7025,45.9938,0.952902,1.38713,2.77425,0.705873,0,0,nan,0,nan,0.268942,0.702051,0,0
0,14.3784,16.5302,56.1092,22.4437,16.8328,11.2218,44.6793,1.14965,0.736519,1.47304,0.369974,0,0,nan,0,nan,0.140843,0.703543,0,0
0,25.7312,26.2811,57.2698,22.9079,17.1809,11.454,41.9714,1.02137,1.14725,2.2945,0.626165,0,0,nan,0,nan,0.312306,0.590407,0,0
0,24.0959,19.9598,54.8339,21.9336,16.4502,10.9668,40.1859,0.828347,0.910011,1.82002,0.496687,0,0,nan,0,nan,0.258813,0.721982,0,0
