N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
1097.17,713.428,297.727,34.8853,26.0835,19.1443,13.5782,9.49338,14.8551
985.266,731.428,313.026,33.4391,22.7036,4.42645,5.92806,10.1405,3.6968
972.819,664.036,331.386,6.09122,6.15936,1.03461,28.3488,32.9123,15.0703
1715.49,1074.81,239.26,9.12531,6.14388,35.4336,16.059,0.493044,51.4218
1380.4,1176.27,354.719,114.836,13.7089,3.07135,1.10555,53.4145,24.7241
1099.37,896.197,337.558,9.44821,10.4143,39.8369,5.01515,9.21412,51.3358
923.144,808.52,130.23,12.4774,42.508,12.5785,10.8227,2.64252,16.3965
894.485,698.473,139.119,16.151,5.77601,3.76328,4.41797,68.4415,6.63575
1249.63,835.031,270.062,47.7004,69.2444,14.9795,1.48068,11.6202,14.9188
1754.46,1026.29,342.307,84.1407,47.1754,5.54464,2.31266,7.5386,26.9188
1814.67,990.659,295.827,49.4987,89.9355,26.2616,3.78864,62.2121,7.16298
1341.68,892.26,476.307,95.7249,6.0331,1.48185,33.6557,0.558631,7.29844
1006.17,518.374,364.172,18.5093,5.56736,16.7494,44.6492,4.63846,7.58565
987.442,504.294,370.436,21.462,29.4978,25.3054,6.50905,46.3816,13.1841
988.008,675.876,467.49,46.8072,6.90312,12.8243,67.7559,1.63889,6.01729
1001.04,715.241,225.534,26.669,20.2248,2.43772,20.1436,11.1112,57.5968
743.136,600.479,286.14,6.18533,14.7641,87.4415,2.59841,14.356,3.8593
747.333,674.363,244.577,96.359,10.7532,22.5755,2.50709,2.27822,7.2185
1246.63,768.288,324.784,4.67265,14.7745,18.2892,1.76388,0.414047,64.9751
1657.79,613.819,363.612,1.98609,18.9004,13.2506,19.2,20.2512,36.3661
1286.11,902.969,253.025,26.5046,22.4556,47.4544,4.34224,9.26971,0.94753
988.005,782.301,161.95,4.70973,54.6047,52.1017,15.4569,14.1985,6.77716
1748.49,872.694,274.509,84.9633,31.6719,15.5536,15.9641,10.8049,3.14023
1769.81,969.908,399.958,167.32,21.3719,4.48997,0.314132,2.15747,0.600486
1344.12,759.438,343.51,113.159,6.99202,2.6016,3.10517,1.64897,12.8813
1420.43,808.073,304.802,23.5715,28.5516,27.5922,5.94642,11.9488,5.41579
1819.46,858.929,480.985,2.08491,32.8599,76.5185,5.3769,2.75683,14.2241
1603.71,1053.62,391.769,1.34211,167.056,7.83086,3.94678,11.0365,14.5735
1657.75,1149.93,312.442,0.11053,21.401,50.5819,11.9072,2.43053,16.1664
1022.99,521.059,321.083,0.454125,14.9314,36.7177,2.00248,6.8824,38.4499
1384.14,572.318,274.153,3.5271,15.4625,127.62,31.6291,0.754374,2.47066
1108.43,643.617,292.686,10.6606,27.7507,22.0328,0.803712,0.921183,0.440776
1889.67,924.671,324.392,14.5603,69.5869,22.4447,17.3432,0.185845,0.159611
1133.35,543.613,229.834,13.6309,9.99487,50.6864,48.5397,0.167912,24.2844
1040.71,397.051,320.737,1.81471,39.6759,51.881,3.63456,6.56512,17.3541
