m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.450297,0.411359,0.374773,0.339664,0.306799,0.27788,0.255042,0.240745,0.238035,0.249931,0.279986,0.333196,0.415616,0.531324,0.674758,0.824984,0.950157,1.01888,1.01562,0.949086,0.847051,0.739918,0.645867,0.572233,0.520026,0.487329,0.471039,0.467599,0.474204,0.488719,0.50924,0.533774,0.560019,0.585279,0.606963,0.623154,0.632894,0.636373,0.634975,0.631172,0.627664,0.626286,0.627973,0.632805,0.639998,0.647836,0.653998,0.656779,0.655419,0.650153,0.642193,0.633643,0.627188,0.624667,0.626569,0.632092,0.639077,0.643882,0.641489,0.6281,0.603539,0.571077,0.536505,0.507012,0.490661,0.495245,0.527065,0.592997,0.701346,0.859925
0.452192,0.393309,0.343885,0.305095,0.276807,0.258417,0.249377,0.249503,0.259148,0.279162,0.31078,0.355351,0.413674,0.484743,0.563878,0.642496,0.710324,0.757887,0.779387,0.774667,0.749334,0.71211,0.670588,0.630262,0.594646,0.565689,0.544232,0.530398,0.523973,0.524537,0.531458,0.543812,0.560235,0.57879,0.597451,0.614563,0.628962,0.640097,0.648124,0.653946,0.658774,0.663466,0.66846,0.67375,0.678871,0.682886,0.68458,0.683104,0.678129,0.669855,0.658987,0.646679,0.634387,0.623259,0.613934,0.606592,0.600991,0.596493,0.592096,0.587027,0.581248,0.57544,0.570971,0.569879,0.574941,0.589189,0.614944,0.653815,0.70654,0.772393
0.381538,0.372122,0.359681,0.340287,0.31386,0.283475,0.253959,0.230528,0.218134,0.220206,0.239836,0.281594,0.35187,0.456447,0.59263,0.741815,0.871965,0.94861,0.952527,0.890844,0.792336,0.689101,0.600009,0.532381,0.487101,0.462323,0.455249,0.462726,0.482213,0.51149,0.547946,0.587947,0.626339,0.656424,0.672128,0.67039,0.652024,0.62152,0.585916,0.553411,0.530767,0.521417,0.526588,0.545936,0.577269,0.615402,0.651934,0.678943,0.691057,0.686847,0.669317,0.645263,0.623492,0.610311,0.608603,0.618605,0.637999,0.661272,0.678987,0.681824,0.665677,0.632718,0.590488,0.549656,0.522124,0.518526,0.546522,0.614233,0.732016,0.910474
0.547924,0.499727,0.45749,0.423222,0.397781,0.381425,0.374207,0.376226,0.387755,0.409197,0.440949,0.483116,0.535013,0.594411,0.656629,0.71503,0.762842,0.794528,0.807107,0.80095,0.779762,0.749139,0.714155,0.678778,0.645858,0.617276,0.594164,0.5771,0.566218,0.561294,0.561796,0.566859,0.575207,0.585094,0.594794,0.603019,0.608979,0.612445,0.613781,0.613939,0.614084,0.615074,0.617421,0.621293,0.626518,0.632562,0.63864,0.644096,0.648495,0.65163,0.653542,0.654516,0.655022,0.65524,0.654867,0.653113,0.64872,0.640013,0.625079,0.603212,0.575954,0.546674,0.519973,0.501276,0.497031,0.514289,0.559847,0.641832,0.770268,0.955072
0.61002,0.562733,0.516387,0.468304,0.419495,0.373194,0.333518,0.304681,0.290955,0.295579,0.321782,0.374292,0.459072,0.579932,0.729777,0.884451,1.00865,1.06935,1.05281,0.972257,0.860135,0.749176,0.656953,0.589177,0.545345,0.522262,0.515347,0.518946,0.528378,0.540226,0.552125,0.562818,0.572299,0.581842,0.592896,0.606247,0.621949,0.63923,0.656375,0.670614,0.678975,0.679715,0.672639,0.659128,0.641947,0.62494,0.612209,0.606414,0.608788,0.619362,0.636927,0.658752,0.680399,0.697295,0.705767,0.703498,0.689869,0.666043,0.634702,0.599337,0.563578,0.530892,0.504497,0.487505,0.483362,0.49577,0.52812,0.583976,0.666915,0.7791
0.335643,0.38851,0.44154,0.479254,0.489799,0.470976,0.431547,0.386784,0.352182,0.336766,0.344824,0.380211,0.447782,0.551042,0.683938,0.824826,0.941438,1.00218,0.992066,0.921201,0.818905,0.716089,0.629954,0.566587,0.526135,0.506189,0.503123,0.512402,0.530136,0.553119,0.578455,0.603467,0.625801,0.643616,0.655731,0.661732,0.662061,0.657994,0.651559,0.645407,0.642025,0.642763,0.647843,0.656367,0.666218,0.673928,0.675351,0.668071,0.652054,0.629556,0.604688,0.582858,0.570052,0.570203,0.58481,0.613247,0.652101,0.693644,0.724454,0.730919,0.707122,0.65708,0.592825,0.529727,0.482558,0.462129,0.474379,0.525469,0.624335,0.78092
0.38293,0.348234,0.317418,0.291481,0.271208,0.25733,0.250752,0.252884,0.266066,0.293348,0.338532,0.406155,0.500344,0.621572,0.76062,0.896086,1.0006,1.05064,1.03706,0.969429,0.871212,0.767639,0.674613,0.599403,0.543891,0.507295,0.487812,0.483443,0.492634,0.51415,0.546581,0.587682,0.633566,0.678023,0.714021,0.73585,0.740423,0.728094,0.702618,0.670299,0.637617,0.609019,0.587132,0.573252,0.567742,0.570241,0.57985,0.595494,0.615859,0.639213,0.663237,0.684902,0.7006,0.707281,0.703235,0.688348,0.664103,0.633299,0.59958,0.566539,0.537168,0.513928,0.498983,0.494538,0.503318,0.528646,0.574059,0.643495,0.740964,0.869197
0.272888,0.295689,0.316418,0.328363,0.327804,0.315467,0.296273,0.277688,0.267955,0.273258,0.298592,0.350064,0.435445,0.561272,0.723354,0.89826,1.04716,1.12953,1.12413,1.04122,0.915982,0.786445,0.674492,0.588164,0.527855,0.490796,0.473293,0.471556,0.482718,0.504545,0.534751,0.570366,0.607184,0.63951,0.661745,0.670267,0.664314,0.646215,0.620906,0.595003,0.574551,0.563044,0.562,0.571446,0.589944,0.614165,0.639015,0.659871,0.67343,0.678221,0.674913,0.666303,0.656704,0.649456,0.646041,0.646234,0.648132,0.648109,0.64096,0.622625,0.592641,0.553959,0.511951,0.473132,0.444277,0.430971,0.436298,0.462338,0.510701,0.581401
0.481826,0.444542,0.41002,0.378446,0.35075,0.328337,0.313007,0.307138,0.314101,0.33761,0.381841,0.451667,0.551331,0.68029,0.825371,0.958415,1.04648,1.06598,1.01489,0.91372,0.79474,0.685897,0.600159,0.540372,0.504758,0.489863,0.491365,0.503949,0.522966,0.544611,0.565744,0.584035,0.598247,0.608429,0.615274,0.619565,0.622123,0.623772,0.625329,0.627589,0.631199,0.636486,0.643438,0.651686,0.660478,0.668647,0.674808,0.678028,0.678008,0.675108,0.670333,0.665285,0.661965,0.661621,0.664316,0.66893,0.673102,0.673182,0.664475,0.643918,0.612334,0.573965,0.535289,0.503848,0.487903,0.4956,0.534113,0.6122,0.741444,0.934262
0.710857,0.607975,0.517972,0.437978,0.368456,0.311051,0.267403,0.239018,0.227924,0.236367,0.268295,0.331204,0.436199,0.593554,0.798216,1.01493,1.18414,1.24899,1.19121,1.04312,0.864489,0.704818,0.583335,0.500913,0.451791,0.42916,0.426411,0.436656,0.454342,0.475178,0.495823,0.514082,0.529272,0.542452,0.555263,0.568969,0.584379,0.601788,0.620911,0.640786,0.660036,0.677365,0.691655,0.702038,0.707965,0.709255,0.706128,0.699248,0.689691,0.678882,0.668532,0.660606,0.657169,0.65928,0.666573,0.677205,0.687666,0.692617,0.685209,0.66085,0.620485,0.569939,0.517889,0.473719,0.446623,0.444633,0.47421,0.543756,0.665497,0.853747
