ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1626.89,0.76317,0.450297,1132.28,269.926,0.27256,1.58715, 90.7209, 130.757,1.01119,0.999122,85.4136,2.66741,0.300276,2.91595,0.338595,4.68211,0.40691,2.055,0.05,2.055,0.05,-1551.3
1624.5,0.908714,0.452192,1133.89,171.198,0.330653,1.295, 82.0373, 133.426,1.0008,0.988076,75.1043,2.68866,0.301036,2.94906,0.351257,4.75271,0.418825,2.055,0.05,2.055,0.05,-1445.24
2101.64,0.635956,0.381538,1091,116.88,0.242161,1.65551, 107.115, 175.411,1.06007,0.985831,74.4776,2.71319,0.30794,2.93552,0.347526,4.67213,0.40324,2.055,0.05,2.055,0.05,-1426.38
1522.76,0.705511,0.547924,1218.43,274.951,0.366843,2.0068, 72.2087, 112.858,0.911334,1.00809,77.9341,2.75318,0.320026,2.92129,0.338502,4.69514,0.40385,2.055,0.05,2.055,0.05,-1416.9
1658.23,0.827671,0.61002,1232.99,509.247,0.268914,1.60168, 99.98, 121.074,0.915445,0.988142,81.259,2.67616,0.298624,2.91762,0.335725,4.69863,0.408285,2.055,0.05,2.055,0.05,-1422.66
1920.98,0.74608,0.335643,1218.61,139.224,0.268859,1.59454, 130.961, 141.903,0.893784,0.998412,83.7228,2.68669,0.306852,2.94371,0.340774,4.65656,0.408152,2.055,0.05,2.055,0.05,-1406.41
1773.77,0.664382,0.38293,1209.83,134.09,0.321968,1.85816, 88.5214, 134.158,0.921269,1.00654,89.0689,2.66496,0.300272,2.96643,0.344342,4.66022,0.408026,2.055,0.05,2.055,0.05,-1418.8
1378.89,0.852297,0.272888,1145.43,64.6675,0.232833,1.91984, 128.981, 111.486,0.959223,1.0012,125.089,2.70142,0.317837,2.94036,0.350523,4.66973,0.412511,2.055,0.05,2.055,0.05,-1408.86
1659.16,0.702231,0.481826,1194.39,280.874,0.354759,1.75013, 84.7777, 120.036,1.00693,0.990876,69.6367,2.73316,0.318235,2.9016,0.32742,4.68436,0.401717,2.055,0.05,2.055,0.05,-1428.2
1310.28,0.829922,0.710857,1159.01,839.168,0.341642,1.55726, 82.7871, 96.3444,1.04034,0.988379,79.2457,2.68499,0.298411,2.91353,0.341699,4.64957,0.398212,2.055,0.05,2.055,0.05,-1403.88
1618.72,0.740169,0.700864,1205.83,1130.86,0.311619,1.61664, 93.5623, 116.106,0.958547,0.997249,65.1705,2.70392,0.303675,2.92494,0.338388,4.74089,0.412907,2.055,0.05,2.055,0.05,-1408.64
1667.61,0.825965,0.673753,1093.14,412.647,0.288354,1.44784, 124.871, 140.328,1.0598,0.984856,101.754,2.6648,0.2911,2.84611,0.317197,4.74402,0.424965,2.055,0.05,2.055,0.05,-1412.83
1783.52,0.713361,0.506661,1024.98,253.326,0.250099,1.2263, 115.57, 159.351,1.1833,0.99943,89.479,2.74111,0.327817,2.86044,0.321312,4.69519,0.405894,2.055,0.05,2.055,0.05,-1416.7
2074.64,0.690224,0.388998,1102.71,215.736,0.301118,1.45243, 168.817, 179.836,1.00633,0.987465,100.19,2.63642,0.288774,2.88723,0.335363,4.67478,0.397001,2.055,0.05,2.055,0.05,-1413.93
1735.96,0.714596,0.491573,1126.27,253.091,0.260068,1.61734, 102.319, 141.96,0.996641,0.979173,90.4391,2.64313,0.288867,2.84371,0.312045,4.64507,0.396632,2.055,0.05,2.055,0.05,-1420.63
1434.19,0.816868,0.514733,1029.62,324.171,0.236143,1.48355, 88.7959, 131.992,1.1065,1.00493,96.7786,2.68111,0.308587,2.92943,0.341581,4.72148,0.423738,2.055,0.05,2.055,0.05,-1405.5
1476.82,0.854305,0.359491,970.153,112.383,0.259314,1.59054, 121.072, 151.243,1.12028,1.00404,129.694,2.63837,0.285662,2.82245,0.313952,4.70055,0.416207,2.055,0.05,2.055,0.05,-1416.31
1641.71,0.700608,0.407834,931.441,137.737,0.19754,1.26975, 85.8268, 162.389,1.28688,0.99336,75.3907,2.63255,0.307684,2.86643,0.325396,4.6822,0.423083,2.055,0.05,2.055,0.05,-1409.11
1497.31,0.763301,0.58303,1066.15,233.153,0.249614,1.67132, 68.7215, 133.64,1.02718,0.999126,72.3386,2.66462,0.314735,2.90471,0.339036,4.6978,0.414029,2.055,0.05,2.055,0.05,-1435.2
1427.51,0.798046,0.552266,1012.37,359.844,0.176609,1.27548, 76.0153, 129.701,1.17803,0.99597,78.78,2.62575,0.287485,2.89724,0.336042,4.69294,0.421257,2.055,0.05,2.055,0.05,-1400.81
1565.38,0.741983,0.509924,996.308,234.809,0.348347,1.31153, 123.659, 147.695,1.07175,0.999886,109.532,2.59674,0.295912,2.86928,0.328519,4.71959,0.421527,2.055,0.05,2.055,0.05,-1407.09
1850.32,0.581196,0.44146,1063.8,227.475,0.319153,1.68282, 113.94, 164.289,1.01832,1.00891,94.0489,2.63142,0.297721,2.88822,0.338573,4.68401,0.41843,2.055,0.05,2.055,0.05,-1418.95
1445.48,0.64754,0.536384,1130.44,391.767,0.219571,1.67019, 98.7356, 123.17,0.958883,1.01322,124.397,2.68555,0.297371,2.90724,0.335684,4.63216,0.399694,2.055,0.05,2.055,0.05,-1419.89
1531.09,0.863482,0.703366,1105.99,326.398,0.361558,1.76575, 117.662, 131.556,0.977291,0.998269,90.7086,2.67415,0.308878,2.904,0.33318,4.79404,0.426721,2.055,0.05,2.055,0.05,-1414.62
1791.18,0.69114,0.523828,1101.2,197.149,0.292488,1.5334, 117.377, 147.77,1.02207,0.987874,93.6709,2.70915,0.307526,2.89104,0.329829,4.69322,0.410583,2.055,0.05,2.055,0.05,-1430.24
1658.2,0.733436,0.548442,1095.78,359.664,0.276247,1.5407, 112.101, 133.877,1.00516,1.00096,79.6417,2.6646,0.297462,2.86577,0.325421,4.64395,0.402436,2.055,0.05,2.055,0.05,-1434.22
1519.26,0.632758,0.625191,1018.68,435.255,0.295016,1.57977, 98.1608, 129.752,1.14713,1.00451,90.0165,2.657,0.298132,2.90759,0.338624,4.69114,0.418719,2.055,0.05,2.055,0.05,-1419.19
1648.07,0.812938,0.721915,1102.94,680.808,0.359079,1.30557, 72.2323, 129.094,1.07172,1.00732,71.6133,2.65855,0.297659,2.91775,0.345856,4.68744,0.410767,2.055,0.05,2.055,0.05,-1413.32
