rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.441459,0.247348,-0.393123,-0.75617,-0.61309,0.0179006,-0.0289423,-0.587114,0.217695,0.183206,0.517076,-0.135548,-0.429192,-0.220615,-0.19279,-0.933785,-0.0552729,-0.0426292,-0.3522,-0.44704,-0.325324,-0.0394555,-0.500957,0.00371114,-0.237879,-0.92279,-0.41145,-0.683354,-0.686618,-0.916871,-1.08206,-0.460304,0.207825,-0.348477,0.588926,-0.530989,0.414375,-0.176713,0.641179,0.284455,0.534898,-0.281053,0.393847,0.772148,0.831372,0.037836,0.430015,0.577024,0.715023,0.691238,0.136873,0.117915,-0.0195044,0.516611,-0.798496,0.508734,-1.06954,0.791678,0.314557,-0.254621,0.321643,0.380478,0.234717,0.152828,0.208039,0.294161,1.22223,0.962712
0.356023,-0.0540118,-0.354718,-0.80577,-0.637367,0.0856031,-0.135156,-0.684706,0.370161,0.110625,0.382832,-0.307725,-0.689375,-0.139022,-1.02708,-1.67492,-0.504938,-0.111745,-0.432893,-0.293146,-0.017189,0.201566,-0.280448,0.31779,-0.0216602,-0.759565,-0.308173,-0.601037,-0.642557,-0.878114,-1.12483,-0.404369,0.250668,-0.280544,0.699238,-0.413958,0.694175,-0.00771567,0.841651,0.422414,0.679468,-0.246354,0.554778,0.828833,0.867394,0.0774085,0.334788,0.576777,0.679052,0.618454,0.00851548,0.0246119,-0.184408,0.386863,-0.887906,0.387298,-1.08743,0.838351,0.447434,-0.0458047,0.639119,0.564503,0.461342,0.316576,0.228933,0.228525,1.07567,0.430848
0.552083,0.182031,-0.42475,-0.711662,-0.77056,0.110212,0.100908,-0.705406,0.167025,0.120586,0.268893,-0.231854,-0.382425,-0.566014,-0.590121,-1.29884,-0.415325,-0.145523,-0.614899,-0.539988,-0.427994,-0.0882066,-0.373708,0.141825,-0.0900763,-0.7898,-0.270605,-0.382789,-0.452373,-0.724928,-0.917036,-0.375864,0.206325,-0.494949,0.391162,-0.778226,0.179303,-0.571231,0.417799,-0.0700441,0.486789,-0.307598,0.53398,0.928193,0.996685,0.284282,0.699562,0.73847,0.84358,0.823892,0.141364,0.19364,0.0652207,0.610212,-0.580614,0.693667,-0.74053,0.986336,0.614233,-0.218004,0.432177,0.4304,0.246936,0.1234,0.196495,0.336286,1.23646,0.88695
0.677604,0.338586,-0.432282,-0.44996,-0.524055,0.140478,0.361218,-0.35328,0.514495,0.428476,0.437057,-0.267815,-0.400516,-0.323746,-1.1083,-1.23015,-0.427707,-0.0831643,-0.0844642,-0.190301,0.104695,0.501786,-0.042516,0.376093,0.058118,-0.722669,-0.410546,-0.605243,-0.59199,-1.06834,-1.2006,-0.787269,-0.0944092,-0.516241,0.395817,-0.839102,0.224313,-0.37429,0.488294,0.100888,0.483133,-0.393314,0.214967,0.74383,0.703149,-0.0385704,0.516176,0.695606,0.782424,0.696129,-0.00234477,0.123928,-0.161072,0.451278,-1.00372,0.280279,-1.32937,0.641748,0.105761,-0.419357,0.360749,0.39477,0.255744,0.244137,0.210963,0.584468,1.1535,0.877642
0.885955,0.305875,-0.328364,-0.439117,-0.643325,0.0808397,-0.0447432,-0.533698,0.0104584,0.234548,0.50544,-0.284013,-0.519828,-0.140966,-0.163769,-0.500345,0.00135498,-0.0217829,-0.271893,-0.494167,-0.319819,0.107783,-0.333857,0.160404,-0.127716,-0.837636,-0.25615,-0.634008,-0.690523,-0.839131,-1.09038,-0.549486,0.188623,-0.305663,0.558365,-0.518277,0.378135,-0.322104,0.632742,0.245245,0.432742,-0.447549,0.167992,0.604448,0.74304,-0.0895225,0.470573,0.688281,0.834972,0.775212,0.316375,0.263753,0.0852208,0.549582,-0.77148,0.28623,-1.21581,0.609236,0.188045,-0.427968,0.0744496,0.288191,0.13291,0.0735049,0.124895,0.168904,0.961652,0.528526
0.654048,0.634574,-0.186952,-0.533767,-0.200027,0.194023,0.0427599,-0.557253,-0.00176075,0.367217,0.236328,-0.21144,-0.262793,-1.30051,0.217816,-1.51383,-0.229243,-0.246377,-0.39703,-0.527901,-0.31779,0.0371506,-0.28175,0.210293,-0.00646417,-0.671287,-0.186763,-0.494297,-0.539533,-0.776427,-1.01586,-0.419487,0.188392,-0.198983,0.463266,-0.593669,0.337429,-0.284104,0.551858,0.26665,0.571811,-0.204063,0.30341,0.694661,0.711176,-0.194263,0.284478,0.377039,0.457612,0.617893,-0.0325009,0.165012,0.119611,0.708004,-0.683552,0.661252,-0.719327,1.05156,0.467706,-0.162769,0.185697,0.242587,-0.0409758,0.026594,-0.210555,0.0485312,0.909134,0.964018
0.221298,0.174781,-0.33265,-0.645255,-0.394286,0.0500474,-0.109652,-0.464653,0.219409,0.151467,0.537289,0.033472,-0.581019,-0.504572,0.429995,-1.20935,-0.217851,0.0275332,-0.297847,-0.360944,-0.222085,0.0593061,-0.521003,0.161846,-0.244985,-0.708065,-0.220603,-0.472075,-0.343875,-0.61846,-0.762058,-0.133099,0.541005,-0.15182,0.695917,-0.488315,0.385642,-0.372898,0.411613,-0.0978775,0.216014,-0.649089,0.13394,0.59991,0.621215,-0.0318214,0.41215,0.673418,0.886478,0.822437,0.230438,0.223181,-0.0586587,0.478809,-0.972025,0.49999,-1.40029,0.508226,0.118994,-0.376413,0.268649,0.398899,0.369232,0.156288,0.181042,0.283158,1.29756,0.929048
0.441291,0.0562879,-0.278536,-0.939906,-0.384457,0.0729541,0.036719,-0.482566,-0.00119722,0.387829,0.617949,-0.169986,-0.793523,-0.45046,0.482941,-0.638689,0.323784,0.126168,-0.188051,-0.287851,-0.221542,0.0120588,-0.434678,0.16321,-0.215487,-0.95509,-0.229781,-0.584871,-0.598891,-0.770479,-0.959074,-0.204698,0.335886,-0.449615,0.56634,-0.65275,0.224379,-0.459869,0.46717,0.0670911,0.31466,-0.350798,0.392227,0.90048,0.820151,0.131165,0.570499,0.74619,0.824608,0.692824,0.242683,0.222034,0.0336801,0.54354,-0.966676,0.485684,-1.35936,0.638197,0.147287,-0.486718,0.201687,0.163637,-0.107027,-0.02772,0.0957872,0.094306,0.971938,1.20315
0.430046,0.362429,-0.457529,-0.913362,-0.652508,0.199991,0.178241,-0.330514,0.260492,0.430825,0.779318,0.109767,-0.253474,-0.0689949,-0.763347,-1.00842,-0.423908,-0.139979,-0.578932,-0.497158,-0.385179,-0.0356881,-0.440689,0.0410566,-0.0705234,-0.822262,-0.330993,-0.605342,-0.809174,-0.967911,-1.21537,-0.599307,0.0968008,-0.35953,0.609505,-0.519005,0.301079,-0.146421,0.713256,0.381144,0.585085,-0.180147,0.541727,0.84052,0.903289,0.190352,0.572746,0.60983,0.77265,0.696868,0.161924,0.237054,0.0312719,0.50017,-0.756431,0.538868,-1.2869,0.738445,0.258919,-0.400262,0.236687,0.221462,0.144033,0.0577459,0.118169,0.0908643,1.10157,0.902646
0.619223,0.34226,-0.179944,-0.774357,-0.573912,-0.125074,0.0404499,-0.529027,0.140368,0.299843,0.604691,-0.0552041,0.0345101,-0.0590761,0.144879,-0.84604,0.076185,-0.152889,-0.478717,-0.871226,-0.637637,-0.342161,-0.924501,-0.190949,-0.388912,-1.18226,-0.519383,-0.787978,-0.940455,-1.23247,-1.34207,-0.731237,0.0212876,-0.386722,0.596388,-0.488056,0.583604,-0.00369308,0.882377,0.588481,0.766771,-0.00439881,0.588754,0.994089,0.951891,0.0774986,0.563281,0.567002,0.746422,0.837828,0.173046,0.174613,0.142025,0.633198,-0.535275,0.46492,-1.12172,0.602797,0.190319,-0.530028,0.27499,0.182082,0.125073,-0.099759,-0.060078,0.18358,1.03403,0.997604
