rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1760.67,1450.03,764.229,531.563,613.328,1152.73,1099.98,629.469,1407.66,1359.94,1898.97,988.751,737.155,908.119,933.742,445.058,1071.4,1085.03,796.153,724.115,817.84,1088.48,686.107,1136.49,892.576,449.979,750.351,571.713,569.85,452.65,383.726,714.574,1393.84,799.122,2040.43,665.808,1713.62,948.875,2149.89,1504.85,1933.12,854.86,1678.81,2450.72,2600.25,1175.94,1740.63,2016.29,2314.65,2260.25,1298.37,1273.99,1110.41,1898.09,509.533,1883.19,388.563,2499.06,1550.83,877.757,1561.86,1656.51,1431.83,1319.25,1394.13,1519.52,3843.83,2965.21
1618.79,1074.27,795.28,506.56,599.469,1235.23,990.546,571.753,1641.84,1266.53,1662.78,833.545,569.089,986.724,405.992,212.404,684.353,1014.01,735.477,845.786,1114.57,1387.11,856.594,1558.07,1109.6,530.515,833.171,621.649,596.366,471.208,368.182,756.758,1456.92,856.512,2281.64,749.536,2270.12,1125.18,2630.85,1729.91,2236.98,886.303,1974.74,2597.35,2699.46,1225.15,1584.78,2018.66,2236.05,2104.57,1143.59,1162.15,942.942,1669.49,466.616,1670.22,382.216,2622.19,1773.74,1083.13,2148.51,1994.03,1798.58,1556.18,1425.6,1425.01,3324.52,1744.56
1894.93,1308.82,713.444,535.495,504.867,1218.12,1206.84,538.856,1289.33,1230.82,1427.6,865.234,744.288,619.455,604.7,297.68,720.2,943.25,589.901,635.789,711.133,998.893,750.805,1257.25,997.027,495.246,832.346,744.018,694.006,528.438,436.077,749.188,1341.01,665.078,1613.27,501.011,1305.26,616.231,1656.82,1017.2,1775.15,802.118,1860.93,2760.17,2955.84,1449.73,2196.05,2283.18,2536.23,2486.78,1256.67,1324.11,1164.53,2008.34,610.477,2183.14,520.258,2925.41,2016.44,877.301,1680.81,1677.83,1396.59,1234.29,1327.89,1527.12,3756.78,2648.65
2399.28,1709.41,790.795,776.937,721.451,1402.2,1748.54,855.803,2038.18,1870.19,1886.31,932.16,816.318,881.454,402.23,356.087,794.42,1121.2,1119.74,1007.29,1352.91,2012.44,1167.71,1774.75,1291.34,591.494,808.171,665.192,674.067,418.625,366.764,554.491,1108.66,727.111,1810.1,526.482,1524.82,838.01,1985.48,1347.77,1975.25,822.218,1510.64,2563.55,2461.36,1172.33,2041.61,2442.86,2664.42,2444.14,1215.58,1379.18,1037.17,1913.33,446.572,1612.59,322.449,2314.78,1354.36,801.082,1747.72,1808.21,1573.51,1555.35,1504.6,2185.91,3861.55,2930.6
2990.38,1674.18,887.88,794.795,647.99,1336.81,1179.04,723.068,1245.96,1558.92,2043.95,928.145,733.167,1070.88,1046.74,747.591,1234.67,1206.43,939.463,752.224,895.499,1373.32,883.016,1447.52,1085.16,533.557,954.369,654.056,618.117,532.759,414.394,711.742,1488.95,908.267,2155.04,734.305,1799.63,893.456,2321.44,1575.69,1900.63,788.122,1458.54,2256.68,2592.14,1127.41,1973.91,2454.02,2841.74,2676.9,1691.85,1605.12,1342.68,2136.2,570.048,1641.61,365.546,2267.51,1488.09,803.706,1328.29,1644.83,1408.26,1327.04,1397.02,1459.87,3225.53,2091.69
2343.76,2298.56,1010.82,714.583,997.686,1479.54,1271.85,697.995,1216.47,1759.32,1543.48,986.364,936.99,331.942,1515.17,268.173,968.959,952.498,819.288,718.786,886.85,1264.73,919.395,1503.81,1210.76,622.771,1011.01,743.351,710.474,560.617,441.248,801.094,1471.23,998.728,1936.68,673.034,1707.69,917.233,2116.09,1591,2158.73,993.668,1650.57,2440.91,2481.56,1003.45,1619.61,1776.69,1925.76,2260.54,1179.64,1437.24,1373.44,2473.7,615.179,2360.71,593.56,3487.8,1945.3,1035.56,1467.28,1553.17,1169.68,1251.45,987.237,1279.21,3024.8,3195.45
1509.5,1440.89,867.476,634.593,815.623,1271.92,1084.19,760.202,1506.65,1407.69,2070.46,1251.01,676.694,730.454,1859.82,361.004,973.003,1243.61,898.199,843.276,968.892,1283.75,718.55,1422.38,946.956,595.96,970.329,754.581,857.793,651.826,564.635,1059.06,2078.17,1039.42,2426.38,742.426,1779.13,833.255,1825.94,1097.03,1501.55,632.164,1383.23,2204.26,2251.73,1171.94,1826.92,2372.4,2935.74,2753.63,1523.36,1512.35,1140.91,1952.85,457.699,1994.66,298.255,2011.15,1362.71,830.332,1582.7,1802.87,1750.17,1414.49,1449.94,1605.83,4428.44,3063.42
1780.82,1211.75,866.966,447.479,779.832,1232.12,1188.27,706.957,1144.06,1688.11,2124.91,966.373,518.019,730.022,1856.55,604.769,1583.38,1299.46,949.072,858.928,917.812,1159.33,741.636,1348.5,923.387,440.736,910.282,638.208,629.323,530.095,438.983,933.403,1602.66,730.64,2018.03,596.325,1433.56,723.186,1827.5,1224.91,1569,806.527,1695.55,2818.65,2601.09,1305.97,2026.44,2415.65,2612.71,2290.12,1460.04,1430.2,1184.67,1972.54,435.659,1861.65,294.174,2168.37,1327.19,704.028,1401.39,1349.07,1029.17,1114.11,1260.57,1258.71,3027.44,3814.98
1836.17,1716.12,755.866,479.159,621.966,1458.82,1427.44,858.236,1549.81,1837.61,2603.76,1332.96,926.969,1114.76,556.711,435.708,781.711,1038.38,669.454,726.498,812.58,1152.52,768.703,1244.45,1113.06,524.86,857.825,652.005,531.775,453.721,354.257,655.952,1315.79,833.691,2197.11,710.798,1614,1031.71,2437.31,1748.54,2144.11,997.495,2053.13,2768.09,2947.41,1444.83,2117.81,2197.82,2586.45,2397.69,1404.33,1513.91,1232.33,1969.56,560.575,2047.27,329.801,2499.48,1547.37,800.416,1513.35,1490.48,1379.43,1265.39,1344.21,1308,3593.78,2945.52
2152.85,1632.04,968.143,534.305,652.892,1022.75,1206.86,682.865,1333.67,1564.26,2121.79,1096.76,1199.71,1092.53,1339.7,497.345,1250.76,994.694,718.098,484.975,612.584,823.17,459.815,957.547,785.572,355.337,689.483,527.077,452.537,337.936,302.856,557.848,1183.95,787.294,2104.24,711.424,2077.52,1154.74,2800.91,2087.67,2495.13,1153.93,2088.24,3131.96,3002.54,1252.41,2035.72,2043.31,2444.87,2678.88,1377.97,1380.13,1335.88,2183.15,678.612,1845.02,377.513,2117.77,1401.98,682.182,1525.86,1390.48,1313.43,1048.97,1091.43,1392.57,3259.57,3142.98
