sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
46.5452,44.6218,67.2949,84.9233,80.7693,46.2286,23.4223,36.0262,50.7265,49.1804,45.4353,50.1654,45.1907,42.3852,26.0329,13.4868,7.16936,12.1146,15.161,23.7723,29.619,28.6974,34.6882,44.8976,54.5164,64.0877,72.8536,61.9079,54.9137,53.9705,51.4851,44.6229,30.6211,27.5209,38.6263,57.9498,60.9391,75.8038,69.3848,74.5028,78.4694,92.9821,94.7692,82.8234,77.8701,85.3144,95.453,92.5442,83.4754,79.1716,95.871,95.171,89.5053,72.5745,62.2437,52.6041,59.4155,42.33,48.1297,43.7499,67.9839,72.0546,67.5353,76.3067,75.0084,77.9424,71.2882,70.3677,78.3741,85.4136,78.9035
40.7269,40.7699,69.1161,83.0302,74.2239,42.1749,22.6507,34.6861,50.6729,43.8414,40.3447,47.9577,42.8388,35.2883,19.9851,14.7346,8.46808,11.1472,14.0724,24.6176,34.3353,34.2691,41.9963,53.5359,61.9972,69.7965,81.251,68.8355,59.4233,56.2469,53.1804,45.3607,30.332,27.9475,40.39,61.6587,67.0172,84.1942,79.6977,88.6841,92.4254,105.934,103.66,87.902,80.3338,88.3826,96.6608,90.4438,78.8216,72.5328,88.3625,86.6805,79.521,63.8182,54.8651,46.543,54.3841,40.1616,47.0546,45.6282,75.3147,83.1645,80.2758,92.2861,84.9611,82.6103,70.0623,63.1573,67.4072,75.1043,69.6817
47.789,48.3087,69.3294,90.385,87.9718,47.7954,20.928,30.2592,45.216,49.0886,45.7504,46.0605,39.9003,32.7208,24.1117,13.4303,4.90247,8.60075,11.2572,19.1265,26.1672,25.215,31.4586,42.3586,54.0296,67.8662,82.2506,72.5709,64.5121,62.1746,59.176,50.0486,33.1489,28.007,35.8233,49.899,48.5714,59.0916,55.3612,62.487,67.5612,83.876,89.3839,88.0779,89.1531,103.271,114.918,107.681,96.2774,90.316,105.42,101.689,96.7349,78.7541,69.0281,58.8187,66.5423,47.754,53.6618,48.2898,72.8979,76.4486,67.7155,73.7967,69.6821,70.0138,62.8288,62.0929,70.8219,74.4776,65.472
61.118,66.4818,91.0011,113.676,95.9919,48.7511,27.2206,37.4588,56.1048,62.9355,55.6885,61.1637,47.9369,36.7416,21.1522,14.9904,7.37198,10.4754,15.8823,27.1292,38.2456,41.3353,49.7386,64.0138,75.3398,83.9532,90.5709,73.3014,59.4524,53.5338,49.8456,43.0327,28.1543,23.4271,31.2369,48.28,53.2263,67.4069,61.914,67.3996,71.5085,85.0359,88.5221,81.1932,76.1623,84.7058,97.6118,94.5301,87.443,88.6746,111.692,107.551,96.2335,72.6588,59.974,48.5327,55.1686,38.1884,42.4774,39.5074,63.8132,68.3632,66.619,81.8706,82.5451,86.1646,78.5813,77.2578,84.0377,77.9341,65.8497
71.3112,60.8181,80.7576,104.928,93.856,49.8626,27.4789,39.8539,55.9817,52.5595,48.3876,44.4517,44.0492,42.7998,22.4975,10.659,7.26893,13.3636,18.3211,26.6627,32.5963,32.3303,37.7627,50.0351,62.4962,75.6005,86.9635,72.6919,64.0707,60.9158,56.0003,47.5844,33.5658,29.6551,41.843,64.1216,68.6307,83.4864,73.5365,74.7105,73.7281,86.3582,86.463,73.9464,68.5952,76.5445,91.1461,96.3771,92.1143,94.0704,119.088,117.264,105.055,81.8793,66.6851,54.902,59.3382,41.1494,43.488,40.5654,66.1277,73.2979,68.3771,73.5765,73.8134,78.7693,72.4315,71.6375,75.5421,81.259,76.6748
69.2192,74.6991,102.601,119.52,111.714,59.8997,29.3412,43.649,57.166,52.4334,45.7325,49.0542,54.0448,43.1953,24.6365,11.7196,6.16212,14.3897,14.7081,22.5856,28.4778,28.6922,36.0975,49.4472,62.4155,78.0544,92.4948,80.9517,69.865,65.3118,59.3267,49.3803,34.1336,28.9555,39.2298,57.9436,60.6641,71.2689,64.9061,70.2166,72.5664,87.1366,92.2377,84.1786,78.0843,81.8542,89.6019,85.1333,74.774,70.8476,88.0438,90.8741,92.6764,79.71,75.7206,69.8563,79.4158,54.8915,56.9666,50.6996,75.5313,74.6071,65.2001,69.9734,66.2481,68.1696,64.4091,62.9506,71.0265,83.7228,89.5889
40.421,42.3954,66.8791,84.9248,79.8562,52.3116,32.3447,49.7458,66.1836,55.1326,51.7458,52.2071,44.062,39.3291,22.142,7.56919,8.06891,17.3255,16.2072,23.3164,30.6356,30.4048,37.3022,49.0426,59.866,70.5557,83.4545,70.9771,65.327,65.2721,64.274,58.0577,41.1901,37.2471,50.0357,68.1115,65.3306,73.8494,64.0305,66.0937,67.0767,77.3449,77.8322,69.1496,68.256,80.8022,96.1109,96.5507,90.9458,89.76,111.983,109.467,97.5195,73.5317,60.2076,48.7431,54.4544,39.5545,49.7704,44.4781,66.074,72.7864,70.7935,82.5283,82.9987,87.6914,76.3645,70.6375,78.8207,89.0689,81.384
41.494,45.7947,79.9453,100.068,82.7463,46.2045,26.0619,41.6733,57.5856,57.1192,44.0711,41.768,42.3182,45.4478,22.7459,7.27071,8.01157,16.6035,18.721,27.4803,31.652,30.221,37.2334,47.6697,57.991,69.4196,82.5294,70.1874,61.8129,61.2066,57.2046,48.3651,33.7785,30.0169,42.7206,59.6411,57.8031,70.2686,63.2788,67.2687,70.4179,87.6393,91.3567,80.5172,80.4742,94.9009,109.436,102.983,92.0656,87.4093,106.708,101.323,90.3944,74.4477,66.163,55.2261,60.7063,41.5662,46.1032,39.858,60.1057,62.9505,58.8977,67.5414,64.1999,66.122,65.4599,75.0963,90.8738,125.089,156.392
51.4223,48.1557,66.7407,84.2843,88.6134,49.9223,23.7603,35.4925,54.9526,59.9603,54.2445,54.0812,55.0216,50.1897,31.6242,14.8198,4.56253,6.92122,10.8745,19.2224,27.6515,28.6141,36.9007,48.655,60.9317,72.1636,81.6932,71.0284,61.7442,57.5301,51.966,41.1897,27.1683,23.584,34.009,53.7085,61.7463,80.9239,73.5743,76.5207,82.6121,101.77,104.533,91.5511,86.1888,95.8987,105.606,102.705,94.2165,89.191,105.071,100.664,90.6193,72.7467,64.1366,52.6197,58.2932,40.9808,46.7281,41.7407,65.2274,69.5305,63.4446,71.4724,68.2305,72.3715,66.0168,62.7435,65.7082,69.6367,63.8559
54.374,51.7393,70.3802,82.3622,78.9363,46.5121,26.8019,40.3172,52.2034,55.7054,46.9025,57.6053,54.6533,55.7681,32.8484,15.5062,7.95047,10.9629,12.5829,19.8241,24.548,24.0165,28.1823,37.8876,46.8151,54.9153,64.0908,54.809,48.0237,48.3638,46.743,39.1447,25.7659,21.8939,32.384,53.7948,62.692,83.5377,80.1929,88.8653,94.5207,112.2,112.809,94.8492,87.4283,94.6925,105.465,98.3755,86.9791,82.4978,96.3439,96.5728,93.4156,74.9214,64.393,55.4195,62.3787,43.5638,44.7721,37.3906,55.3735,58.8657,55.4431,67.8383,68.2602,72.2882,65.6561,63.6961,71.7738,79.2457,77.9106
