TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,98.3263,84.9315,130.757,52.3029,39.2272,26.1514,46.5452,0.863772,1.62384,3.24768,1.82471,0.0194295,0,0,0,0,0.436732,0.485966,0,0
0,66.3181,65.1488,133.426,53.3704,40.0278,26.6852,40.7269,0.982369,1.22069,2.44138,1.59965,0.0207164,0,0,0,0,0.267766,0.649079,0,0
0,67.3346,77.1705,175.411,70.1646,52.6234,35.0823,47.789,1.14608,1.09985,2.1997,1.61482,0.0216174,0,0,0,0,0.178819,0.606677,0,0
0,71.2801,68.6346,112.858,45.1433,33.8575,22.5716,61.118,0.962887,1.52037,3.04075,1.12299,0.0192526,0,0,0,0,0.326415,0.578591,0,0
0,80.6795,90.3567,121.074,48.4296,36.3222,24.2148,71.3112,1.11995,1.86573,3.73147,1.26708,0.0200009,0,0,0,0,0.209804,0.597822,0,0
0,92.1478,99.5354,141.903,56.7611,42.5708,28.3805,69.2192,1.08017,1.75359,3.50717,1.43797,0.0181707,0,0,0,0,0.417006,0.5178,0,0
0,79.2631,95.8365,134.158,53.6631,40.2473,26.8316,40.421,1.20909,1.78589,3.57178,2.37096,0.0176856,0,0,0,0,0.151201,0.612147,0,0
0,143.428,140.42,111.486,44.5943,33.4457,22.2972,41.494,0.979027,3.14883,6.29766,3.3841,0.0147444,0,0,0,0,0.384289,0.540796,0,0
0,64.2378,59.8417,120.036,48.0142,36.0107,24.0071,51.4223,0.931566,1.24633,2.49267,1.16373,0.0222536,0,0,0,0,0.307758,0.576421,0,0
0,63.7214,56.8256,96.3444,38.5378,28.9033,19.2689,54.374,0.891783,1.47454,2.94909,1.04509,0.0221819,0,0,0,0,0.226903,0.699733,0,0
0,56.0004,58.0259,116.106,46.4424,34.8318,23.2212,56.9422,1.03617,1.24942,2.49884,1.01903,0.0256116,0,0,0,0,0.199655,0.691788,0,0
0,91.0899,103.291,140.328,56.1312,42.0984,28.0656,54.2092,1.13394,1.84017,3.68034,1.90541,0.0178602,0,0,0,0,0.1818,0.688224,0,0
0,94.29,106.822,159.351,63.7404,47.8053,31.8702,34.9141,1.13291,1.67589,3.35179,3.05957,0.0232055,0,0,0,0,0.278914,0.580259,0,0
0,117.942,135.689,179.836,71.9345,53.9509,35.9673,43.7318,1.15048,1.88629,3.77257,3.10276,0.0198716,0,0,0,0,0.349119,0.507215,0,0
0,92.7031,90.6688,141.96,56.7839,42.5879,28.392,57.5164,0.978056,1.59673,3.19347,1.5764,0.0191024,0,0,0,0,0.360574,0.534406,0,0
0,86.8841,77.7931,131.992,52.7966,39.5975,26.3983,43.2039,0.895367,1.47345,2.9469,1.8006,0.0184191,0,0,0,0,0.246239,0.65394,0,0
0,114.584,98.8606,151.243,60.497,45.3728,30.2485,41.7872,0.862778,1.63414,3.26828,2.36581,0.0148278,0,0,0,0,0.253828,0.713947,0,0
0,56.2411,59.1622,162.389,64.9558,48.7168,32.4779,44.8796,1.05194,0.910808,1.82162,1.31824,0.0232411,0,0,0,0,0.0995681,0.74518,0,0
0,63.2354,61.8802,133.64,53.456,40.092,26.728,43.8734,0.978568,1.15759,2.31518,1.41042,0.0170975,0,0,0,0,0.244667,0.628557,0,0
0,68.4982,61.6977,129.701,51.8804,38.9103,25.9402,43.9591,0.90072,1.18923,2.37846,1.40353,0.0206379,0,0,0,0,0.222412,0.647739,0,0
0,101.572,80.7994,147.695,59.0778,44.3084,29.5389,52.0701,0.795488,1.36768,2.73535,1.55174,0.0147385,0,0,0,0,0.264839,0.714395,0,0
0,64.8537,60.3437,164.289,65.7158,49.2868,32.8579,45.343,0.930458,0.918252,1.8365,1.33083,0.0180276,0,0,0,0,0.0897552,0.823778,0,0
0,94.0052,84.1743,123.17,49.2681,36.9511,24.6341,52.2208,0.895422,1.70849,3.41699,1.61189,0.0129556,0,0,0,0,0.132735,0.791997,0,0
0,84.449,90.6936,131.556,52.6224,39.4668,26.3112,55.6612,1.07395,1.72348,3.44696,1.62939,0.0224284,0,0,0,0,0.27967,0.617991,0,0
0,86.6978,89.0202,147.77,59.1081,44.3311,29.5541,50.7746,1.02679,1.50606,3.01211,1.75324,0.019058,0,0,0,0,0.22718,0.631832,0,0
0,82.7055,79.3672,133.877,53.551,40.1632,26.7755,45.1445,0.959637,1.48209,2.96417,1.75807,0.0231319,0,0,0,0,0.357178,0.584561,0,0
0,73.7364,82.4014,129.752,51.9007,38.9256,25.9504,61.1025,1.11751,1.58767,3.17535,1.34858,0.0203098,0,0,0,0,0.145282,0.705917,0,0
0,72.6467,68.3643,129.094,51.6374,38.7281,25.8187,59.6983,0.941052,1.32393,2.64786,1.14516,0.0201539,0,0,0,0,0.317373,0.52008,0,0
0,96.839,77.9996,154.112,61.6449,46.2337,30.8224,58.2514,0.805456,1.26531,2.53061,1.33902,0.016417,0,0,0,0,0.343842,0.624945,0,0
0,109.775,107.223,161.564,64.6256,48.4692,32.3128,36.7246,0.97675,1.65914,3.31828,2.91965,0.0146914,0,0,0,0,0.085448,0.824946,0,0
0,96.0667,86.9252,165.177,66.0706,49.553,33.0353,41.048,0.904843,1.31564,2.63128,2.11765,0.0152489,0,0,0,0,0.217578,0.697257,0,0
0,109.903,107.92,188.079,75.2315,56.4236,37.6157,38.741,0.981955,1.43451,2.86901,2.78568,0.0165873,0,0,0,0,0.200829,0.75443,0,0
0,73.6785,79.2133,112.043,44.8172,33.6129,22.4086,59.3463,1.07512,1.76748,3.53495,1.33476,0.0214547,0,0,0,0,0.161315,0.692887,0,0
0,137.577,161.078,163.44,65.3761,49.0321,32.6881,42.6435,1.17081,2.46386,4.92772,3.77731,0.0156942,0,0,0,0,0.294663,0.611442,0,0
0,133.494,158.795,150.535,60.2139,45.1604,30.107,36.9142,1.18953,2.63718,5.27437,4.30174,0.0184885,0,0,0,0,0.276939,0.572319,0,0
0,127.847,118.963,120.542,48.2169,36.1626,24.1084,59.8283,0.930506,2.46724,4.93449,1.9884,0.018479,0,0,0,0,0.345156,0.601996,0,0
0,74.4344,79.8792,171.022,68.4089,51.3066,34.2044,63.9336,1.07315,1.16767,2.33535,1.24941,0.0208699,0,0,0,0,0.209881,0.649562,0,0
0,90.9687,80.5832,199.23,79.6919,59.7689,39.846,60.8134,0.885834,1.01118,2.02237,1.32509,0.0146513,0,0,0,0,0.246731,0.658814,0,0
0,183.243,168.602,172.586,69.0345,51.7758,34.5172,52.6294,0.920099,2.44229,4.88457,3.20357,0.00971985,0,0,0,0,0.143618,0.823414,0,0
0,142.844,139.04,155.332,62.1327,46.5996,31.0664,65.4277,0.973368,2.23779,4.47557,2.12509,0.0127136,0,0,0,0,0.0952181,0.825947,0,0
0,164.801,149.272,171.203,68.4813,51.361,34.2407,55.101,0.905772,2.17975,4.3595,2.70906,0.0114173,0,0,0,0,0.182631,0.776691,0,0
0,131.765,122.596,117.333,46.9332,35.1999,23.4666,73.0917,0.930416,2.61214,5.22428,1.67729,0.0140514,0,0,0,0,0.157826,0.782154,0,0
0,127.028,125.919,165.453,66.1812,49.6359,33.0906,42.4416,0.991266,1.90263,3.80526,2.96687,0.0154877,0,0,0,0,0.171404,0.788242,0,0
0,98.1268,110.512,135.615,54.2459,40.6844,27.1229,46.8664,1.12622,2.03725,4.07449,2.35803,0.0161484,0,0,0,0,0.139341,0.714329,0,0
0,93.3046,77.9754,122.622,49.0489,36.7867,24.5245,40.2422,0.835708,1.58975,3.17949,1.93765,0.0179381,0,0,0,0,0.335172,0.610261,0,0
0,94.8879,107.682,160.364,64.1456,48.1092,32.0728,40.4589,1.13484,1.67872,3.35744,2.66153,0.0139453,0,0,0,0,0.143925,0.84235,0,0
