N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
446.828,254.949,318.459,22.2021,15.7665,10.4783,6.67314,3.99173,4.83955
618.311,196.337,311.942,24.0676,9.45085,32.0287,1.9406,0.591925,1.28838
376.327,176.286,256.489,34.5386,2.69789,2.22552,0.260946,16.4068,2.00476
863.977,203.643,259.528,13.588,2.8656,25.0867,5.93748,0.362598,2.02188
311.507,270.076,281.27,2.70367,10.4494,6.12863,36.6384,0.328298,2.08862
466.929,282.351,365.761,18.8926,3.7104,10.3925,23.1225,1.70532,3.85062
174.854,155.026,221.233,8.03217,45.3383,8.03997,1.79979,25.9564,7.80494
1004.57,447.8,291.397,11.9094,3.77255,29.2489,3.15741,20.8688,12.6796
389.122,288.475,317.009,2.79606,56.1953,3.07472,4.05954,1.84669,0.268968
485.754,410.127,380.78,0.556238,5.66166,0.321941,47.9023,3.25682,21.7101
439.625,151.335,288.108,0.67143,51.8956,2.18225,5.02922,13.9162,6.57668
361.864,194.902,459.566,31.7054,6.90768,16.4906,1.91667,2.25664,0.806845
477.397,154.429,371.954,45.3304,20.4867,9.64103,1.6486,0.342693,3.35165
452.888,174.073,284.553,42.3802,5.09969,20.003,2.49985,6.35718,8.19144
387.011,247.239,317.548,15.6312,17.9715,9.19258,5.86008,4.25235,0.762235
308.847,250.91,236.843,6.16629,21.8153,34.8205,10.5029,3.13937,0.983829
199.141,149.865,211.713,13.2837,2.2556,16.5184,2.3827,2.16597,12.1481
360.043,181.081,303.449,8.66782,10.6016,2.83392,13.1035,8.20917,3.98848
505.525,213.5,236.108,2.18762,45.1059,10.3951,37.0601,8.21738,6.01293
493.355,172.288,243.208,1.34855,48.924,0.294675,1.79957,0.0192425,2.20748
761.029,306.23,383.385,0.257907,1.77971,60.264,20.9372,1.56586,45.9663
382.699,205.281,454.69,1.73048,22.1002,0.1491,12.9945,24.5778,1.11328
291.221,224.937,326.944,2.41961,0.217678,20.8207,2.68355,19.3314,6.97205
394.378,200.868,423.633,1.41128,32.491,0.295691,4.95372,3.16508,1.92778
573.959,302.347,311.576,2.64049,39.2955,2.88623,20.736,0.226157,1.18858
499.441,246.043,294.433,23.6704,5.69044,0.253068,5.33306,0.506914,2.17429
469.402,304.1,267.785,55.0824,5.64035,1.92045,3.03088,3.95285,3.53117
370.004,270.67,322.464,1.6844,4.27777,8.74124,8.85912,20.6321,23.7057
463.591,444.138,441.376,13.7068,91.5504,1.92936,28.4369,7.09696,0.235276
546.754,358.657,402.242,8.31128,13.945,49.2395,1.95356,12.1559,14.7653
670.133,415.39,455.394,71.1739,1.76464,0.478201,2.77758,7.71826,2.72284
588.153,316.275,581.275,20.8738,8.95373,0.220464,2.84997,27.1146,6.12403
661.791,401.378,665.944,76.9967,3.83671,0.879987,0.611168,0.325542,0.00311223
923.846,660.302,468.889,23.4694,1.49232,67.8551,4.44969,0.0296739,0.449101
955.64,430.836,392.77,19.2323,26.2736,0.717634,70.9577,0.769072,1.91747
748.525,239.777,558.222,53.1683,3.06216,6.74188,9.44341,13.1038,0.224005
662.135,379.591,563.028,76.6191,8.91043,21.6747,8.93168,1.29281,5.43302
1012.27,289.378,475.401,23.4287,79.9278,2.03783,4.98819,3.95709,2.5977
707.868,467.411,505.19,33.406,47.8287,21.3344,1.0181,3.82169,0.240128
954.404,424.865,527.634,55.4031,2.9748,42.3693,0.38642,0.25027,0.167597
722.219,480.242,585.736,73.8878,2.98642,6.38829,0.218408,0.301364,0.00562278
1025.55,482.177,566.392,18.2978,5.28175,98.5872,0.128092,0.112418,0.164587
806.044,390.962,525.31,23.8591,16.5811,25.8305,1.81718,6.37039,1.8051
716.458,407.662,533.697,32.2448,82.9901,28.6418,4.57573,1.07006,0.0105422
861.992,445.768,401.4,7.10728,28.6166,8.11903,30.9046,22.8692,0.0606481
477.363,409.561,370.131,48.4668,0.457051,19.4671,32.993,4.85791,0.0906219
557.196,417.856,465.537,36.7889,20.9888,0.634527,31.9091,1.53236,1.52244
273.686,198.435,307.719,10.3094,0.382312,8.63622,21.0528,3.21818,2.05278
402.439,105.279,283.994,12.023,9.95186,26.6613,0.269988,1.31011,2.63266
317.059,341.054,308.225,5.89301,19.3919,20.0651,4.05431,0.00436835,1.88904
297.794,352.036,345.264,19.7761,3.27582,2.66166,0.644881,0.119023,40.5844
268.137,284.396,260.164,1.7906,0.256874,26.307,7.63021,0.481165,9.37113
610.795,342.878,394.997,74.8364,1.20529,1.88479,8.752,7.64766,0.171748
595.221,318.097,433.303,32.4597,23.0667,6.09912,4.66793,2.88469,0.129333
761.004,302.386,399.062,17.5132,5.94164,1.76844,0.32827,10.3856,31.7374
337.747,399.687,348.15,4.90239,24.3575,4.4028,9.65113,1.45384,11.1518
364.604,186.032,304.982,7.26806,22.0135,2.37956,0.54238,0.178846,0.962761
437.954,197.125,585.932,54.3813,1.79464,0.855098,1.85994,0.0302321,2.77069
357.536,285.514,297.682,23.5189,22.0803,1.15375,6.69536,0.888617,0.271244
539.766,244.683,285.792,1.52955,13.4101,67.6435,2.10904,0.0627919,2.57109
265.35,185.623,264.609,34.7769,0.670923,13.6685,1.07494,0.212458,0.471262
386.139,248.018,242.92,8.42582,1.33448,28.0772,25.9134,0.122402,1.68187
427.906,157.332,205.091,12.286,14.2001,0.640921,6.56998,5.0875,0.568857
347.661,118.828,366.615,10.2646,20.4103,2.41752,2.44221,0.337978,1.8298
615.674,370.892,334.673,46.7704,2.2428,6.08071,18.3601,6.93446,3.36132
537.535,220.072,351.14,43.7519,12.6272,0.384283,0.809615,0.497256,2.77827
541.164,341.924,380.672,52.722,5.34277,27.4632,2.93501,0.962735,7.55191
366.209,162.441,349.348,41.046,2.31315,7.01566,1.14654,11.6722,10.4165
697.355,359.317,257.124,25.725,70.9928,15.5922,0.406664,2.57446,0.238716
371.166,193.855,299.022,13.1858,6.25017,6.63671,11.3624,2.96313,27.3661
299.53,167.96,324.942,32.436,1.49879,3.88292,2.42912,7.13446,1.49623
525.884,231.685,282.335,8.19515,9.72156,68.6733,0.578596,2.50193,12.4243
666.368,243.102,417.188,42.6614,0.891402,26.3147,15.2654,1.35417,2.07379
967.842,256.382,312.159,17.2919,42.513,13.8766,1.0609,1.93217,0.546648
539.902,187.013,254.116,24.5476,6.76408,8.99145,18.2806,15.1511,6.64245
377.76,197.514,206.706,23.5473,28.6915,33.9478,0.360444,0.277478,7.51394
422.159,251.222,301.521,36.5195,1.94185,20.5368,1.76866,0.486964,0.687201
638.161,215.531,413.677,7.32321,5.53238,48.0325,7.44822,2.49346,22.0234
656.035,379.879,341.377,22.5767,2.82088,30.0752,2.41628,8.08168,1.4003
290.951,343.34,239.026,20.4096,36.7896,4.73164,12.7646,5.87273,3.13463
277.972,285.138,306.67,42.0074,8.06688,53.6743,8.30296,1.14352,4.8104
530.116,255.423,375.722,18.0061,49.4659,9.70337,3.12905,0.601212,0.361817
428.731,285.829,294.133,20.6032,1.93473,32.8049,17.2961,1.19923,0.495088
616.303,389.886,492.701,16.9312,49.744,8.45153,1.22756,2.13868,7.93622
502.033,323.32,433.877,68.5271,6.74407,5.42989,11.7546,4.93586,2.44387
990.635,363.97,389.426,16.2836,8.34452,18.5541,1.06502,0.254449,51.2251
602.697,335.99,380.184,35.7765,16.4408,25.3287,3.6298,0.828494,1.9091
371.871,321.211,322.027,10.8763,16.2654,23.353,10.556,0.336155,1.59028
460.363,252.194,298.409,32.567,11.3494,16.6233,8.43191,6.19073,1.9296
714.23,253.547,313.24,35.8592,13.8627,4.68916,7.44807,0.560263,4.58854
714.797,173.173,312.642,5.09732,29.3029,51.6678,15.3922,0.931757,3.75271
365.001,174.146,384.635,19.0345,17.8903,12.822,11.9869,8.84708,0.589914
441.682,265.022,438.584,43.4015,6.57762,15.0239,2.73328,2.79083,13.0793
436.406,250.341,236.267,34.1433,12.0721,1.4986,24.5529,0.139728,0.64202
434.392,192.415,312.539,30.3873,9.95468,1.03104,0.23651,13.5555,8.86147
354.557,229.005,274.688,28.1899,11.2656,9.78476,31.9677,0.0663351,0.265844
767.475,280.399,404.903,15.0113,5.21503,1.51186,59.5429,0.0685158,0.0746551
415.493,328.38,263.16,1.76456,7.12267,20.3758,17.0205,0.683062,0.0647055
365.255,329.945,195.895,0.767964,53.7144,0.719205,0.30491,0.434486,4.87415
377.078,222.073,264.777,0.30608,6.69029,8.72778,1.89485,0.112034,25.9544
507.083,198.482,405.067,1.1671,0.577942,97.1939,1.28361,0.479902,0.954349
517.758,199.943,328.923,0.0557987,38.2535,1.19562,0.699211,1.10439,4.25048
417.699,258.054,364.506,0.324322,25.7396,0.400887,0.390858,7.08788,53.0516
523.115,373.133,270.986,1.87561,3.33271,3.83683,0.0422073,7.21163,34.4504
220.148,337.912,330.714,10.5799,5.07216,2.17578,0.29424,60.4111,1.77724
372.557,235.697,354.371,1.23804,8.02437,22.4819,7.08143,0.711717,21.2596
424.146,199.083,281.283,0.472651,82.7481,12.4075,0.570306,1.34867,0.737837
241.514,284,354.509,10.1408,0.626485,10.8509,6.39903,13.0643,0.0636833
488.471,208.164,401.354,1.72397,32.6885,20.0797,0.97958,6.02937,0.400177
435.145,224.413,256.169,5.00033,0.0721585,23.4683,13.5189,0.159265,8.09433
531.324,279.513,271.099,9.52877,51.9564,9.64003,0.105363,1.1962,1.44779
671.59,211.262,406.307,45.1745,33.3788,0.332136,7.55561,0.0139086,0.0125604
463.365,250.336,450.27,3.19759,31.9579,14.9836,0.659023,0.207678,2.76861
497.819,521.594,604.139,12.5329,9.95064,52.3395,0.0357853,0.541632,0.00428274
543.975,219.89,523.693,2.68247,12.5029,55.5473,1.00681,2.22211,0.283526
421.974,237.16,293.545,6.68207,32.369,2.55151,8.05139,1.11292,0.85594
653.248,269.493,466.766,43.004,20.4942,1.9582,1.71632,0.462276,0.373929
634.558,300.078,351.861,42.8263,16.737,11.7429,6.24441,0.914924,0.146203
507.085,232.251,313.047,47.3481,20.8734,4.9064,0.367721,14.695,3.01722
320.524,176.349,252.857,9.52759,31.1511,6.93873,1.51505,2.51009,3.99751
375.115,174.718,218.011,41.7985,4.77848,2.56401,3.8022,27.0634,0.349132
281.878,207.134,273.268,11.5137,4.50605,8.14942,11.24,9.95127,28.2414
425.497,471.729,245.879,8.75928,9.81443,39.9657,4.95577,0.805622,8.58837
369.859,309.204,296.227,6.86753,27.3037,2.47519,1.7706,10.7097,0.666932
241.981,268.138,330.692,5.5751,2.30919,0.466314,1.6801,32.5952,22.5026
221.702,222.905,253.34,0.224484,22.1465,0.119064,0.741199,1.09496,7.29787
484.609,250.528,364.139,0.695647,29.2729,0.258498,5.59286,1.34474,14.0651
380.044,199.894,283.976,0.22133,6.72968,1.54607,2.07053,9.20039,26.8568
323.422,177.661,251.154,0.885688,0.20021,9.59566,0.371677,12.6236,9.84745
244.444,147.517,311.431,1.11282,1.41752,0.923912,20.1091,7.28817,0.942663
333.659,186.565,269.57,1.04016,34.2855,3.60488,6.85664,0.0557741,0.381689
281.578,243.979,279.265,6.67421,20.3426,3.68617,0.122187,3.22003,12.9939
326.227,280.488,273.073,7.66338,5.88403,2.51393,26.1764,1.085,33.2845
273.307,167.584,325.198,31.6919,1.53428,0.504184,9.23269,1.07755,11.0387
366.873,271.398,215.57,8.86436,20.3113,10.4295,16.7181,0.422143,1.60767
740.402,339.353,344.962,11.0642,14.7918,6.95983,28.5849,6.49267,4.21678
453.18,214.367,302.252,17.4644,0.115277,15.6276,1.43314,2.59815,8.19942
564.688,274.119,207.165,30.9825,1.16031,6.5826,2.03721,0.290016,17.0076
710.68,380.075,433.059,33.1953,25.9986,0.724612,7.48944,0.0436323,6.63343
516.939,284.308,695.847,22.9247,40.6346,4.65689,9.41911,1.01097,0.157335
566.445,350.667,297.167,37.9573,50.9404,2.59553,12.368,1.96047,0.97826
454.168,190.783,286.209,8.72649,2.86453,3.06392,14.463,1.45714,22.0047
791.089,248.55,275.601,12.6994,15.4322,27.0493,25.2644,0.73059,1.29889
641.113,233.231,277.958,47.8246,6.72944,2.1984,2.01045,1.21344,9.14351
449.262,249.538,375.808,9.14699,5.38798,4.53156,34.4297,5.24006,10.4215
527.825,348.581,318.045,48.8934,3.20468,2.03111,12.7088,0.264179,8.86732
273.152,307.328,332.124,2.65748,22.0738,1.95302,8.08509,7.79792,14.6703
468.231,153.52,299.968,1.96637,13.1177,14.8261,2.954,21.0958,0.0505531
470.384,210.597,149.767,0.806877,2.67437,28.3749,0.952388,12.6155,4.88942
356.731,455.284,229.22,1.47666,3.65659,56.641,0.200417,0.474612,2.22036
298.86,378.034,220.203,15.3869,2.68105,19.6293,0.0780832,0.448838,0.842039
752.748,295.828,339.928,101.51,0.978387,5.33383,0.0304736,0.0238348,0.00635696
395.873,116.543,324.405,26.6935,0.273524,0.691445,0.163056,2.97248,1.52808
