m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.58198,0.557131,0.53019,0.497638,0.459818,0.41998,0.38302,0.354441,0.339879,0.34328,0.367494,0.415426,0.489072,0.585474,0.689131,0.771543,0.80439,0.774191,0.690519,0.580182,0.472676,0.386896,0.327288,0.291634,0.276422,0.278857,0.296826,0.32794,0.36988,0.419892,0.474124,0.527502,0.574204,0.608676,0.62692,0.627557,0.612206,0.585081,0.552023,0.519438,0.492654,0.474796,0.467503,0.471589,0.487375,0.514677,0.552735,0.600632,0.657078,0.720042,0.786425,0.85182,0.910593,0.956983,0.986243,0.995493,0.984286,0.954698,0.910918,0.85836,0.802746,0.749511,0.703516,0.669117,0.650613,0.652019,0.676268,0.72583,0.802556,0.906236
0.589965,0.568964,0.54581,0.517225,0.483465,0.447555,0.414242,0.389134,0.378321,0.386423,0.416996,0.473559,0.558434,0.66833,0.786169,0.880654,0.92036,0.88953,0.797432,0.672861,0.548662,0.446761,0.373156,0.325872,0.300942,0.29497,0.305601,0.331056,0.370337,0.422518,0.485591,0.555294,0.624128,0.681254,0.715652,0.720498,0.69568,0.647835,0.587968,0.528119,0.477385,0.440087,0.417694,0.410477,0.418436,0.441596,0.479984,0.533821,0.602923,0.685677,0.77773,0.870594,0.95122,1.00614,1.0262,1.00959,0.962488,0.897078,0.828069,0.766942,0.719602,0.688165,0.672456,0.670762,0.679891,0.695834,0.715351,0.736025,0.756316,0.775693
0.543282,0.546599,0.543689,0.526004,0.491773,0.445778,0.396966,0.355332,0.329864,0.325779,0.346418,0.395982,0.479248,0.596719,0.733027,0.851889,0.911295,0.88657,0.787006,0.649458,0.51545,0.410375,0.338902,0.296891,0.279045,0.281467,0.301417,0.33588,0.38183,0.435587,0.492154,0.54539,0.588991,0.617946,0.629469,0.623433,0.602376,0.570871,0.534558,0.499204,0.469438,0.447973,0.436249,0.435059,0.444939,0.466317,0.499554,0.545066,0.603044,0.672932,0.752709,0.838009,0.92151,0.994325,1.04783,1.07534,1.07365,1.04383,0.990884,0.922655,0.848153,0.776119,0.714179,0.668836,0.64635,0.652876,0.69399,0.776443,0.90845,1.09713
0.730308,0.663073,0.598384,0.532636,0.467191,0.406134,0.354295,0.316159,0.295811,0.295777,0.318368,0.367246,0.446645,0.556842,0.684071,0.796196,0.855572,0.838889,0.752283,0.627231,0.501302,0.399034,0.326333,0.280227,0.255847,0.249142,0.257188,0.277511,0.308385,0.348286,0.395134,0.445804,0.495965,0.540366,0.573881,0.592833,0.595954,0.584748,0.563149,0.536657,0.510672,0.489087,0.474521,0.468788,0.473344,0.489647,0.519303,0.56378,0.624026,0.69966,0.787562,0.879937,0.963094,1.02205,1.04597,1.03178,0.985324,0.91943,0.850053,0.789593,0.744125,0.715451,0.702691,0.702923,0.711021,0.72067,0.727029,0.727179,0.720353,0.708007
0.366849,0.419407,0.467998,0.491487,0.477051,0.428008,0.361533,0.29823,0.253177,0.231446,0.233762,0.262395,0.322821,0.420892,0.551612,0.687932,0.78645,0.808708,0.74766,0.632737,0.508353,0.406225,0.335165,0.292863,0.274659,0.276855,0.296776,0.331403,0.377732,0.432156,0.489824,0.544853,0.591339,0.624788,0.64268,0.644584,0.632219,0.609064,0.579683,0.549025,0.521369,0.499562,0.485373,0.479911,0.483962,0.4982,0.523278,0.559805,0.608147,0.668022,0.737867,0.813983,0.889862,0.957518,1.00908,1.03824,1.04155,1.01927,0.975306,0.91614,0.849484,0.78305,0.723769,0.677627,0.650158,0.646246,0.66936,0.72271,0.809272,0.929955
0.707987,0.623919,0.546168,0.470904,0.399434,0.335385,0.28255,0.243863,0.221505,0.216263,0.228976,0.261999,0.318895,0.40143,0.502098,0.59941,0.664764,0.675903,0.630457,0.547366,0.455045,0.375533,0.316862,0.279116,0.259845,0.25659,0.26742,0.290535,0.324674,0.368655,0.420611,0.477398,0.534267,0.58502,0.623352,0.644659,0.647313,0.633159,0.607049,0.575706,0.545538,0.520855,0.504254,0.497217,0.500586,0.514839,0.540229,0.576936,0.624841,0.683081,0.749422,0.81949,0.8863,0.941929,0.979336,0.993792,0.983968,0.952265,0.90423,0.846922,0.787379,0.731909,0.685875,0.653968,0.640936,0.651632,0.690395,0.761908,0.871061,1.02092
0.31003,0.35013,0.387779,0.409098,0.405304,0.377333,0.335273,0.293089,0.263211,0.251988,0.262451,0.298423,0.365564,0.468142,0.598333,0.727658,0.815244,0.828053,0.762693,0.647666,0.523979,0.421107,0.347699,0.30183,0.278922,0.274902,0.286457,0.310091,0.342714,0.381294,0.422418,0.46244,0.498053,0.527027,0.548096,0.560688,0.564984,0.56188,0.552869,0.539864,0.524989,0.510396,0.498208,0.49055,0.489678,0.498248,0.519323,0.555517,0.608811,0.679987,0.767196,0.863576,0.955148,1.02505,1.05922,1.05102,1.00364,0.928949,0.843368,0.761032,0.690484,0.636039,0.599541,0.581829,0.583793,0.606936,0.653499,0.726445,0.828882,0.96257
0.695141,0.718874,0.729337,0.7058,0.643106,0.552956,0.45651,0.373849,0.317851,0.291608,0.294708,0.328951,0.399301,0.509731,0.650279,0.786965,0.872674,0.872411,0.787929,0.65624,0.524009,0.421103,0.353637,0.317828,0.308767,0.323006,0.357493,0.4067,0.463285,0.518471,0.563319,0.59143,0.601526,0.59817,0.587758,0.575277,0.563949,0.555327,0.549471,0.545087,0.540523,0.535122,0.529291,0.524439,0.52295,0.528252,0.544505,0.57517,0.622954,0.689595,0.774821,0.874277,0.977184,1.06884,1.13429,1.1621,1.14772,1.09504,1.015,0.921321,0.826582,0.740746,0.670946,0.622325,0.599613,0.607884,0.652587,0.741427,0.884763,1.09296
0.68744,0.609046,0.541232,0.485321,0.441691,0.410319,0.391244,0.384983,0.392889,0.416681,0.458157,0.518757,0.598145,0.691491,0.785809,0.861274,0.899027,0.88843,0.831771,0.743234,0.642827,0.548049,0.468223,0.406461,0.362592,0.335294,0.32336,0.326315,0.344373,0.378252,0.428528,0.494169,0.570018,0.643909,0.699476,0.722978,0.708956,0.662734,0.598019,0.531464,0.475737,0.436428,0.415093,0.411736,0.425992,0.457172,0.503931,0.564923,0.638262,0.720808,0.807647,0.891922,0.965272,1.01946,1.04821,1.04864,1.02195,0.973112,0.909716,0.840046,0.7716,0.710545,0.661765,0.629384,0.617712,0.63149,0.675435,0.755211,0.87732,1.04687
0.740983,0.648108,0.564775,0.488401,0.419662,0.360627,0.313566,0.280577,0.263874,0.265015,0.285815,0.329404,0.399547,0.497102,0.612125,0.720033,0.790244,0.800372,0.749235,0.657446,0.555363,0.466983,0.401561,0.359752,0.339224,0.33728,0.351284,0.378058,0.414634,0.457971,0.504456,0.549858,0.589708,0.619978,0.637726,0.641614,0.632199,0.611828,0.584188,0.553683,0.524423,0.499404,0.480706,0.469828,0.468032,0.476651,0.497221,0.531166,0.579618,0.642942,0.719776,0.805535,0.89106,0.964865,1.01611,1.03723,1.02615,0.986834,0.92817,0.860278,0.791707,0.728913,0.676436,0.637467,0.614595,0.609969,0.624934,0.660428,0.716758,0.792502
0.499191,0.438352,0.388815,0.353987,0.334081,0.328078,0.334461,0.350978,0.373868,0.398844,0.421983,0.44014,0.451565,0.456403,0.456806,0.455521,0.454297,0.453767,0.453464,0.451829,0.446252,0.434098,0.41489,0.390417,0.364144,0.340445,0.324125,0.320163,0.332245,0.363463,0.416789,0.493647,0.589661,0.687954,0.761921,0.78773,0.756587,0.679867,0.582528,0.490771,0.42063,0.376183,0.356629,0.360597,0.387534,0.436918,0.506581,0.593107,0.690805,0.791114,0.883351,0.956772,1.00324,1.0187,1.00388,0.963999,0.907445,0.843964,0.783013,0.731452,0.692845,0.668623,0.658997,0.663446,0.680796,0.709512,0.748397,0.796441,0.85265,0.915912
0.657436,0.534785,0.437135,0.36252,0.307907,0.270331,0.247573,0.238617,0.244056,0.265813,0.307182,0.372644,0.466154,0.586503,0.718997,0.833316,0.89588,0.886791,0.811593,0.697684,0.578992,0.479666,0.407503,0.361611,0.338518,0.334798,0.347371,0.372784,0.407881,0.449456,0.49373,0.536318,0.572625,0.598589,0.6115,0.610629,0.597422,0.575206,0.548558,0.522623,0.501833,0.488899,0.485304,0.491754,0.508381,0.534646,0.569304,0.611035,0.658436,0.709912,0.763654,0.81768,0.869891,0.917735,0.958071,0.987282,1.00153,0.997156,0.971319,0.924614,0.862527,0.793878,0.728788,0.677261,0.649206,0.653941,0.699577,0.796309,0.957823,1.19854
0.561916,0.531582,0.503727,0.479695,0.460527,0.447084,0.440197,0.440819,0.450139,0.469121,0.498155,0.536773,0.583014,0.632493,0.677491,0.708586,0.718242,0.702974,0.664434,0.608854,0.545104,0.481778,0.424673,0.376973,0.340088,0.31452,0.300606,0.299019,0.310541,0.336156,0.37684,0.432585,0.500382,0.571468,0.632764,0.671548,0.679973,0.658338,0.615008,0.563181,0.514857,0.476818,0.452084,0.441645,0.445573,0.463422,0.49436,0.537758,0.592869,0.658252,0.731138,0.806822,0.878416,0.938423,0.980499,1.00084,0.999134,0.978655,0.945573,0.906032,0.864024,0.821469,0.778558,0.734131,0.686112,0.63283,0.57465,0.513604,0.452665,0.395
0.402497,0.503981,0.609697,0.676474,0.670114,0.591652,0.476652,0.367861,0.29185,0.25317,0.24891,0.280144,0.35523,0.486671,0.67367,0.878506,1.02872,1.05542,0.947537,0.761068,0.572344,0.427232,0.331764,0.276723,0.252174,0.251586,0.271266,0.30815,0.359536,0.421804,0.489166,0.553589,0.60608,0.639011,0.648204,0.634057,0.601369,0.557864,0.51223,0.472598,0.444718,0.431135,0.432696,0.449398,0.480322,0.522633,0.570848,0.618853,0.660935,0.692913,0.713297,0.723996,0.729985,0.736156,0.745879,0.760973,0.781683,0.806504,0.831929,0.853496,0.867078,0.869273,0.857813,0.831877,0.792211,0.741014,0.681572,0.617739,0.55338,0.491921
