ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
555.285,0.741189,0.58198,376.43,260.607,0.298138,1.388, 24.6201, 44.4103,0.847918,0.999156,17.5428,2.63067,0.226513,2.98123,0.318475,4.79639,0.465123,2.055,0.05,2.055,0.05,-787.283
734.579,0.655138,0.589965,408.526,162.512,0.284649,1.51523, 34.1428, 55.7505,0.744225,0.987917,23.0985,2.49004,0.190883,2.94879,0.309035,4.76352,0.465727,2.055,0.05,2.055,0.05,-687.267
532.417,0.817983,0.543282,377.643,100.484,0.317036,1.41695, 19.3544, 40.3575,0.918846,1.01338,12.9635,2.63166,0.228687,3.01326,0.319685,4.92699,0.528702,2.055,0.05,2.055,0.05,-687.778
521.59,0.759959,0.730308,348.084,272.059,0.302897,1.45341, 25.3197, 42.874,0.962132,1.01924,19.0702,2.72321,0.232861,2.9406,0.305734,4.78855,0.445023,2.055,0.05,2.055,0.05,-691.04
561.956,0.738145,0.366849,364.725,52.2186,0.297201,1.53045, 24.7129, 46.9167,0.864673,1.00143,15.4722,2.49583,0.205515,3.04882,0.339113,4.74673,0.435649,2.055,0.05,2.055,0.05,-695.404
525.225,0.730352,0.707987,347.236,402.088,0.459263,1.32625, 20.4932, 46.0516,0.925643,0.999658,14.4609,2.47356,0.186168,2.98291,0.329,4.84075,0.47972,2.055,0.05,2.055,0.05,-681.057
483.701,0.729024,0.31003,345.509,71.1196,0.426208,1.44013, 21.2621, 43.5153,0.928177,0.994252,18.8923,2.62682,0.237592,2.8996,0.296699,4.84881,0.471484,2.055,0.05,2.055,0.05,-686.527
629.623,0.641046,0.695141,416.983,518.131,0.327378,1.40873, 24.7832, 44.0719,0.779397,0.993824,14.6645,2.71894,0.252504,3.02105,0.318754,4.85858,0.470237,2.055,0.05,2.055,0.05,-684.153
859.068,0.721542,0.68744,427.003,198.922,0.233047,1.15246, 33.6926, 61.2743,0.704228,1.00665,18.6653,2.5271,0.194445,2.92587,0.296486,4.53831,0.413211,2.055,0.05,2.055,0.05,-698.827
542.176,0.820495,0.740983,380.354,320.155,0.294965,1.20006, 29.5721, 44.0587,0.782049,1.00998,25.4368,2.57928,0.214337,2.97758,0.322122,4.71105,0.436722,2.055,0.05,2.055,0.05,-673.898
582.824,0.748385,0.499191,368.23,118.537,0.308612,1.40724, 22.4135, 51.6294,0.76633,0.992857,15.1803,2.57229,0.208841,2.98785,0.322113,4.80465,0.48952,2.055,0.05,2.055,0.05,-691.81
654.668,0.599897,0.657436,400.692,237.634,0.358452,1.42033, 21.7045, 50.1272,0.762582,0.995045,13.0282,2.69726,0.250953,3.00093,0.318008,4.62974,0.41161,2.055,0.05,2.055,0.05,-696.212
641.346,0.729701,0.561916,391.009,149.664,0.265028,1.02448, 60.5376, 52.6009,0.746235,0.988718,51.0985,2.56762,0.202895,2.95226,0.310571,4.69527,0.46107,2.055,0.05,2.055,0.05,-691.587
