rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.735868,-0.0340093,0.294766,0.487852,0.317349,0.909966,0.591103,0.143523,0.836705,0.0764629,0.745369,-0.199522,-1.04297,0.265943,-0.011424,-1.01746,0.0792398,0.553772,0.345038,0.341793,0.552867,0.889295,0.0705727,-0.259032,0.295345,-0.726494,0.23142,-0.0439232,-0.456527,-0.550826,0.0543731,0.852914,1.00361,-0.0480292,1.45257,-0.204139,-0.109444,-0.604167,0.34895,-0.0986793,-0.322732,-0.971586,-0.550701,1.00422,0.0678829,-0.448323,-0.275639,0.162942,0.471225,0.443688,-0.388913,-0.311714,-0.729109,-0.246933,-1.03628,-0.37363,-0.899353,0.0969438,-1.24726,-1.0857,-0.175802,-0.420983,0.820889,-1.04482,-0.979797,0.17551,-0.0860537,1.01398
0.888753,-0.311554,0.322433,0.382076,0.314617,0.971992,0.669114,0.121102,0.96407,0.424593,0.868375,-0.162115,-0.898058,-0.374709,0.595387,-0.493225,0.538669,0.757979,0.589624,0.386994,0.574757,0.854421,0.02921,-0.304926,0.380678,-0.821695,0.430563,0.15052,-0.147527,-0.299356,0.260095,1.21214,1.31238,0.0844625,1.44475,-0.414049,-0.529985,-0.9396,-0.0201163,-0.377005,-0.73502,-1.42513,-0.899267,0.831516,-0.205472,-0.723746,-0.300808,0.18537,0.479133,0.263535,-0.579735,-0.410809,-0.920081,-0.311794,-1.3938,-0.496269,-1.07512,0.116876,-1.0619,-0.961574,-0.0923382,-0.569344,0.922736,-1.09786,-0.946531,0.235704,-0.141489,1.13217
0.840016,0.00834605,0.466967,0.621795,0.512599,0.59018,0.630129,0.239476,0.823508,0.357009,0.471002,-0.399893,-0.641508,-0.363401,0.584194,-1.00063,0.048315,0.721843,0.321224,0.438383,0.600031,0.880677,0.00576446,-0.292201,0.463217,-0.900702,0.136731,-0.119417,-0.342442,-0.586951,0.0600779,0.632835,0.823269,-0.155694,1.31465,-0.429674,-0.437974,-0.98762,0.173713,-0.328732,-0.440389,-1.25778,-0.711521,0.85982,-0.0391055,-0.339761,-0.132988,0.278578,0.320902,0.431851,-0.212738,-0.218741,-0.573545,-0.199324,-0.866228,-0.206006,-0.71817,0.410423,-1.13261,-0.735208,-0.122776,-0.486909,0.999958,-0.857846,-0.876094,0.313905,-0.205046,0.862311
0.838144,0.216531,0.370088,0.356608,0.0290063,1.02907,0.71323,0.0615593,0.782848,0.261119,0.475621,-0.223327,-0.69662,-0.321649,0.364892,-1.07609,0.0813955,0.731403,0.411398,0.475703,0.430418,0.814228,-0.0181745,-0.498729,0.070956,-0.986125,-0.223711,-0.25612,-0.778785,-0.798834,-0.0943487,0.668905,0.937301,-0.00701473,1.57132,-0.152245,-0.15845,-0.387024,0.304842,-0.0942112,-0.320597,-1.07713,-0.791254,1.13282,-0.0470415,-0.403064,-0.243857,0.5035,0.680179,0.730856,-0.415776,-0.195727,-0.746641,-0.522039,-1.27139,-0.400587,-1.08974,0.264395,-1.40881,-0.860085,0.193557,-0.0634058,0.923999,-0.920916,-1.01665,0.108317,-0.187237,0.88631
0.463249,-0.111094,0.283661,0.257656,-0.134911,0.998901,0.491745,0.171198,0.528455,0.019517,0.393565,-0.446526,-1.02485,-0.245725,0.341613,-1.15144,0.149958,0.632646,0.485152,0.413578,0.582031,0.88396,0.176924,-0.139247,0.286135,-0.696502,0.390518,-0.0340586,-0.235157,-0.582508,0.107911,1.09812,1.11762,0.0470383,1.593,-0.134418,-0.110868,-0.579035,0.384642,-0.20522,-0.23702,-1.1232,-0.618151,0.944519,-0.257473,-0.551281,-0.249906,0.042404,0.42854,0.640559,-0.118744,-0.0765591,-0.342184,0.0424709,-0.756658,-0.131709,-0.889575,0.292817,-1.20684,-1.13596,-0.324367,-0.40922,0.761145,-0.995067,-0.851876,0.0873101,-0.0566315,0.842947
0.648647,-0.243489,-0.0013973,0.049726,0.0899865,0.527761,0.391678,0.144039,0.599786,-0.121359,0.401818,-0.577582,-1.50001,-0.563902,0.194074,-1.54154,-0.0117901,0.524208,0.323227,0.411561,0.468374,0.88761,0.103161,-0.341237,0.219411,-0.525267,0.177023,-0.162649,-0.301962,-0.441808,0.11138,1.14499,1.32063,0.152763,1.73897,0.127384,0.193195,-0.504665,0.494225,-0.0704943,-0.170331,-0.957204,-0.41288,0.860366,-0.00434135,-0.553682,-0.0496001,0.105944,0.388755,0.404189,-0.378803,-0.433698,-0.463755,-0.0816725,-0.87737,-0.321476,-0.715302,0.23249,-0.88467,-0.885793,-0.0925275,-0.184843,0.91081,-0.662942,-0.615367,0.226419,0.179013,0.830346
0.517121,-0.235838,0.313125,0.393187,0.390957,0.707026,0.695079,-0.00725073,0.494941,0.0175146,0.365733,-0.266091,-1.1102,0.00954381,0.741359,-0.935855,0.324443,0.895731,0.548458,0.33957,0.685179,0.967397,0.0664195,-0.382824,0.185704,-0.932887,0.0432067,-0.197869,-0.565098,-0.780281,-0.114534,0.853794,0.954663,0.126203,1.54337,-0.018488,0.0669631,-0.416683,0.401149,-0.0961026,-0.423608,-1.05695,-0.68414,0.81638,0.0589088,-0.537365,0.0167368,-0.0172226,0.438671,0.45267,-0.157526,-0.224361,-0.728456,-0.381214,-0.90247,-0.469037,-0.996515,0.0746729,-1.11763,-1.11369,-0.0523178,-0.0574506,1.01789,-0.748273,-0.704366,0.55066,0.121898,1.09153
1.07072,0.416254,0.438243,0.553169,0.331132,0.9086,0.378979,-0.0958824,0.34327,0.261911,0.347807,-0.328858,-1.68894,0.481458,-0.0100074,-0.630949,0.164422,0.5786,0.352751,0.519119,0.693976,0.950912,0.182374,-0.126107,0.289039,-0.476786,0.494179,-0.0617563,-0.465676,-0.643333,-0.270313,0.658414,0.802643,-0.172096,1.38359,-0.182938,-0.0375934,-0.540991,0.499697,-0.138814,-0.357868,-0.822541,-0.561488,0.940815,0.0340449,-0.428252,-0.220511,0.259562,0.594279,0.583438,-0.0799139,0.019758,-0.689822,-0.085463,-0.982612,-0.352152,-0.914975,-0.168937,-1.47021,-1.43552,-0.435676,-0.670745,0.52003,-1.42226,-1.1066,0.0702905,-0.439605,1.21612
0.764,-0.14115,0.216007,0.518826,0.279768,0.864151,0.662807,0.290902,1.11786,-0.118384,0.808672,0.0163303,-1.19416,-0.118055,1.07825,-0.629482,0.67117,1.07197,0.688951,0.758137,0.835395,0.974055,0.123878,-0.0507099,0.210644,-0.714616,0.346539,-0.135899,-0.437455,-0.277269,0.121044,0.933862,1.17194,-0.0394018,1.44844,-0.284095,-0.300309,-0.82142,0.0996164,-0.456662,-0.553996,-1.20274,-0.787233,0.879651,0.0571657,-0.514415,-0.311202,0.283185,0.554643,0.301503,-0.218179,-0.286379,-0.927634,-0.434658,-1.19925,-0.678193,-1.21574,-0.201306,-1.55097,-1.38667,-0.411445,-0.514081,0.757145,-0.941146,-1.17478,0.106384,0.0664626,1.30549
0.569734,-0.476276,0.200061,-0.0221448,-0.0646976,0.649033,0.59414,0.109014,0.782609,-0.0705667,0.423003,-0.257678,-1.19843,0.651948,-0.0138339,-0.894061,0.747636,1.02244,0.736216,0.579058,0.75076,1.05766,0.310073,0.0175536,0.499655,-0.629117,0.354832,0.0225827,-0.285908,-0.54934,0.145232,0.980283,1.21534,-0.0951094,1.50124,0.019274,-0.0419753,-0.56204,0.414886,-0.254046,-0.20429,-1.11006,-0.868709,0.720501,-0.104166,-0.660379,-0.56403,-0.0639597,0.45281,0.293457,-0.46526,-0.391342,-0.644814,-0.326177,-1.0673,-0.35735,-0.956659,0.0483441,-1.13603,-1.23494,-0.483791,-0.427554,0.801776,-1.15902,-1.11482,0.388162,0.0261028,1.23877
