rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
785.72,363.843,505.475,613.135,517.02,935.142,679.825,434.526,869.082,406.342,793.22,308.342,132.656,491.114,372.154,136.083,407.472,654.914,531.536,529.813,654.321,916.01,403.956,290.528,505.767,182.042,474.448,360.254,238.461,217.002,397.464,883.283,1026.95,358.778,1608.89,306.922,337.407,205.73,533.619,341.058,272.598,142.472,217.029,1027.57,402.87,240.425,285.743,443.046,603.024,586.645,255.142,275.618,181.567,294.064,133.547,259.071,153.144,414.75,108.145,127.107,315.743,247.089,855.444,132.411,141.307,448.65,345.391,1037.65
993.574,299.167,563.963,598.622,559.572,1079.82,797.649,461.119,1071.3,624.623,973.531,347.387,166.417,280.857,740.957,249.468,700.1,871.777,736.699,601.573,725.827,960.04,420.635,301.156,597.786,179.623,628.363,474.886,352.492,302.838,529.88,1372.92,1517.68,444.53,1732.48,270.023,240.464,159.645,400.39,280.213,195.886,98.241,166.216,938.301,332.647,198.107,302.399,491.728,659.636,531.705,228.794,270.899,162.792,299.095,101.368,248.71,139.412,459.175,141.268,156.176,372.492,231.183,1027.92,136.277,158.543,517.112,354.627,1267.4
874.773,380.808,602.397,703.272,630.522,681.386,709.158,479.826,860.451,539.67,604.832,253.169,198.828,262.578,677.319,138.839,396.337,777.273,520.699,585.422,688.131,911.076,379.826,281.955,600.142,153.43,432.975,335.135,268.139,209.977,401.026,711.079,860.245,323.195,1406.13,245.74,243.709,140.658,449.287,271.841,243.121,107.358,185.384,892.27,363.16,268.859,330.617,498.961,520.532,581.61,305.274,303.447,212.811,309.397,158.812,307.336,184.155,569.28,121.673,181.044,334.01,232.07,1026.5,160.149,157.253,516.903,307.632,894.496
804.796,432.238,503.978,497.23,358.329,974.106,710.291,370.186,761.503,451.947,560.072,278.416,173.439,252.345,501.366,118.671,377.602,723.318,525.234,560.118,535.319,785.777,341.815,211.392,373.68,129.842,278.309,269.434,159.758,156.587,316.745,679.495,888.688,345.651,1675.33,298.927,297.078,236.375,472.146,316.788,252.61,118.548,157.778,1080.59,332.089,232.614,272.759,575.906,687.199,722.922,229.676,286.208,164.977,206.522,97.6178,233.191,117.062,453.43,85.0835,147.284,422.421,326.699,876.945,138.591,125.939,387.906,288.648,844.509
579.631,326.375,484.348,471.915,318.694,990.335,596.386,432.828,618.686,371.913,540.615,233.368,130.882,285.265,513.246,115.319,423.732,686.625,592.466,551.544,652.736,882.803,435.314,317.315,485.548,181.751,538.97,352.512,288.295,203.697,406.284,1093.64,1115.17,382.29,1793.9,318.851,326.449,204.406,535.813,297.057,287.759,118.622,196.565,937.917,281.933,210.158,284.075,380.523,559.858,692.08,323.888,337.844,259.034,380.548,171.141,319.716,149.84,488.803,109.104,117.118,263.69,242.239,780.776,134.838,155.597,398,344.644,847.33
664.246,272.195,346.751,364.939,379.932,588.612,513.723,401.033,632.57,307.553,518.959,194.888,77.4782,197.572,421.61,74.326,343.166,586.524,479.734,524.039,554.673,843.547,384.97,246.847,432.428,205.355,414.482,295.113,256.735,223.229,388.148,1091.16,1300.67,404.547,1976.28,394.41,421.239,209.629,569.199,323.601,292.854,133.327,229.781,820.876,345.732,199.602,330.434,386.043,512.223,520.19,237.746,225.047,218.383,320.004,144.407,251.773,169.814,438.121,143.357,143.196,316.549,288.635,863.346,178.942,187.661,435.47,415.307,796.599
579.485,272.921,472.55,511.94,510.799,700.676,692.355,343.013,566.774,351.614,498.076,264.788,113.843,348.823,725.15,135.526,477.929,846.196,597.932,485.214,685.535,909.065,369.237,235.614,416.016,135.929,360.765,283.483,196.355,158.339,308.119,811.442,897.563,391.985,1617.1,339.18,369.438,227.77,516.032,313.851,226.198,120.07,174.318,781.644,366.474,201.876,351.341,339.61,535.762,543.315,295.153,276.071,166.761,235.994,140.127,216.152,127.549,372.297,113,113.446,327.898,326.219,956.149,163.489,170.827,599.251,390.301,1029.22
1216.54,632.259,646.316,725.031,580.667,1034.47,609.126,378.859,587.758,541.832,590.431,300.122,77.0232,674.859,412.831,221.871,491.503,743.706,593.357,700.759,834.657,1079.18,500.406,367.579,556.732,258.853,683.498,392.011,261.745,219.14,318.216,805.497,930.469,351.057,1663.42,347.272,401.598,242.755,687.281,362.938,291.54,183.186,237.83,1068.34,431.423,271.726,334.466,540.561,755.458,747.313,384.957,425.304,209.186,382.827,156.09,293.211,167.013,352.168,95.855,99.2384,269.716,213.215,701.398,100.563,137.888,447.348,268.658,1406.93
916.71,370.792,529.959,717.388,564.849,1013.27,828.484,571.174,1305.91,379.33,958.59,434.033,129.365,379.455,1255.19,227.536,835.443,1247.34,850.43,911.351,984.552,1130.99,483.315,405.89,527.124,208.967,603.853,372.744,275.706,323.605,481.948,1086.43,1378.48,410.506,1817.52,321.403,316.234,187.799,471.73,270.461,245.377,128.259,194.33,1029.1,452.124,255.284,312.808,566.783,743.548,577.261,343.303,320.67,168.875,276.479,128.708,216.718,126.602,349.144,90.5426,106.71,282.971,255.369,910.447,166.608,131.896,474.934,456.347,1575.43
672.388,236.235,464.593,372.023,356.525,727.879,689,424.162,831.898,354.439,580.625,293.954,114.74,730.004,375.128,155.561,803.307,1057.38,794.186,678.687,805.821,1095.27,518.621,387.089,626.881,202.752,542.362,389.041,285.772,219.59,439.806,1013.72,1282.34,345.846,1706.74,387.756,364.719,216.819,575.931,295.024,310.074,125.341,159.556,781.803,342.727,196.512,216.388,356.788,598.192,510.076,238.851,257.176,199.595,274.493,130.817,266.068,146.122,399.193,122.128,110.627,234.466,248.03,847.997,119.352,124.747,560.744,390.413,1312.74
