sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
25.3665,12.5728,20.7575,14.6715,19.912,22.3875,37.8462,49.8692,26.2394,11.4568,14.1449,22.2355,22.1385,21.656,12.8672,5.83785,4.80229,8.81087,11.0661,21.4089,38.3183,53.6063,60.4858,70.665,90.6718,71.1949,56.5482,43.5682,35.8972,40.2137,37.5916,29.4739,23.1441,28.4887,47.0144,56.7139,52.5771,65.9631,48.0994,38.1739,30.3038,38.0268,36.1905,30.082,27.6356,33.0484,42.9699,31.3305,22.4144,20.4533,21.6582,21.073,16.5929,8.61848,4.28452,4.49579,4.66222,4.46073,4.94881,5.75543,7.13766,6.77669,7.96338,11.5582,16.5517,23.0792,18.4905,16.5351,16.2452,17.5428,20.0052
25.4191,16.076,24.8585,17.9346,20.9326,24.0561,37.8742,49.6392,29.3493,11.9123,14.6243,26.0395,28.4687,26.802,15.1038,5.40751,3.66334,10.3504,14.2172,27.4433,45.0589,61.4334,67.6815,75.9632,94.6562,75.2309,61.212,48.2072,41.3164,49.0059,49.0218,39.7371,31.6778,38.4482,60.6666,67.8638,57.3654,64.3326,43.0964,30.9581,23.8709,29.9275,28.7957,24.2218,23.0678,30.4114,43.1005,32.655,24.445,23.3351,24.7528,22.5147,15.9244,7.80692,3.43033,3.93279,4.35533,4.34153,5.2675,6.69462,9.30815,9.4941,10.8576,14.3065,18.5646,25.1617,19.2383,17.4665,18.3749,23.0985,30.1624
19.3133,8.98986,18.6287,13.5112,19.1426,24.641,42.2014,53.5288,23.1458,12.7722,15.554,25.5834,26.7936,19.3369,10.5629,3.43853,3.00183,8.45756,9.73497,19.0815,36.672,50.8415,59.8561,70.4427,90.8019,67.3579,54.2888,43.8838,34.909,37.1496,33.7431,26.9025,21.1863,24.976,39.4442,47.7343,45.1214,57.2311,39.9599,30.6299,23.0031,30.5865,30.2329,25.5641,24.2776,30.3506,41.2516,31.9218,25.4364,24.9226,25.4618,22.6245,17.3717,9.23403,4.46983,4.40602,4.29543,4.20734,4.75603,6.13091,8.08278,7.6792,9.17424,12.4904,18.2392,26.7425,21.1423,17.9277,15.4787,12.9635,12.4755
18.4702,13.5309,22.9255,13.5174,19.8676,22.7276,35.1214,46.0847,23.494,12.7551,14.2808,22.1944,21.436,19.2966,11.7184,4.43401,2.55349,7.47569,9.11481,18.6022,36.002,50.9041,57.9526,64.6427,79.6277,62.5434,46.8755,33.8282,26.3424,29.6039,29.2602,23.5939,18.6535,23.7402,41.471,52.6946,50.7968,67.1457,48.355,36.3851,27.7588,33.7283,31.6673,26.2561,23.8421,30.6817,43.6373,31.9388,23.1918,22.2579,25.2122,24.0988,18.3359,8.51611,3.8082,3.54412,3.4115,3.61814,4.48633,5.85784,8.17066,7.66802,9.55429,14.2151,18.1048,22.0598,16.6986,14.6627,15.3613,19.0702,24.9338
29.3159,14.3173,22.058,14.2707,18.4251,19.4305,30.3028,42.1045,22.985,10.029,13.108,21.09,21.456,20.9541,13.624,6.01766,3.73699,9.09487,10.4684,19.9726,36.3393,52.7444,61.971,70.9497,90.9446,72.1639,58.1688,42.7382,35.5998,40.6215,38.0258,29.8443,22.8396,29.7575,51.7448,60.9551,57.288,71.175,49.3388,37.2188,28.3612,34.8522,32.2509,27.0662,24.599,30.1511,39.4576,28.3143,21.2101,20.4978,21.8662,22.5531,19.6634,10.7596,5.87222,5.82145,5.59015,5.06592,5.2051,5.78138,7.22462,6.52094,7.1161,10.0799,15.01,21.2789,17.5673,15.8881,15.2352,15.4722,16.6788
26.0278,11.1329,17.6299,12.3812,15.1759,14.7439,26.8306,39.8972,22.9291,11.1974,12.7487,19.8433,20.2203,20.1708,12.1813,3.41772,2.44907,8.06271,9.94161,19.7485,35.9591,50.4151,56.9162,65.4038,84.9743,67.3057,53.3976,39.5956,34.7225,40.2891,39.2992,32.5284,26.7996,34.2881,58.3222,69.5476,63.6827,74.974,53.1042,41.3424,30.7211,36.3644,32.9997,27.2098,25.2357,29.4965,36.4441,26.0673,19.4018,19.7492,20.9598,20.1303,15.6686,7.91998,4.13014,4.79357,5.05073,4.68873,5.1231,6.16774,7.89712,7.95611,9.10915,12.9301,18.1236,24.6605,20.2445,17.5179,15.7935,14.4609,13.7943
24.442,9.00746,18.0231,13.1112,18.1143,20.5979,35.7999,49.3724,23.2138,10.8954,13.2626,17.0658,17.9946,15.9069,9.97667,3.78167,4.70198,11.9875,12.7993,23.1904,41.6139,55.5081,58.6287,69.0815,84.3058,64.5801,49.4125,35.1811,27.4429,31.5474,30.9455,25.3991,20.1081,26.8726,48.2216,60.8021,59.8612,74.7225,55.333,42.822,31.7851,36.2019,32.3007,25.3809,22.6963,26.6559,34.7875,26.0055,20.1259,20.3904,20.5013,19.2851,14.733,7.44652,3.51088,3.50299,3.70344,3.86306,4.56221,5.75811,7.96982,8.34998,9.99665,15.4686,22.3932,30.5716,24.7403,21.8699,20.5279,18.8923,18.7027
33.0102,23.2289,26.5376,20.1779,23.2477,23.9631,37.668,50.0221,26.8283,12.4152,13.3457,18.2637,23.43,23.0275,14.8046,6.93568,7.13638,10.0932,12.2592,22.0715,38.2205,54.5857,66.7635,80.8908,104.27,83.3435,65.16,47.7004,40.1672,42.908,36.5273,27.0925,20.2088,24.1103,43.2398,55.7853,56.452,74.329,55.7612,44.4137,35.0056,42.0935,36.6988,29.5834,27.346,33.1441,44.253,33.43,26.023,25.1274,27.2497,26.141,19.9604,10.6799,5.05477,4.48098,4.21261,3.83917,4.21719,4.77179,5.69611,5.52715,6.75751,10.4589,15.1781,21.2511,17.2289,15.4863,13.895,14.6645,16.6185
24.6643,10.111,19.0262,15.4552,21.7148,25.8088,43.6579,54.5165,34.4173,15.4221,20.9785,31.2529,25.0897,23.4248,13.6252,4.64681,8.10307,19.2474,19.5493,32.7215,51.0003,63.5966,71.7922,78.7415,93.0747,72.5347,61.415,48.4488,43.5927,52.1294,50.8288,41.6844,34.8754,38.4079,56.0254,62.0584,53.1389,62.5177,43.0685,33.072,26.5638,34.2519,33.3879,29.4704,28.4952,35.3212,48.519,36.9617,26.9879,24.6396,26.051,23.6877,17.0983,9.08603,3.97986,3.92125,4.00763,3.78088,4.13836,4.90021,6.28329,6.1493,7.4481,11.4336,17.7394,25.8265,20.8138,17.516,16.3715,18.6653,20.793
32.7954,15.0228,21.7478,12.261,15.9281,17.4559,28.4081,39.9124,22.7296,11.7141,13.4069,23.7273,22.4579,20.3884,13.7382,7.16046,9.10451,11.5952,14.8983,32.0157,53.0235,68.0844,72.2983,79.5919,99.6193,78.179,63.7569,48.7345,39.6276,42.5363,39.1391,30.8626,23.6563,30.3178,52.5337,64.5262,57.9539,69.1509,49.6367,38.5696,29.9983,37.0651,33.3834,28.4119,25.8179,29.1719,36.8521,28.0421,21.3231,19.7464,21.7711,21.9703,16.594,8.19546,3.91335,4.13074,4.11379,4.04751,4.62345,5.43626,6.98112,6.8934,7.49982,10.5544,16.535,24.3454,20.1124,19.4254,21.5896,25.4368,30.9362
