TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,21.9952,18.8978,44.4103,17.7641,13.3231,8.88206,25.3665,0.859179,1.06382,2.12764,0.744992,0,0,nan,0,nan,0.601603,0.283634,0,0
0,16.5865,18.3856,55.7505,22.3002,16.7252,11.1501,25.4191,1.10847,0.824459,1.64892,0.723299,0,0,nan,0,nan,0.379443,0.486226,0,0
0,11.6354,14.8013,40.3575,16.143,12.1073,8.0715,19.3133,1.27209,0.916887,1.83377,0.766378,0,0,nan,0,nan,0.249107,0.369965,0,0
0,19.6838,20.459,42.874,17.1496,12.8622,8.5748,18.4702,1.03938,1.19297,2.38594,1.10767,0,0,nan,0,nan,0.515817,0.371149,0,0
0,14.9816,18.0777,46.9167,18.7667,14.075,9.38334,29.3159,1.20666,0.963289,1.92658,0.616653,0,0,nan,0,nan,0.283749,0.386956,0,0
0,14.9202,16.7421,46.0516,18.4206,13.8155,9.21032,26.0278,1.12211,0.908876,1.81775,0.643237,0,0,nan,0,nan,0.521206,0.363654,0,0
0,16.3414,22.024,43.5153,17.4061,13.0546,8.70307,24.442,1.34774,1.2653,2.5306,0.901071,0,0,nan,0,nan,0.193691,0.433468,0,0
0,17.3952,17.0877,44.0719,17.6288,13.2216,8.81438,33.0102,0.982321,0.969305,1.93861,0.517647,0,0,nan,0,nan,0.583334,0.230112,0,0
0,16.0725,15.3874,61.2743,24.5097,18.3823,12.2549,24.6643,0.957378,0.627809,1.25562,0.623874,0,0,nan,0,nan,0.461908,0.349638,0,0
0,17.2963,15.7109,44.0587,17.6235,13.2176,8.81174,32.7954,0.90834,0.891476,1.78295,0.479059,0,0,nan,0,nan,0.330624,0.565048,0,0
0,10.0452,11.7366,51.6294,20.6518,15.4888,10.3259,23.08,1.16839,0.568311,1.13662,0.508519,0,0,nan,0,nan,0.31198,0.486155,0,0
0,10.2772,13.2356,50.1272,20.0509,15.0381,10.0254,28.5081,1.28786,0.660101,1.3202,0.464276,0,0,nan,0,nan,0.28717,0.388487,0,0
0,43.9696,51.382,52.6009,21.0404,15.7803,10.5202,26.4052,1.16858,2.44207,4.88413,1.9459,0,0,nan,0,nan,0.322936,0.534802,0,0
0,30.5464,35.1029,52.8243,21.1297,15.8473,10.5649,26.7764,1.14917,1.66131,3.32261,1.31097,0,0,nan,0,nan,0.479459,0.325081,0,0
0,19.7859,20.5545,47.1203,18.8481,14.1361,9.42405,26.288,1.03884,1.09053,2.18106,0.781896,0,0,nan,0,nan,0.469079,0.381407,0,0
0,28.5485,28.9536,65.098,26.0392,19.5294,13.0196,25.3304,1.01419,1.11192,2.22385,1.14304,0,0,nan,0,nan,0.356398,0.50492,0,0
0,35.1697,31.8721,51.7579,20.7031,15.5274,10.3516,19.0021,0.90624,1.53948,3.07897,1.6773,0,0,nan,0,nan,0.34397,0.613884,0,0
0,17.2061,20.3932,54.7942,21.9177,16.4383,10.9588,22.5969,1.18523,0.930447,1.86089,0.90248,0,0,nan,0,nan,0.162361,0.595919,0,0
0,16.1869,18.4741,57.2258,22.8903,17.1677,11.4452,25.3116,1.1413,0.80707,1.61414,0.729865,0,0,nan,0,nan,0.390409,0.384995,0,0
0,20.0147,20.5028,49.7458,19.8983,14.9237,9.94915,20.1242,1.02439,1.03038,2.06076,1.01881,0,0,nan,0,nan,0.320672,0.465874,0,0
0,7.24038,5.3184,49.1965,19.6786,14.759,9.8393,24.6731,0.734547,0.270263,0.540526,0.215555,0,0,nan,0,nan,0.543724,0.393943,0,0
0,6.44639,8.12891,48.0212,19.2085,14.4064,9.60423,30.0832,1.261,0.423194,0.846388,0.270214,0,0,nan,0,nan,0.15082,0.559574,0,0
0,11.5328,13.0739,44.3474,17.739,13.3042,8.86948,22.5788,1.13363,0.737017,1.47403,0.579034,0,0,nan,0,nan,0.26439,0.522301,0,0
0,16.5272,18.7644,41.9656,16.7863,12.5897,8.39313,23.9778,1.13537,1.11785,2.23569,0.782576,0,0,nan,0,nan,0.328584,0.499375,0,0
0,16.6403,18.3137,43.5218,17.4087,13.0565,8.70435,23.2588,1.10056,1.05198,2.10397,0.787388,0,0,nan,0,nan,0.353663,0.415887,0,0
0,14.8595,15.0362,47.6332,19.0533,14.29,9.52664,22.0241,1.01189,0.789166,1.57833,0.682715,0,0,nan,0,nan,0.526882,0.379614,0,0
0,12.7641,17.2614,40.1241,16.0497,12.0372,8.02483,21.9676,1.35234,1.0755,2.151,0.785764,0,0,nan,0,nan,0.208075,0.486967,0,0
0,19.5483,18.2585,40.6557,16.2623,12.1967,8.13114,26.1553,0.934019,1.12275,2.2455,0.69808,0,0,nan,0,nan,0.41833,0.392026,0,0
0,16.0921,14.1711,46.5385,18.6154,13.9615,9.30769,36.5497,0.880625,0.761257,1.52251,0.387721,0,0,nan,0,nan,0.521975,0.412365,0,0
0,5.65999,7.18422,43.0418,17.2167,12.9125,8.60836,35.9121,1.2693,0.417281,0.834563,0.20005,0,0,nan,0,nan,0.196317,0.415056,0,0
0,13.2075,12.5774,41.1629,16.4652,12.3489,8.23258,35.9262,0.952291,0.763878,1.52776,0.350089,0,0,nan,0,nan,0.434362,0.386877,0,0
0,13.7279,14.6618,45.9749,18.39,13.7925,9.19498,39.3607,1.06803,0.797273,1.59455,0.372499,0,0,nan,0,nan,0.36784,0.541312,0,0
0,7.36777,10.8907,40.2831,16.1132,12.0849,8.05662,32.2024,1.47815,0.675884,1.35177,0.338195,0,0,nan,0,nan,0.221762,0.332545,0,0
0,12.9281,16.7469,36.8895,14.7558,11.0669,7.3779,34.487,1.29539,1.13494,2.26987,0.4856,0,0,nan,0,nan,0.41662,0.342861,0,0
0,18.7095,22.8044,43.1665,17.2666,12.9499,8.6333,28.642,1.21887,1.32073,2.64145,0.796188,0,0,nan,0,nan,0.375143,0.298585,0,0
0,12.2793,11.9439,42.434,16.9736,12.7302,8.4868,27.2482,0.972688,0.703675,1.40735,0.438336,0,0,nan,0,nan,0.586219,0.263363,0,0
0,15.1482,15.4274,40.2102,16.0841,12.0631,8.04204,39.0701,1.01843,0.959175,1.91835,0.394866,0,0,nan,0,nan,0.270752,0.543376,0,0
0,24.3672,22.6458,40.3813,16.1525,12.1144,8.07625,30.2015,0.929356,1.402,2.804,0.749824,0,0,nan,0,nan,0.346512,0.553843,0,0
0,11.9192,12.4865,48.5993,19.4397,14.5798,9.71986,29.4297,1.04759,0.642317,1.28463,0.424281,0,0,nan,0,nan,0.409976,0.46887,0,0
0,7.20853,8.92838,37.9711,15.1884,11.3913,7.59422,26.6342,1.23859,0.58784,1.17568,0.335223,0,0,nan,0,nan,0.258082,0.351874,0,0
0,14.1153,13.7993,45.5346,18.2138,13.6604,9.10692,31.1127,0.977611,0.757626,1.51525,0.443525,0,0,nan,0,nan,0.472686,0.38269,0,0
0,6.91903,6.97009,40.8112,16.3245,12.2434,8.16225,31.5394,1.00738,0.426971,0.853942,0.220996,0,0,nan,0,nan,0.417644,0.344665,0,0
0,14.4127,16.9567,53.0791,21.2316,15.9237,10.6158,34.1035,1.17651,0.798651,1.5973,0.497213,0,0,nan,0,nan,0.388819,0.481686,0,0
0,20.2924,22.7182,42.1944,16.8777,12.6583,8.43887,32.9303,1.11954,1.34604,2.69209,0.689886,0,0,nan,0,nan,0.165977,0.587748,0,0
0,20.2592,15.1633,54.7347,21.8939,16.4204,10.9469,29.616,0.748467,0.692583,1.38517,0.511998,0,0,nan,0,nan,0.590927,0.339374,0,0
0,9.30862,14.862,54.5794,21.8318,16.3738,10.9159,28.6146,1.59658,0.680749,1.3615,0.519383,0,0,nan,0,nan,0.275304,0.685195,0,0
0,28.5575,46.4815,52.1407,20.8563,15.6422,10.4281,34.8476,1.62764,2.22866,4.45731,1.33385,0,0,nan,0,nan,0.0507857,0.572992,0,0
0,27.9182,25.8226,48.81,19.524,14.643,9.76201,24.2079,0.924937,1.32261,2.64521,1.0667,0,0,nan,0,nan,0.589246,0.27602,0,0
0,14.6848,14.9773,39.5352,15.8141,11.8606,7.90704,20.7561,1.01992,0.947087,1.89417,0.721587,0,0,nan,0,nan,0.477306,0.397274,0,0
0,6.91729,9.75363,40.8046,16.3218,12.2414,8.16091,22.4469,1.41004,0.597582,1.19516,0.43452,0,0,nan,0,nan,0.267752,0.297443,0,0
0,14.815,18.3701,42.0827,16.8331,12.6248,8.41655,28.2727,1.23996,1.09131,2.18261,0.649745,0,0,nan,0,nan,0.396423,0.340935,0,0
0,10.8379,11.2897,40.384,16.1536,12.1152,8.0768,24.404,1.04169,0.698899,1.3978,0.462619,0,0,nan,0,nan,0.391449,0.280753,0,0
0,18.794,14.3866,55.4539,22.1816,16.6362,11.0908,30.3552,0.765488,0.648582,1.29716,0.473941,0,0,nan,0,nan,0.600253,0.337357,0,0
0,12.9942,13.2163,44.0579,17.6231,13.2174,8.81157,34.5517,1.01709,0.74994,1.49988,0.382509,0,0,nan,0,nan,0.162893,0.735746,0,0
0,17.4708,24.4305,47.8112,19.1245,14.3434,9.56223,28.5799,1.39836,1.27745,2.55489,0.854813,0,0,nan,0,nan,0.18143,0.624016,0,0
0,18.5972,28.1367,37.3657,14.9463,11.2097,7.47314,28.5698,1.51295,1.88252,3.76504,0.984839,0,0,nan,0,nan,0.288063,0.426972,0,0
0,30.597,37.271,43.8265,17.5306,13.148,8.7653,20.6028,1.21813,2.12605,4.2521,1.80902,0,0,nan,0,nan,0.423875,0.275878,0,0
0,20.3105,25.0012,35.3291,14.1316,10.5987,7.06581,30.012,1.23095,1.76916,3.53833,0.833039,0,0,nan,0,nan,0.669898,0.245191,0,0
0,21.5544,31.4027,49.6579,19.8631,14.8974,9.93157,21.5109,1.45691,1.58095,3.16191,1.45985,0,0,nan,0,nan,0.183845,0.324089,0,0
0,15.1788,10.8713,38.1145,15.2458,11.4343,7.62289,25.9401,0.716212,0.713067,1.42613,0.41909,0,0,nan,0,nan,0.735928,0.181864,0,0
0,8.82068,9.32264,48.6595,19.4638,14.5978,9.7319,19.4757,1.05691,0.478973,0.957947,0.47868,0,0,nan,0,nan,0.245208,0.575739,0,0
0,18.8555,20.7201,55.7449,22.298,16.7235,11.149,23.2951,1.09889,0.929238,1.85848,0.889461,0,0,nan,0,nan,0.20981,0.613889,0,0
0,11.6387,12.4264,47.9749,19.1899,14.3925,9.59497,14.4444,1.06768,0.647547,1.29509,0.860293,0,0,nan,0,nan,0.325007,0.442508,0,0
0,23.9848,21.6725,56.2205,22.4882,16.8661,11.2441,24.2377,0.903591,0.963727,1.92745,0.894163,0,0,nan,0,nan,0.374266,0.5012,0,0
0,14.5674,13.764,53.2483,21.2993,15.9745,10.6497,27.6738,0.944852,0.646218,1.29244,0.497366,0,0,nan,0,nan,0.3554,0.554275,0,0
0,14.6333,14.9131,34.0744,13.6297,10.2223,6.81487,20.4379,1.01912,1.09416,2.18831,0.729675,0,0,nan,0,nan,0.185638,0.643279,0,0
0,6.65053,8.34831,42.5656,17.0262,12.7697,8.51312,33.3349,1.25529,0.490321,0.980641,0.250438,0,0,nan,0,nan,0.456679,0.372082,0,0
0,7.42632,10.6333,47.6845,19.0738,14.3053,9.53689,23.1013,1.43184,0.557481,1.11496,0.460288,0,0,nan,0,nan,0.185015,0.271767,0,0
0,20.8779,23.6863,53.999,21.5996,16.1997,10.7998,28.8535,1.13452,1.09661,2.19322,0.820917,0,0,nan,0,nan,0.425867,0.397326,0,0
0,11.8919,13.584,38.7512,15.5005,11.6254,7.75025,21.2969,1.14229,0.876361,1.75272,0.63784,0,0,nan,0,nan,0.341961,0.345437,0,0
0,13.6198,11.4085,53.2638,21.3055,15.9791,10.6528,22.2927,0.837641,0.535473,1.07095,0.511762,0,0,nan,0,nan,0.553864,0.291913,0,0
0,12.7151,11.256,42.5534,17.0213,12.766,8.51067,23.6429,0.885247,0.661285,1.32257,0.476081,0,0,nan,0,nan,0.342533,0.581525,0,0
0,6.59014,9.66457,43.6145,17.4458,13.0843,8.7229,28.917,1.46652,0.553977,1.10795,0.334217,0,0,nan,0,nan,0.21096,0.481,0,0
0,14.5458,18.3203,41.1887,16.4755,12.3566,8.23773,24.606,1.25949,1.11197,2.22395,0.744544,0,0,nan,0,nan,0.231476,0.472014,0,0
0,18.3858,20.3676,45.4827,18.1931,13.6448,9.09654,23.3737,1.10779,1.11953,2.23905,0.871391,0,0,nan,0,nan,0.435387,0.324109,0,0
0,16.114,14.689,50.1188,20.0475,15.0356,10.0238,24.6742,0.911567,0.73271,1.46542,0.595319,0,0,nan,0,nan,0.514505,0.35233,0,0
0,9.96805,9.38621,46.4962,18.5985,13.9489,9.29923,23.5363,0.94163,0.504677,1.00935,0.398797,0,0,nan,0,nan,0.314329,0.498453,0,0
0,9.54419,10.1258,50.2154,20.0862,15.0646,10.0431,33.7521,1.06094,0.504119,1.00824,0.300005,0,0,nan,0,nan,0.399271,0.416621,0,0
0,8.54416,10.2988,50.7569,20.3027,15.2271,10.1514,24.2601,1.20536,0.507259,1.01452,0.424513,0,0,nan,0,nan,0.297735,0.396994,0,0
0,29.0158,28.509,58.6364,23.4546,17.5909,11.7273,31.0955,0.982535,1.2155,2.431,0.916821,0,0,nan,0,nan,0.299072,0.549669,0,0
0,15.0887,11.6945,47.5574,19.0229,14.2672,9.51147,31.5681,0.775048,0.614756,1.22951,0.370453,0,0,nan,0,nan,0.439529,0.483796,0,0
0,5.12888,4.25013,49.9465,19.9786,14.9839,9.9893,30.736,0.828665,0.212734,0.425468,0.138279,0,0,nan,0,nan,0.218314,0.612978,0,0
0,13.2177,16.8926,46.9409,18.7763,14.0823,9.38817,29.0612,1.27803,0.899676,1.79935,0.581277,0,0,nan,0,nan,0.171965,0.737579,0,0
0,19.6112,29.6473,47.27,18.908,14.181,9.454,38.3521,1.51175,1.56798,3.13595,0.773029,0,0,nan,0,nan,0.110526,0.400973,0,0
0,42.1989,40.4485,51.4368,20.5747,15.4311,10.2874,33.4135,0.958521,1.96593,3.93186,1.21054,0,0,nan,0,nan,0.627511,0.315876,0,0
0,20.5894,26.9341,47.758,19.1032,14.3274,9.55159,26.6335,1.30815,1.40993,2.81985,1.01129,0,0,nan,0,nan,0.211023,0.495229,0,0
0,17.3554,19.5747,50.7874,20.315,15.2362,10.1575,29.2334,1.12787,0.963558,1.92712,0.669599,0,0,nan,0,nan,0.489381,0.29023,0,0
0,23.3297,29.3538,45.854,18.3416,13.7562,9.1708,25.8603,1.25822,1.6004,3.20079,1.13509,0,0,nan,0,nan,0.382631,0.420612,0,0
0,20.4824,24.839,44.7029,17.8812,13.4109,8.94059,23.4099,1.2127,1.38912,2.77823,1.06105,0,0,nan,0,nan,0.381636,0.296348,0,0
