################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	West Coast of Vancouver Island
# Created:	2020-09-21
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2020	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
1e-04	0.8242	0.1757	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
88	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1951	1	1	1	0	1	21.821
1952	1	1	1	0	1	27.008
1953	1	1	1	0	1	0.02
1954	1	1	1	0	1	33.209
1955	1	1	1	0	1	6.123
1956	1	1	1	0	1	17.098
1957	1	1	1	0	1	2.612
1958	1	1	1	0	1	0.556
1959	1	1	1	0	1	69.223
1960	1	1	1	0	1	53.911
1961	1	1	1	0	1	26.435
1962	1	1	1	0	1	23.684
1963	1	1	1	0	1	18.206
1964	1	1	1	0	1	21.266
1965	1	1	1	0	1	16.046
1966	1	1	1	0	1	10.843
1967	1	1	1	0	1	15.145
1975	1	1	1	0	1	0.001
1977	1	1	1	0	1	0.029
1978	1	1	1	0	1	2.839
1979	1	1	1	0	1	0.084
1980	1	1	1	0	1	0
1981	1	1	1	0	1	0.002
1982	1	1	1	0	1	0.002
1985	1	1	1	0	1	0.001
1986	1	1	1	0	1	0.001
1994	1	1	1	0	1	0.001
1995	1	1	1	0	1	0.004
1996	1	1	1	0	1	0.001
1972	2	1	1	0	1	6.894
1973	2	1	1	0	1	16.766
1974	2	1	1	0	1	12.394
1975	2	1	1	0	1	17.798
1976	2	1	1	0	1	22.82
1977	2	1	1	0	1	17.458
1978	2	1	1	0	1	5.151
1979	2	1	1	0	1	10.472
1980	2	1	1	0	1	1.682
1981	2	1	1	0	1	5.008
1982	2	1	1	0	1	2.37
1983	2	1	1	0	1	6.141
1984	2	1	1	0	1	5.718
1985	2	1	1	0	1	0.177
1986	2	1	1	0	1	0.203
1987	2	1	1	0	1	13.463
1988	2	1	1	0	1	8.276
1989	2	1	1	0	1	9.774
1990	2	1	1	0	1	7.89
1991	2	1	1	0	1	6.299
1992	2	1	1	0	1	3.086
1993	2	1	1	0	1	5.612
1994	2	1	1	0	1	5.332
1995	2	1	1	0	1	1.947
1996	2	1	1	0	1	0.79
1997	2	1	1	0	1	6.656
1998	2	1	1	0	1	5.45
1999	2	1	1	0	1	3.405
2000	2	1	1	0	1	0.926
2002	2	1	1	0	1	0.433
2003	2	1	1	0	1	2.571
2004	2	1	1	0	1	3.861
2005	2	1	1	0	1	3.373
1973	3	1	1	0	1	1.537
1974	3	1	1	0	1	3.94
1975	3	1	1	0	1	8.309
1976	3	1	1	0	1	16.005
1977	3	1	1	0	1	12.556
1978	3	1	1	0	1	14.755
1979	3	1	1	0	1	8.138
1980	3	1	1	0	1	2.3
1981	3	1	1	0	1	3.079
1982	3	1	1	0	1	3.115
1983	3	1	1	0	1	2.434
1984	3	1	1	0	1	0.858
1987	3	1	1	0	1	2.471
1988	3	1	1	0	1	1.448
1989	3	1	1	0	1	3.515
1990	3	1	1	0	1	1.959
1991	3	1	1	0	1	2.336
1992	3	1	1	0	1	0.627
1994	3	1	1	0	1	0.706
1998	3	1	1	0	1	1.534
1999	3	1	1	0	1	0.968
2000	3	1	1	0	1	0.7
2002	3	1	1	0	1	0.388
2003	3	1	1	0	1	0.945
2004	3	1	1	0	1	0.593
2005	3	1	1	0	1	0.896
#
##### Spawn (t*10^3) #####
2		# Number of survey types
37	33	# Number of years per survey
3	3	# Survey type (1=vuln. number, 2=vuln. biomass, 3=spawn biomass)
# Year	Spawn	Gear	Area	Group	Sex	Weight	Timing
1951	19.597	4	1	1	0	1	1
1952	13.31	4	1	1	0	1	1
1953	39.571	4	1	1	0	1	1
1954	20.648	4	1	1	0	1	1
1955	15.112	4	1	1	0	1	1
1956	27.183	4	1	1	0	1	1
1957	44.114	4	1	1	0	1	1
1958	18.986	4	1	1	0	1	1
1959	12.979	4	1	1	0	1	1
1960	6.015	4	1	1	0	1	1
1961	10.556	4	1	1	0	1	1
1962	34.47	4	1	1	0	1	1
1963	11.245	4	1	1	0	1	1
1964	22.761	4	1	1	0	1	1
1965	11.891	4	1	1	0	1	1
1966	3.722	4	1	1	0	1	1
1967	4.813	4	1	1	0	1	1
1968	11.029	4	1	1	0	1	1
1969	10.465	4	1	1	0	1	1
1970	26.912	4	1	1	0	1	1
1971	36.206	4	1	1	0	1	1
1972	41.857	4	1	1	0	1	1
1973	19.481	4	1	1	0	1	1
1974	25.54	4	1	1	0	1	1
1975	49.149	4	1	1	0	1	1
1976	64.2	4	1	1	0	1	1
1977	58.679	4	1	1	0	1	1
1978	45.607	4	1	1	0	1	1
1979	66.397	4	1	1	0	1	1
1980	62.308	4	1	1	0	1	1
1981	51.929	4	1	1	0	1	1
1982	33.483	4	1	1	0	1	1
